SDMT_name,,Latitude,Longitude,Location,Vsz,Vs30_measured,max_depth_Vs,matched_depth_Vs,matched_Vsz,max_depth_CPT, Vsz_Andrus 2007-P, Vsz_Andrus 2007-H,, Vsz_Robertson 2009, Vsz_McGann 2015,Vsz_McGann 2018,Geology
SCPT,14541,-43.57146964,172.7116271,,373.84,431.14,18,18,373.84,18,208.26,171.07,,188.67,136.4,294.01,Pleistocene
SCPT,195188,-36.95503683,174.8029422,,125.33,140.67,19,19,125.33,19,156.28,128.37,,148.95,110.96,265.5,Holocene
SCPT,57351,-43.49449902,172.60157,,129.88,143.6,19.6,19,127.91,19,158.74,130.39,,147.37,111.39,257.95,Holocene
SCPT,94658,-38.135537,176.282584,,169.14,190.52,19,19,169.14,19,158.65,130.32,,164.71,104.8,238.09,Holocene
SCPT,136515,-37.721418,176.318716,,207.15,233.88,19,19,207.15,19,215.4,176.94,,181.12,144.59,285.23,Holocene
SCPT,140260,-37.80120427,175.3093045,,209.72,236.81,19,19,209.72,19,212.81,174.81,,195.88,140.76,294.13,Pleistocene
SCPT,124801,-37.761956,176.105693,,221.78,247.77,19.5,19,219.3,19,193.28,158.76,,175.04,127.43,260.31,Pleistocene
SCPT,195941,-37.21102988,174.9134581,,76.04,84.02,20,20,76.04,20,123.68,101.59,,104.05,94.25,245.77,Pleistocene
SCPT,57279,-43.51835204,172.6347834,,134.27,149.15,20,20,134.27,20,201.25,165.31,,205.64,143.01,299.49,Holocene
SCPT,57362,-43.512986,172.6461397,,134.91,149.87,20,20,134.91,20,219.94,180.66,,218.22,146.02,299.85,Holocene
SCPT,57345,-43.52987469,172.5921636,,140.94,156.64,20,20,140.94,20,183.14,150.43,,158.18,128.83,275.68,Holocene
SCPT,57355,-43.54724542,172.6374966,,144.98,161.16,20,20,144.98,20,206.61,169.72,,196.49,140.19,287.83,Holocene
SCPT,57357,-43.54463687,172.659457,,145.48,161.73,20,20,145.48,20,215.46,176.98,,200.55,143.37,291.19,Holocene
SCPT,57356,-43.54319121,172.6576182,,147.81,164.35,20,20,147.81,20,212.84,174.83,,193.23,144,295.85,Holocene
SCPT,57358,-43.50717077,172.6291304,,147.92,164.47,20,20,147.92,20,216.81,178.09,,206.32,144.98,301,Holocene
SCPT,57360,-43.55132026,172.688229,,151.53,168.52,20,20,151.53,20,224.67,184.55,,211.89,149.43,303.97,Holocene
SCPT,57346,-43.50432885,172.6606394,,155.01,172.43,20,20,155.01,20,253.26,208.04,,244.89,170.94,315.07,Holocene
SCPT,57342,-43.505482,172.690785,,155.18,172.62,20,20,155.18,20,230.51,189.35,,218.74,152.89,302.79,Holocene
SCPT,57341,-43.5488182,172.6953762,,155.32,172.78,20,20,155.32,20,248.47,204.1,,237.75,164.51,313.2,Holocene
SCPT,57365,-43.56062968,172.6731269,,159.28,177.23,20,20,159.28,20,218.6,179.57,,195.97,146.39,308.88,Holocene
SCPT,57354,-43.508116,172.6871821,,160.78,178.91,20,20,160.78,20,236.69,194.42,,230.68,154.87,305.9,Holocene
SCPT,57347,-43.51079149,172.7099546,,167.36,186.3,20,20,167.36,20,261.71,214.97,,244.34,172.47,322.13,Holocene
SCPT,57366,-43.51040145,172.6619984,,167.5,186.46,20,20,167.5,20,238.52,195.93,,237.24,157.82,308.55,Holocene
SCPT,57363,-43.50611714,172.6157121,,168.99,188.13,20,20,168.99,20,227.46,186.84,,213.87,158.4,309.31,Holocene
SCPT,57349,-43.50927048,172.7064843,,169.4,188.59,20,20,169.4,20,248.39,204.03,,242.76,161.23,316.62,Holocene
SCPT,57348,-43.51158915,172.7114306,,176.48,196.55,20,20,176.48,20,248.27,203.93,,235.85,163.8,315.57,Holocene
SCPT,57350,-43.4952059,172.7181249,,176.77,196.88,20,20,176.77,20,263.62,216.55,,254.06,170.99,324.99,Holocene
SCPT,57343,-43.50669469,172.7213946,,178.41,198.73,20,20,178.41,20,277.28,227.77,,258.94,180.72,336.37,Holocene
SCPT,184148,-36.85208434,174.6468466,,183.98,204.99,20,20,183.98,20,164.29,134.96,,154.78,115.68,269.02,Holocene
SCPT,114319,-38.37377765,178.3003988,,197.75,220.48,20,20,197.75,20,203.84,167.44,,175.69,138.69,275.07,Holocene
SCPT,114322,-38.37333699,178.3015789,,203.82,227.32,20,20,203.82,20,211.3,173.57,,180.1,143.32,277.12,Holocene
SCPT,156308,-38.65493425,175.9254147,,206.58,230.42,20,19,206.72,19,242.61,199.28,,231.69,161.09,304.87,Holocene
SCPT,156311,-38.65487519,175.9257406,,209.98,234.24,20,19,206.55,19,230.04,188.96,,209.15,152.87,296.13,Holocene
SCPT,156310,-38.6548002,175.9254576,,213.89,238.65,20,17,206.58,17,252.35,207.29,,251.49,159.4,311.5,Holocene
SCPT,156307,-38.65482717,175.9253986,,217.43,242.64,20,19,215.08,19,246.25,202.27,,233.3,163.71,306.34,Holocene
SCPT,14556,-43.56522604,172.6622645,,218.2,243.5,20,20,218.2,20,179.34,147.31,,170.47,122.2,278.82,Pleistocene
SCPT,140251,-37.80127614,175.3096502,,267.18,298.74,20,20,267.18,20,194.37,159.66,,205.48,123.57,280.21,Pleistocene
SCPT,14538,-43.57517125,172.6427437,,341.29,382.49,20,20,341.29,20,218.39,179.4,,202.26,143.62,305.66,Pleistocene
SCPT,154032,-37.66429,176.200125,,207.64,231.62,20,19,206.83,19,231.1,189.83,,205.16,150.97,299.04,Holocene
SCPT,217000,-37.66565,175.507639,,205.49,229.2,20,20,205.49,20,195.25,160.38,,193.11,131.65,292.78,Pleistocene
SCPT,140263,-37.80138623,175.3101067,,264,291.3,21,21,264,21,197.82,162.5,,185.77,135.8,311.27,Pleistocene
SCPT,14552,-43.56605203,172.6620617,,245.85,267.98,22,22,245.85,22,195.94,160.95,,180.91,132.94,294.79,Pleistocene
SCPT,140254,-37.80037772,175.3093123,,183.09,196.95,23,23,183.09,23,199.57,163.94,,174.74,137.6,289.79,Pleistocene
SCPT,156300,-37.7784749,175.3047451,,195.12,208.33,23.5,23,193.61,23,174.59,143.41,,170.51,113.59,248.6,Pleistocene
SCPT,14651,-43.56475088,172.6560089,,217.28,233.9,23,23,217.28,23,192.71,158.29,,173.27,132.84,294.86,Pleistocene
SCPT,14526,-43.56483868,172.6552655,,334.63,360.89,23,23,334.63,23,214.96,176.58,,180.85,145.47,300.58,Pleistocene
SCPT,128450,-37.671587,176.161096,,222.49,239.54,23,23,222.49,23,162.49,133.47,,142.89,108.57,231.3,Holocene
SCPT,148992,-37.68851362,176.2303521,,186.1,197.88,24,24,186.1,24,190.82,156.75,,147.2,135.75,269.87,Holocene
