SDMT_name,,Latitude,Longitude,Location,Vsz,Vs30_measured,max_depth_Vs,matched_depth_Vs,matched_Vsz,max_depth_CPT, Vsz_Andrus 2007-P, Vsz_Andrus 2007-H,, Vsz_Robertson 2009, Vsz_McGann 2015,Vsz_McGann 2018,Geology,,RES
SDMT_173187,192322,-37.71743628,176.3207217,Tauranga,193.3182882,223.4997938,17.5,17,191.48,17,204.69,168.14,,182.83,133.38,258.66,Holocene,,0.361581167
SDMT_178944,163043,-37.71002831,176.1003606,Tauranga,111.0490412,128.199554,16,16,111.05,16,122.29,100.45,,116.21,86.51,210.52,Holocene,,0.249720536
SDMT_178947,163107,-37.71232476,176.1036423,Tauranga,108.308637,121.3619788,19,19,108.31,19,123.02,101.05,,102.2,91.19,223.62,Holocene,,0.172052244
SDMT_66983,66982,-36.96135191,174.7762089,Auckland,188.4249535,212.5061661,19.5,19,185.99,19,165.55,135.99,,109.57,115.49,269.49,Holocene,,0.476508963
SDMT_66984,66982,-36.96139696,174.77621,Auckland,176.8301171,199.2813435,19.5,19,174.23,19,165.55,135.99,,109.57,115.49,269.49,Holocene,,0.411192319
SDMT_92526,91925,-37.69950771,175.2452876,Waikato,281.7614561,332.5345514,16.5,16,283.85,16,204.37,167.87,,209.55,132.81,285.19,Holocene,,0.759526394
SDMT_92534,91941,-37.74725903,175.3073666,Waikato,239.5761181,244.1141864,28.5,28,238.93,28,207.11,170.13,,176.72,148.73,282.84,Holocene,,0.47403804
SDMT_92535,91949,-37.76110836,175.318444,Waikato,178.6956639,181.915116,28,28,178.7,28,173.92,142.86,,158.98,123.89,279.73,Holocene,,0.366314347
SDMT_92536,91950,-37.7610017,175.3188266,Waikato,146.8840673,150.9425495,27.5,17,112.65,17,148.47,121.95,,146.42,101.82,233.64,Holocene,,0.101079118
SDMT_92537,91951,-37.77044692,175.3306329,Waikato,168.5626268,168.5626268,31.5,29,166.73,29,207.52,170.46,,166.45,148.06,285.42,Holocene,,0.118758141
