File Name,Depth, Hegazy Vs, Andrus-H Vs,Andrus-P Vs, Rob Vs, Mc15 Vs,  Mc18 Vs
SCPT_195188_Raw01,3.49,432.78,107.05,130.32,180.44,89.69,243.6
SCPT_195188_Raw01,3.51,433.58,107.85,131.3,181.31,90.25,244.36
SCPT_195188_Raw01,3.53,430.94,107.02,130.28,179.87,89.95,244.65
SCPT_195188_Raw01,3.55,433.13,106.8,130.01,179.67,90.04,245.68
SCPT_195188_Raw01,3.57,441.02,106.73,129.94,180.24,90.31,247.59
SCPT_195188_Raw01,3.59,448.67,106.69,129.89,180.79,90.58,249.43
SCPT_195188_Raw01,3.61,444.05,106.42,129.56,179.83,90.53,249.44
SCPT_195188_Raw01,3.63,431.2,106.28,129.39,178.19,90.56,248.54
SCPT_195188_Raw01,3.65,413.69,105.95,128.98,175.8,90.39,246.81
SCPT_195188_Raw01,3.67,405.12,105.62,128.58,174.35,90.3,246.27
SCPT_195188_Raw01,3.69,396.43,104.96,127.78,172.47,89.96,245.53
SCPT_195188_Raw01,3.71,386.25,104.18,126.83,170.29,89.54,244.51
SCPT_195188_Raw01,3.73,373.71,104.03,126.64,168.57,89.35,242.91
SCPT_195188_Raw01,3.75,364.35,103.26,125.71,166.47,88.93,241.93
SCPT_195188_Raw01,3.77,361.88,102.82,125.17,165.51,88.83,242.22
SCPT_195188_Raw01,3.79,362.14,103.37,125.84,166.04,89.25,242.84
SCPT_195188_Raw01,3.81,359.13,103.34,125.81,165.52,89.32,242.9
SCPT_195188_Raw01,3.83,353.12,103.4,125.88,164.75,89.36,242.36
SCPT_195188_Raw01,3.85,349.34,103.12,125.53,163.84,89.29,242.3
SCPT_195188_Raw01,3.87,343.63,102.29,124.53,162.06,88.94,242.02
SCPT_195188_Raw01,3.89,337.76,101.89,124.04,160.76,88.77,241.58
SCPT_195188_Raw01,3.91,331.01,101.9,124.06,159.85,88.75,240.77
SCPT_195188_Raw01,3.93,326.41,102,124.17,159.27,88.83,240.41
SCPT_195188_Raw01,3.95,324.83,102.24,124.46,159.22,89.05,240.63
SCPT_195188_Raw01,3.97,322.51,101.78,123.91,158.26,88.94,240.91
SCPT_195188_Raw01,3.99,312.72,100.24,122.03,155.14,88.13,239.81
SCPT_195188_Raw01,4.01,308.2,99.9,121.62,154.05,87.98,239.47
SCPT_195188_Raw01,4.03,302.47,99.71,121.38,152.99,87.87,238.81
SCPT_195188_Raw01,4.05,305.29,100.17,121.94,153.73,88.32,239.98
SCPT_195188_Raw01,4.07,309.42,101.41,123.45,155.54,89.15,241.19
SCPT_195188_Raw01,4.09,307.95,101.87,124.01,155.76,89.46,241.32
SCPT_195188_Raw01,4.11,305.51,101.64,123.73,155.06,89.42,241.39
SCPT_195188_Raw01,4.13,305.28,101.54,123.62,154.77,89.47,241.88
SCPT_195188_Raw01,4.15,303.49,100.83,122.76,153.58,89.24,242.33
SCPT_195188_Raw01,4.17,298.78,100.23,122.02,152.15,88.99,242.07
SCPT_195188_Raw01,4.19,290.68,99.91,121.63,150.65,88.73,240.74
SCPT_195188_Raw01,4.21,283.94,99.66,121.32,149.38,88.53,239.67
SCPT_195188_Raw01,4.23,278.13,99.67,121.34,148.53,88.46,238.69
SCPT_195188_Raw01,4.25,280.75,100.13,121.9,149.27,88.9,239.82
SCPT_195188_Raw01,4.27,283.24,100.58,122.44,149.97,89.33,240.93
SCPT_195188_Raw01,4.29,287.47,101.15,123.14,151.02,89.83,242.36
SCPT_195188_Raw01,4.31,288.66,101.18,123.18,151.07,89.91,242.96
SCPT_195188_Raw01,4.33,290.26,101.62,123.71,151.64,90.25,243.7
SCPT_195188_Raw01,4.35,291.87,101.58,123.67,151.66,90.42,244.72
SCPT_195188_Raw01,4.37,289.6,101.35,123.39,150.97,90.36,244.77
SCPT_195188_Raw01,4.39,280.68,100.96,122.91,149.27,90.03,243.18
SCPT_195188_Raw01,4.41,276.78,101.06,123.03,148.76,90.08,242.67
SCPT_195188_Raw01,4.43,269.02,100.7,122.59,147.22,89.8,241.29
SCPT_195188_Raw01,4.45,261.33,100.55,122.41,145.94,89.59,239.71
SCPT_195188_Raw01,4.47,257.87,100.22,122,144.96,89.45,239.44
SCPT_195188_Raw01,4.49,252.92,99.78,121.47,143.68,89.22,238.77
SCPT_195188_Raw01,4.51,250.99,99.75,121.44,143.26,89.27,238.77
SCPT_195188_Raw01,4.53,251.4,100.09,121.84,143.57,89.56,239.33
SCPT_195188_Raw01,4.55,253.64,100.31,122.12,144,89.9,240.52
SCPT_195188_Raw01,4.57,267.12,102.11,124.31,147.7,91.35,244.35
SCPT_195188_Raw01,4.59,272.91,102.74,125.07,149.04,92,246.38
SCPT_195188_Raw01,4.61,271.5,103.18,125.61,149.24,92.27,246.34
SCPT_195188_Raw01,4.63,267.68,103,125.4,148.41,92.19,245.91
SCPT_195188_Raw01,4.65,263.66,103.08,125.49,147.85,92.29,245.5
SCPT_195188_Raw01,4.67,260.33,102.51,124.79,146.63,92.06,245.37
SCPT_195188_Raw01,4.69,251.89,101.69,123.79,144.45,91.45,243.61
SCPT_195188_Raw01,4.71,247.67,101.32,123.35,143.35,91.22,242.95
SCPT_195188_Raw01,4.73,239.69,100.7,122.6,141.45,90.72,241.17
SCPT_195188_Raw01,4.75,236.86,100.35,122.17,140.53,90.58,240.99
SCPT_195188_Raw01,4.77,233.73,100.24,122.03,139.85,90.51,240.53
SCPT_195188_Raw01,4.79,227.29,99.89,121.61,138.45,90.19,239.02
SCPT_195188_Raw01,4.81,220.82,99.11,120.65,136.53,89.68,237.7
