gid	Median	Std Dev
01_peat	178.19047999999998	0.20167739189737327
04_fill	272.0000000000001	0.43267111123983787
05_fluvialEstuarine	185.88948270679543	0.1536143252932633
06_alluvium	278.49955116660414	0.40044966388285475
08_lacustrine	422.0000000000001	0.4722105026033303
09_beachBarDune	206.00000000000003	0.37001977745638137
10_fan	275.0000000000001	0.43533629936644613
11_loess	356.51839246888795	0.4294671727895551
12_outwash	313.9315211953079	0.3098856905413819
13_floodplain	190.28971598895518	0.20076915748402108
14_moraineTill	339.85290935932846	0.1139154177790198
15_undifSed	621.9999999999999	0.4220688481869772
16_terrace	270.00000000000006	0.3488442707008745
17_volcanic	999.9999999999998	0.5
18_crystalline	679.0000000000001	0.48910821360337625
NO DATA	236.02474680253334	0.37707769419825604
