tid	Median	Std Dev	Count
T01	675.0000000000002	0.31547387257172754	29
T02	636.0000000000001	0.4352755173520282	30
T03	683.0	0.3270825735312815	31
T04	656.9999999999997	0.41326429818304744	25
T05	689.9999999999998	0.4256731889619008	77
T06	425.6195484232371	0.4673434296400027	60
T07	679.0000000000001	0.2821080134209157	134
T08	674.0	0.4039115562907696	45
T09	482.1825380496476	0.5218045732003999	56
T10	298.00000000000006	0.332406952759804	69
T11	589.9999999999998	0.582252967720702	97
T12	305.72373149626446	0.41950351843798955	20
T13	240.4081080163479	0.47962300563431204	60
T14	265.8073362418727	0.292405884286353	58
T15	204.40501	0.3781635814546949	345
T16	213.6258584359582	0.32694678806244126	444
UNDEFINED DATA	305.00000000000006	0.6880522949750926	99
