Depth,Qc,Fc,u
0,0.1046,0,-0.0005
0.01,0.316,0,-0.0005
0.02,0.439,0,-0.0005
0.03,0.539,0.0006,-0.0005
0.04,0.6543,0.0012,-0.0005
0.05,0.8388,0.0024,-0.0006
0.06,1.0541,0.0049,-0.0007
0.07,1.3539,0.0058,-0.0007
0.08,1.5154,0.0067,-0.0007
0.09,1.8652,0.0067,-0.0007
0.09999999,2.0997,0.0076,-0.0007
0.11,2.3534,0.008,-0.0007
0.12,2.7917,0.0084,-0.0007
0.13,2.957,0.0093,-0.0007
0.14,3.3376,0.01,-0.0007
0.15,3.6105,0.0106,-0.0007
0.16,4.1948,0.0113,-0.0007
0.17,4.5216,0.0126,-0.0007
0.18,4.8522,0.0149,-0.0007
0.19,5.4365,0.0171,-0.0007
0.2,5.6633,0.0184,-0.0007
0.21,6.0747,0.0196,-0.0007
0.22,6.2515,0.0204,-0.0006
0.23,6.3937,0.0206,-0.0005
0.2400001,6.5475,0.0203,-0.0006
0.2500001,6.7589,0.02,-0.0007
0.2600001,6.8973,0.0189,-0.0007
0.27,6.9742,0.0186,-0.0007
0.28,6.7858,0.0186,-0.0007
0.29,6.6167,0.0185,-0.0007
0.3,6.5321,0.0184,-0.0007
0.31,6.4937,0.0182,-0.0007
0.32,6.4699,0.018,-0.0008
0.33,6.4611,0.0181,-0.0008
0.34,6.4755,0.0176,-0.0009
0.35,6.4898,0.017,-0.0009
0.36,6.5014,0.0164,-0.0009
0.3699999,6.4706,0.0164,-0.0009
0.3799999,6.4322,0.0165,-0.0009
0.3899999,6.3168,0.0165,-0.0009
0.3999999,6.2707,0.0167,-0.0009
0.4099999,6.2784,0.0173,-0.0009
0.4199999,6.2361,0.0176,-0.0009
0.4299999,6.2515,0.0181,-0.0009
0.4399999,6.1977,0.018,-0.0009
0.4499999,6.1093,0.0183,-0.0009
0.4599999,6.0593,0.0183,-0.0009
0.4699998,5.8824,0.0182,-0.0009
0.4799998,5.7671,0.0182,-0.0009
0.4899998,5.6403,0.0181,-0.0009
0.4999998,5.5134,0.0162,-0.0009
0.5099998,5.3097,0.0155,-0.0009
0.5199998,5.2097,0.0145,-0.0009
0.5299998,5.2073,0.0139,-0.0009
0.5399998,5.2116,0.0137,-0.0009
0.5499998,5.2158,0.0137,-0.0009
0.5599998,5.2251,0.014,-0.0009
0.5699998,5.2712,0.0143,-0.0009
0.5799997,5.2405,0.0154,-0.0009
0.5899997,5.2366,0.0163,-0.0009
0.5999997,5.0675,0.0167,-0.001
0.6099997,4.9175,0.0168,-0.001
0.6199997,4.8099,0.0169,-0.0011
0.6299997,4.6638,0.017,-0.0011
0.6399997,4.5716,0.017,-0.0012
0.6499997,4.4639,0.0171,-0.0012
0.6599997,4.4257,0.0172,-0.0012
0.6699997,4.4069,0.0176,-0.0012
0.6799996,4.4052,0.0181,-0.0011
0.6899996,4.4035,0.0184,-0.0009
0.6999996,4.4063,0.0194,-0.0009
0.7099996,4.4024,0.0195,-0.0007
0.7199996,4.364,0.0195,-0.0007
0.7299996,4.2756,0.0195,-0.0008
0.7399996,4.2179,0.0195,-0.0008
0.7499996,4.1256,0.0195,-0.0009
0.7599996,4.0411,0.0191,-0.0008
0.7699996,3.9834,0.0184,-0.0008
0.7799996,3.9759,0.0172,-0.0008
0.7899995,3.984,0.0167,-0.0007
0.7999995,3.9921,0.0158,-0.0007
0.8099995,4.0103,0.0157,-0.0007
0.8199995,4.1064,0.0157,-0.0007
0.8299995,4.314,0.0157,-0.0007
0.8399995,4.437,0.0157,-0.0007
0.8499995,4.5946,0.0171,-0.0007
0.8599995,4.7715,0.0184,-0.0007
0.8699995,4.9944,0.0199,-0.0007
0.8799995,5.2251,0.0265,-0.0007
0.8899994,5.6556,0.0306,-0.0007
0.8999994,5.8671,0.0334,-0.0007
0.9099994,6.067,0.0371,-0.0007
0.9199994,6.1746,0.039,-0.0007
0.9299994,6.2976,0.0419,-0.0007
0.9399994,6.3668,0.0503,-0.0007
0.9499994,6.3438,0.0542,-0.0007
0.9599994,6.3092,0.0573,-0.0007
0.9699994,6.2361,0.062,-0.0007
0.9799994,6.1784,0.068,-0.0007
0.9899994,6.0862,0.0743,-0.0007
0.9999993,6.017,0.078,-0.0007
1.009999,5.7133,0.0797,-0.0007
1.019999,5.4634,0.0802,-0.0006
1.029999,5.2097,0.0793,-0.0005
1.039999,4.8253,0.0784,0.0003
1.049999,4.6138,0.0749,0.003
1.059999,4.3217,0.0732,0.0072
1.069999,4.2179,0.0719,0.0113
1.079999,4.0372,0.0713,0.0262
1.089999,3.8142,0.07,0.0343
1.099999,3.3606,0.0682,0.0372
1.109999,3.1069,0.0678,0.0318
1.119999,2.6341,0.0627,0.0264
1.129999,2.4457,0.0607,0.0117
1.139999,2.2727,0.0592,0.0099
1.149999,2.0613,0.0576,0.0106
1.159999,1.8998,0.0546,0.0113
1.169999,1.8871,0.0523,0.0135
1.179999,1.9003,0.0499,0.0181
1.189999,1.9135,0.0505,0.0239
1.199999,2.0151,0.0505,0.0291
1.209999,2.3458,0.0507,0.0293
1.219999,2.7571,0.051,0.0276
1.229999,3.1146,0.0567,0.0167
1.239999,3.2145,0.0582,-0.0079
1.249999,3.0223,0.0612,-0.0103
1.259999,2.9185,0.0641,-0.0098
1.269999,2.8763,0.0644,-0.0093
1.279999,2.8378,0.0645,-0.0079
1.289999,2.6494,0.0646,-0.0026
1.299999,2.5418,0.0652,-0.0003
1.309999,2.4111,0.0655,0.0096
1.319999,2.6687,0.0654,0.0154
1.329999,2.0497,0.0654,0.0076
1.339999,1.8229,0.0645,0.0005
1.349999,1.6922,0.0608,-0.0032
1.359999,1.3885,0.0547,-0.0039
1.369999,1.3001,0.0448,-0.0041
1.379999,1.2999,0.044,-0.0042
1.389999,1.3,0.0431,-0.0036
1.399999,1.3001,0.0431,-0.003
1.409999,1.4039,0.0431,-0.0019
1.419999,1.5423,0.0404,-0.0009
1.429999,2.2266,0.038,-0.0001
1.439999,2.8109,0.0334,0.0001
1.449999,3.499,0.0331,-0.0015
1.459999,4.1987,0.033,-0.0017
1.469999,5.1482,0.0331,-0.0017
1.479999,5.4711,0.0332,-0.0017
1.489999,5.7556,0.0356,-0.0011
1.499999,5.9978,0.0368,-0.0019
1.509999,6.1169,0.0373,-0.0019
1.519999,6.1515,0.0373,-0.0019
1.529999,6.0977,0.0372,-0.0017
1.539999,5.8824,0.0371,-0.0015
1.549999,5.7863,0.0371,-0.0011
1.559999,5.7376,0.0366,-0.0013
1.569999,5.7565,0.0366,-0.0009
1.579999,5.7753,0.0365,-0.0009
1.589999,5.8171,0.0366,-0.0005
1.599999,5.9747,0.0367,-0.0005
1.609999,6.3015,0.0367,-0.001
1.619999,6.5052,0.0367,-0.0011
1.629999,6.8627,0.0365,-0.001
1.639999,7.0203,0.0358,-0.001
1.649999,7.2395,0.0356,-0.0007
1.659999,7.301,0.0355,-0.0007
1.669999,7.4278,0.0357,-0.0005
1.679999,7.5047,0.0358,0.0001
1.689999,7.6623,0.0397,-0.0001
1.699999,7.7354,0.0428,-0.0002
1.709999,7.9007,0.0461,-0.0002
1.719999,7.9391,0.0539,-0.0001
1.729999,7.9852,0.057,-0.0001
1.739999,8.0506,0.0625,-0.0001
1.749999,8.0467,0.0646,-0.0001
1.759999,8.0121,0.0696,0
1.769999,7.9583,0.0721,0.0001
1.779999,7.8315,0.0737,0.0003
1.789999,7.6085,0.0758,0.0003
1.799999,7.5355,0.0826,0.0005
1.809999,7.3048,0.0861,0.0005
1.819999,7.1856,0.092,0.0006
1.829999,6.9896,0.092,0.0007
1.839999,6.8819,0.092,0.0007
1.849999,6.782,0.0914,0.0009
1.859999,6.4975,0.09,0.0012
1.869999,6.3822,0.0888,0.0016
1.879999,6.2515,0.088,0.0018
1.889999,5.9862,0.0869,-0.0006
1.899999,5.8478,0.0791,-0.0015
1.909999,5.7056,0.0764,-0.0024
1.919999,5.4173,0.072,-0.0024
1.929999,5.2212,0.0603,-0.0031
1.939999,5.0559,0.0534,-0.0038
1.949998,4.9714,0.0467,-0.0034
1.959998,4.6792,0.0425,-0.0055
1.969998,4.4178,0.0372,-0.0065
1.979998,4.1641,0.0354,-0.0065
1.989998,3.9027,0.0344,-0.0063
1.999998,3.3798,0.034,-0.0061
2.009999,3.0915,0.0337,-0.0017
2.019999,2.8378,0.0336,-0.0019
2.029999,2.5956,0.0335,-0.0013
2.039999,2.1612,0.0333,-0.0013
2.049999,1.9498,0.033,-0.0011
2.059999,1.7653,0.0327,-0.0009
2.069999,1.5961,0.0284,-0.0005
2.079998,1.3655,0.0242,-0.0009
2.089998,1.3117,0.0186,-0.0008
2.099998,1.2847,0.0173,-0.0007
2.109998,1.2348,0.0172,0.0007
2.119998,1.1385,0.0171,0.0022
2.129998,1.0922,0.0171,0.0051
2.139998,1.077,0.0171,0.0059
2.149998,1.0905,0.0171,0.0063
2.159998,1.1041,0.0171,0.0061
2.169998,1.1848,0.0171,0.0067
2.179998,1.3655,0.0171,0.0072
2.189998,2.1766,0.0173,0.0084
2.199998,2.8609,0.0182,0.0101
2.209998,3.4106,0.0191,0.0051
2.219998,3.6682,0.0204,0.0016
2.229998,3.945,0.0222,0.0016
2.239998,4.0411,0.0279,0.0016
2.249998,4.1794,0.0319,0.0016
2.259998,4.2948,0.0359,0.0016
2.269998,4.6138,0.0396,0.0018
2.279998,4.8483,0.0415,0.0032
2.289998,5.0675,0.0438,0.0028
2.299998,5.2789,0.0471,0.003
2.309998,5.8363,0.049,0.0034
2.319998,5.9862,0.0519,0.0047
2.329998,6.1362,0.057,0.0078
2.339998,6.6667,0.0585,0.0047
2.349998,6.8204,0.0603,-0.0016
2.359998,6.9165,0.0621,-0.0046
2.369998,6.9089,0.062,-0.0045
2.379998,6.9127,0.062,-0.0043
2.389998,6.9473,0.0618,-0.0034
2.399998,6.8896,0.0592,-0.0032
2.409998,6.7897,0.0578,-0.0023
2.419998,6.7051,0.0548,-0.0024
2.429998,6.4053,0.0547,-0.0011
2.439998,6.2015,0.0549,-0.0017
2.449998,5.9094,0.0552,-0.0017
2.459998,5.7248,0.0563,-0.0017
2.469998,5.5288,0.0585,-0.0017
2.479998,5.1444,0.0597,-0.0013
2.489998,5.0213,0.0601,-0.0016
2.499998,4.9406,0.0602,-0.0014
2.509998,4.9272,0.0603,-0.0013
2.519998,4.9137,0.0596,-0.0009
2.529998,4.9022,0.059,-0.0003
