Depth,Qc,Fc,u
1.569999,0.3635,0.009,0.0224
1.579999,0.3659,0.0085,0.0307
1.589999,0.3814,0.0085,0.0313
1.599999,0.3814,0.0067,0.0313
1.609999,0.3775,0.0058,0.0279
1.619999,0.3426,0.0058,0.029
1.629999,0.2961,0.0057,0.03
1.639999,0.2983,0.0056,0.0334
1.649999,0.3005,0.0056,0.0334
1.659999,0.3103,0.0054,0.0559
1.669999,0.331,0.0055,0.0652
1.679999,0.393,0.0057,0.0578
1.689999,0.4434,0.006,0.0601
1.699999,0.4434,0.0063,0.0601
1.709999,0.5519,0.0065,0.0553
1.719999,0.707,0.0065,0.0147
1.729999,0.707,0.0066,0.0147
1.739999,0.7147,0.0066,-0.0011
1.749999,0.5713,0.0066,-0.0016
1.759999,0.4667,0.0062,-0.0011
1.769999,0.3853,0.0059,-0.0006
1.779999,0.2922,0.0058,0.0005
1.789999,0.2922,0.0057,0.0005
1.799999,0.2651,0.0057,0.0156
1.809999,0.2651,0.0053,0.0156
1.819999,0.2516,0.0046,0.04
1.829999,0.238,0.004,0.0465
1.839999,0.238,0.004,0.0465
1.849999,0.2283,0.0024,0.0549
1.859999,0.2186,0.0021,0.0584
1.869999,0.2186,0.0021,0.0584
1.879999,0.1953,0.0021,0.0611
1.889999,0.1953,0.0021,0.0639
1.899999,0.1953,0.0021,0.0689
1.909999,0.1953,0.0021,0.0721
1.919999,0.1953,0.0021,0.0721
1.929999,0.2012,0.0021,0.082
1.939999,0.207,0.0021,0.0805
1.949998,0.2109,0.0021,0.0742
1.959998,0.2147,0.002,0.0677
1.969998,0.2147,0.0019,0.0677
1.979998,0.2109,0.0019,0.0625
1.989998,0.207,0.0018,0.0612
1.999998,0.207,0.0018,0.0616
2.009999,0.1992,0.0018,0.0619
2.019999,0.1915,0.0018,0.0631
2.029999,0.1876,0.0018,0.066
2.039999,0.1876,0.0018,0.0696
2.049999,0.1798,0.0018,0.0704
2.059999,0.1798,0.0018,0.0704
2.069999,0.1779,0.0018,0.071
2.079998,0.1769,0.0018,0.071
2.089998,0.1767,0.0018,0.0719
2.099998,0.1768,0.0018,0.0727
2.109998,0.1769,0.0018,0.0746
2.119998,0.1798,0.0018,0.0769
2.129998,0.174,0.0018,0.0763
2.139998,0.1711,0.0018,0.0747
2.149998,0.1705,0.0018,0.0731
2.159998,0.1709,0.0018,0.0731
2.169998,0.1712,0.0018,0.0735
2.179998,0.1721,0.0018,0.0738
2.189998,0.1721,0.0018,0.0746
2.199998,0.174,0.0018,0.079
2.209998,0.176,0.0018,0.0813
2.219998,0.1798,0.0017,0.083
2.229998,0.176,0.0016,0.0821
2.239998,0.174,0.0016,0.0821
2.249998,0.1736,0.0016,0.0821
2.259998,0.1735,0.0016,0.0826
2.269998,0.1738,0.0016,0.0835
2.279998,0.1742,0.0016,0.0853
2.289998,0.176,0.0016,0.0872
2.299998,0.1798,0.0016,0.0858
2.309998,0.1837,0.0016,0.0855
2.319998,0.1818,0.0016,0.0854
2.329998,0.1828,0.0016,0.0857
2.339998,0.1837,0.0016,0.0859
2.349998,0.1837,0.0015,0.0859
2.359998,0.1837,0.0015,0.0811
2.369998,0.1837,0.0015,0.0809
2.379998,0.1798,0.0015,0.0809
2.389998,0.176,0.0015,0.0801
2.399998,0.1759,0.0015,0.08
2.409998,0.1759,0.0012,0.0801
2.419998,0.176,0.001,0.0802
2.429998,0.176,0.001,0.0808
2.439998,0.1702,0.001,0.082
2.449998,0.1692,0.001,0.0805
2.459998,0.1706,0.0013,0.0784
2.469998,0.1721,0.0013,0.0783
2.479998,0.1697,0.0014,0.0783
2.489998,0.1715,0.0014,0.0782
2.499998,0.1734,0.0014,0.0799
2.509998,0.1779,0.0014,0.0754
2.519998,0.1876,0.0013,0.075
2.529998,0.1876,0.0013,0.0754
2.539998,0.1876,0.0013,0.0757
2.549998,0.176,0.0013,0.0778
2.559998,0.1721,0.0013,0.0798
2.569998,0.1682,0.0013,0.0822
2.579998,0.1682,0.0013,0.0822
