Depth,Qc,Fc,u
0,0.1461,0,-0.0002
0.01,0.3229,0,-0.0002
0.02,0.3729,0,-0.0002
0.03,0.4767,0.001,-0.0003
0.04,0.5959,0.002,-0.0004
0.05,0.8073,0.004,-0.0004
0.06,1.4108,0.0081,-0.0008
0.07,1.63,0.012,-0.0075
0.08,1.63,0.0133,-0.0095
0.09,1.7261,0.0147,-0.0083
0.09999999,1.7107,0.0141,-0.007
0.11,1.6261,0.0158,-0.0037
0.12,1.5492,0.0161,-0.0029
0.13,1.4531,0.0162,-0.0019
0.14,1.3378,0.0162,-0.0021
0.15,1.234,0.0162,-0.0014
0.16,1.1264,0.0158,-0.0012
0.17,1.0303,0.0149,-0.0012
0.18,0.9495,0.0149,-0.0008
0.19,0.8919,0.0149,-0.0008
0.2,0.8573,0.0149,-0.0006
0.21,0.8227,0.0155,-0.0006
0.22,0.8227,0.0162,-0.0004
0.23,0.7881,0.0179,-0.0006
0.2400001,0.789,0.0268,-0.0006
0.2500001,0.79,0.0259,-0.0006
0.2600001,0.7938,0.0286,-0.0006
0.27,0.8265,0.0308,0.0004
0.28,0.865,0.0344,0.0004
0.29,0.8919,0.0388,0.0014
0.3,0.8957,0.0409,0.0023
0.31,0.9303,0.0445,0.0019
0.32,1.0033,0.0462,0.0022
0.33,0.988,0.0505,0.0025
0.34,0.9687,0.0523,0.0149
0.35,0.9534,0.0525,0.0213
0.36,0.9226,0.0525,0.0279
0.3699999,0.8726,0.0522,0.031
0.3799999,0.8342,0.0518,0.0273
0.3899999,0.7573,0.0503,0.0268
0.3999999,0.7189,0.0491,0.0263
0.4099999,0.6343,0.0467,0.0269
0.4199999,0.6074,0.0433,0.025
0.4299999,0.5882,0.0392,0.0226
0.4399999,0.542,0.0353,0.0151
0.4499999,0.4921,0.0305,0.0083
0.4599999,0.4575,0.0264,0.0015
0.4699998,0.4229,0.0232,0.0007
0.4799998,0.396,0.0177,0.0006
0.4899998,0.3767,0.0154,0.0006
0.4999998,0.3734,0.0136,0.0006
0.5099998,0.3718,0.0111,0.0031
0.5199998,0.3724,0.0098,0.0041
0.5299998,0.3729,0.0089,0.0052
0.5399998,0.3921,0.0088,0.006
0.5499998,0.4575,0.0087,0.007
0.5599998,0.5036,0.0096,0.0087
0.5699998,0.5459,0.0105,0.0095
0.5799997,0.6727,0.0121,0.0103
0.5899997,0.7573,0.0147,0.0074
0.5999997,0.8803,0.0204,0.0019
0.6099997,0.988,0.0215,-0.0042
0.6199997,1.0725,0.0235,-0.0073
0.6299997,1.134,0.0258,-0.0087
0.6399997,1.1917,0.0284,-0.009
0.6499997,1.2763,0.0299,-0.0052
0.6599997,1.3685,0.0311,-0.0014
0.6699997,1.5454,0.0318,0.0048
0.6799996,1.7914,0.032,0.0017
0.6899996,2.0797,0.0322,-0.011
0.6999996,2.2989,0.0323,-0.0254
0.7099996,2.468,0.0323,-0.0377
0.7199996,2.6487,0.0324,-0.0434
0.7299996,2.6871,0.0324,-0.0457
0.7399996,2.6602,0.0323,-0.0467
0.7499996,2.5987,0.0323,-0.0467
0.7599996,2.4911,0.0322,-0.0467
0.7699996,2.3488,0.0322,-0.0432
0.7799996,2.1489,0.0322,-0.0407
0.7899995,1.9913,0.0322,-0.0416
0.7999995,1.8606,0.0334,-0.0413
0.8099995,1.7222,0.0336,-0.041
0.8199995,1.4531,0.0337,-0.0401
0.8299995,1.3647,0.0325,-0.0391
0.8399995,1.3664,0.0314,-0.0393
0.8499995,1.3682,0.029,-0.0381
0.8599995,1.3899,0.026,-0.0376
0.8699995,1.4377,0.0231,-0.0377
0.8799995,1.6069,0.0205,-0.0381
0.8899994,1.8337,0.0178,-0.0381
0.8999994,2.2489,0.0154,-0.0381
0.9099994,2.3873,0.0126,-0.0363
0.9199994,2.5257,0.0102,-0.03
0.9299994,2.6333,0.0066,-0.0201
0.9399994,2.7102,0.0055,-0.0161
0.9499994,2.7794,0.0045,-0.0122
0.9599994,2.8294,0.0037,-0.0106
0.9699994,2.8678,0.0034,-0.0077
0.9799994,2.9293,0.0034,-0.005
0.9899994,2.9485,0.0034,-0.0031
0.9999993,2.9754,0.0035,0.0014
1.009999,2.9908,0.0036,0.0029
1.019999,3.01,0.0038,0.0029
1.029999,3.0062,0.004,0.0037
1.039999,2.9947,0.0041,0.0045
1.049999,2.9524,0.0045,0.0048
1.059999,2.8909,0.0049,0.0052
1.069999,2.8486,0.0049,0.0052
1.079999,2.8255,0.0051,0.0072
1.089999,2.814,0.0053,0.0068
1.099999,2.8125,0.0051,0.0074
1.109999,2.8138,0.0054,0.0074
1.119999,2.8151,0.0058,0.0074
1.129999,2.8178,0.0058,0.0074
1.139999,2.8255,0.0059,0.0075
1.149999,2.8255,0.006,0.0075
1.159999,2.8563,0.006,0.0074
1.169999,2.8409,0.0061,0.0075
1.179999,2.8294,0.006,0.0076
1.189999,2.7871,0.006,0.0077
1.199999,2.7871,0.0059,0.0081
1.209999,2.7563,0.0059,0.0079
1.219999,2.7534,0.0059,0.0077
1.229999,2.755,0.0058,0.0077
1.239999,2.7566,0.0057,0.0076
1.249999,2.7602,0.0057,0.0076
1.259999,2.7755,0.0057,0.0077
1.269999,2.7948,0.0057,0.0077
