Depth,Qc,Fc,u
1.539999,1.234,0.0402,0.0012
1.549999,1.2032,0.0395,0.0015
1.559999,1.1648,0.0388,0.0017
1.569999,1.0379,0.0388,0.0032
1.579999,1.0495,0.0387,0.0051
1.589999,0.7573,0.0386,0.0198
1.599999,0.5689,0.0375,0.0272
1.609999,0.4959,0.0335,0.0295
1.619999,0.4575,0.0307,0.0365
1.629999,0.3806,0.0285,0.0365
1.639999,0.3075,0.0228,0.0371
1.649999,0.2191,0.0227,0.0378
1.659999,0.2037,0.0198,0.0438
1.669999,0.1845,0.0176,0.0531
1.679999,0.1768,0.0155,0.0601
1.689999,0.1538,0.0154,0.0593
1.699999,0.1499,0.0131,0.056
1.709999,0.1653,0.0123,0.0481
1.719999,0.148,0.0118,0.0496
1.729999,0.1307,0.0113,0.0432
1.739999,0.1307,0.0113,0.0392
1.749999,0.1283,0.0113,0.0363
1.759999,0.1285,0.0112,0.0361
1.769999,0.1288,0.0107,0.036
1.779999,0.1345,0.0102,0.0384
1.789999,0.1461,0.009,0.0407
1.799999,0.173,0.009,0.0407
1.809999,0.2806,0.009,0.0322
1.819999,0.3806,0.009,0.0305
1.829999,0.6343,0.0089,0.0123
1.839999,0.6958,0.0088,0.0121
1.849999,0.7496,0.0084,0.0121
1.859999,0.7573,0.0079,0.0122
1.869999,0.7458,0.0083,0.0123
1.879999,0.7227,0.0078,0.0127
1.889999,0.6497,0.0076,0.0148
1.899999,0.6112,0.0076,0.0169
1.909999,0.5997,0.0076,0.0163
1.919999,0.5882,0.0076,0.0169
1.929999,0.5805,0.0076,0.0171
1.939999,0.5459,0.0078,0.0181
1.949998,0.4844,0.0092,0.0187
1.959998,0.4229,0.0097,0.0187
1.969998,0.396,0.0099,0.0188
1.979998,0.3498,0.0101,0.019
1.989998,0.3465,0.0101,0.0192
1.999998,0.3499,0.0101,0.0196
2.009999,0.3533,0.0102,0.0235
2.019999,0.3614,0.0103,0.0254
2.029999,0.4382,0.0105,0.0148
2.039999,0.469,0.0111,0.0121
2.049999,0.4767,0.0113,0.0055
2.059999,0.4959,0.0116,0.0049
2.069999,0.5036,0.0117,0.0032
2.079998,0.4767,0.0118,0.0032
2.089998,0.4267,0.0118,0.0035
2.099998,0.296,0.0119,0.0038
2.109998,0.283,0.0123,0.0223
2.119998,0.277,0.0129,0.0318
2.129998,0.2808,0.0144,0.0345
2.139998,0.2845,0.0151,0.0386
2.149998,0.2922,0.0158,0.0371
2.159998,0.2999,0.016,0.0357
2.169998,0.3075,0.0162,0.0343
2.179998,0.3037,0.0163,0.0309
2.189998,0.2999,0.0163,0.0262
2.199998,0.2922,0.0163,0.0061
2.209998,0.2922,0.0164,-0.0011
2.219998,0.2883,0.0164,-0.0044
2.229998,0.2691,0.0163,-0.0051
2.239998,0.2645,0.0163,0.0006
2.249998,0.2664,0.0155,0.0063
2.259998,0.2682,0.0137,0.0177
2.269998,0.2729,0.0126,0.0241
2.279998,0.3306,0.0115,0.0223
2.289998,0.4921,0.0107,0.0214
2.299998,0.6189,0.0075,0.0175
2.309998,0.715,0.0055,0.0176
2.319998,0.7919,0.0046,0.0178
2.329998,0.8803,0.0038,0.0182
2.339998,0.8688,0.003,0.021
2.349998,0.8736,0.0028,0.0233
2.359998,0.8784,0.0028,0.0239
2.369998,0.8919,0.0028,0.0217
2.379998,0.9265,0.0028,0.0207
2.389998,0.9611,0.004,0.0208
2.399998,0.9803,0.0053,0.0209
2.409998,1.0187,0.0063,0.0212
2.419998,1.0418,0.0082,0.0223
2.429998,1.0879,0.0099,0.0223
2.439998,1.134,0.0105,0.0245
2.449998,1.2148,0.0108,0.027
2.459998,1.2494,0.0107,0.0295
2.469998,1.284,0.0107,0.0293
2.479998,1.3263,0.0106,0.0297
2.489998,1.307,0.0103,0.0241
2.499998,1.3666,0.0091,0.0214
2.509998,1.4262,0.008,0.0163
2.519998,1.4839,0.0073,0.0167
2.529998,1.6107,0.0066,0.0152
2.539998,1.6107,0.0064,0.0144
2.549998,1.5646,0.0046,0.0143
2.559998,1.5531,0.0043,0.0142
2.569998,1.4762,0.0042,0.0153
2.579998,1.407,0.0041,0.0163
2.589998,1.284,0.0041,0.0216
2.599998,1.1648,0.0038,0.0245
2.609998,0.9841,0.0039,0.0276
2.619998,0.8996,0.0041,0.0283
2.629998,0.8304,0.0045,0.0293
2.639998,0.7688,0.005,0.0309
2.649998,0.6804,0.0065,0.0318
2.659998,0.6458,0.0083,0.0351
2.669998,0.6458,0.0082,0.0382
2.679998,0.6266,0.0093,0.0378
2.689998,0.5459,0.0098,0.0374
2.699998,0.5459,0.0102,0.0361
2.709998,0.4575,0.0113,0.037
2.719998,0.4075,0.0125,0.0322
2.729998,0.3921,0.0155,0.0314
2.739998,0.3929,0.0162,0.0284
2.749998,0.3937,0.0164,0.0254
2.759998,0.4008,0.0165,0.0256
2.769998,0.4459,0.0165,0.0151
2.779998,0.5228,0.0165,0.0099
2.789998,0.5728,0.0166,0.0079
2.799998,0.5805,0.0169,0.0079
2.809998,0.6305,0.0177,0.008
2.819998,0.7458,0.0176,0.0068
2.829998,0.888,0.0218,0.0085
2.839998,1.0341,0.0224,0.0101
2.849998,1.307,0.0227,0.014
2.859998,1.3955,0.0229,0.0177
2.869998,1.4185,0.0229,0.0202
2.879998,1.3801,0.023,0.0252
2.889998,1.2532,0.023,0.028
2.899998,1.2302,0.0246,0.0314
2.909998,1.1879,0.0245,0.0341
2.919998,1.1225,0.0243,0.0353
2.929998,0.9611,0.0241,0.0396
2.939998,0.8919,0.0239,0.045
2.949998,0.815,0.0215,0.0527
2.959998,0.692,0.0215,0.0583
2.969998,0.6997,0.0203,0.0537
