Depth,Qc,Fc,u
0,0.3493,0,-0.001
0.01,0.7184,0,0
0.02,1.1028,0,0.0002
0.03,1.2873,0.0025,0
0.04,1.4603,0.005,0
0.05,1.6948,0.01,-0.0006
0.06,1.8678,0.0201,-0.0006
0.07,1.9601,0.0402,-0.0006
0.08,2.0101,0.0404,-0.0006
0.09,1.9755,0.0423,-0.0004
0.09999999,1.9216,0.0427,-0.0002
0.11,1.9172,0.0428,-0.0002
0.12,1.9153,0.0435,-0.0001
0.13,1.9175,0.0438,0
0.14,1.9197,0.0438,0
0.15,1.937,0.0438,0
0.16,1.9908,0.0439,0
0.17,2.0485,0.0438,-0.0001
0.18,2.1292,0.0442,-0.0001
0.19,2.1715,0.0446,-0.0002
0.2,2.2984,0.0447,-0.0002
0.21,2.4137,0.0453,-0.0002
0.22,2.4944,0.0454,-0.0002
0.23,2.5598,0.0453,-0.0001
0.2400001,2.5905,0.0452,-0.0001
0.2500001,2.5867,0.045,0
0.2600001,2.6021,0.0449,-0.0004
0.27,2.6444,0.0447,-0.0005
0.28,2.6866,0.0445,-0.0006
0.29,2.7328,0.0444,-0.0006
0.3,2.7251,0.0445,-0.0007
0.31,2.6982,0.0443,-0.0007
0.32,2.6636,0.0444,-0.0006
0.33,2.6434,0.0445,-0.0006
0.34,2.651,0.0446,-0.0002
0.35,2.6585,0.0449,-0.0002
0.36,2.6789,0.0551,0.0015
0.3699999,2.802,0.062,0.0062
0.3799999,3.1479,0.0705,0.013
0.3899999,3.6631,0.0777,0.0385
0.3999999,3.9475,0.0862,0.0167
0.4099999,4.2935,0.096,0.0064
0.4199999,4.5011,0.1083,0.0065
0.4299999,4.947,0.1231,0.0067
0.4399999,5.1546,0.1514,0.0093
0.4499999,5.3699,0.1667,0.0105
0.4599999,5.6928,0.1816,0.0099
0.4699998,5.812,0.1941,0.0117
0.4799998,5.8428,0.2045,0.0136
0.4899998,5.9004,0.2048,0.0132
0.4999998,5.9619,0.2042,0.0137
0.5099998,5.9581,0.2036,0.0142
0.5199998,5.885,0.2023,0.0165
0.5299998,5.8735,0.1934,0.0155
0.5399998,5.8697,0.1887,0.0188
0.5499998,5.8274,0.1824,0.006
0.5599998,5.6659,0.1784,-0.001
0.5699998,5.5045,0.1675,-0.0042
0.5799997,5.4045,0.1574,-0.0056
0.5899997,5.2777,0.1423,-0.007
0.5999997,5.1047,0.129,-0.0066
0.6099997,5.0009,0.1183,-0.0072
0.6199997,4.9201,0.115,-0.0073
0.6299997,4.6933,0.115,-0.0072
0.6399997,4.5972,0.1151,-0.0072
0.6499997,4.5088,0.1152,-0.0066
0.6599997,4.3819,0.1173,-0.0061
0.6699997,4.2512,0.1192,-0.0041
0.6799996,4.0014,0.1238,-0.0019
0.6899996,3.8668,0.1261,0.0025
0.6999996,3.7476,0.1283,0.001
0.7099996,3.6169,0.1315,0.0014
0.7199996,3.5439,0.1333,0.0021
0.7299996,3.4593,0.1362,0.0022
0.7399996,3.4593,0.1363,0.0023
0.7499996,3.3017,0.1361,0.0041
0.7599996,3.2287,0.1359,0.0039
0.7699996,3.1663,0.1348,0.0077
0.7799996,3.1362,0.1327,0.0061
0.7899995,3.1306,0.1318,0.0075
0.7999995,3.1604,0.1318,0.0089
0.8099995,3.1902,0.1315,0.0143
0.8199995,3.2364,0.1313,0.018
0.8299995,3.2786,0.1307,0.023
0.8399995,3.3209,0.1292,0.0238
0.8499995,3.5477,0.1215,0.0221
0.8599995,3.6938,0.1161,0.0106
0.8699995,3.8745,0.1093,0.0066
0.8799995,4.0667,0.0969,0.0033
0.8899994,4.2781,0.091,0.0009
0.8999994,4.3627,0.0841,0
0.9099994,4.2397,0.0783,-0.0002
0.9199994,3.9745,0.0753,-0.0002
0.9299994,3.8438,0.0706,-0.0002
0.9399994,3.7361,0.0687,-0.0002
0.9499994,3.6169,0.0661,-0.0002
0.9599994,3.4785,0.061,-0.0001
0.9699994,3.3325,0.0546,-0.0001
0.9799994,3.0672,0.0526,0
0.9899994,2.5482,0.0517,0.0003
0.9999993,2.4137,0.0516,0.0006
1.009999,2.2522,0.0517,0.0019
1.019999,2.2215,0.0518,0.0029
1.029999,2.2172,0.0524,0.0062
1.039999,2.2128,0.0524,0.0089
1.049999,2.2176,0.0527,0.0091
1.059999,2.2119,0.053,0.0099
1.069999,2.2448,0.054,0.0101
1.079999,2.2777,0.0531,0.0174
1.089999,2.3445,0.0543,0.0186
1.099999,2.6674,0.0579,0.0227
1.109999,2.8404,0.0604,0.0269
1.119999,3.0134,0.0635,0.0267
1.129999,3.1864,0.0639,0.0304
1.139999,3.4055,0.0641,0.03
1.149999,3.5785,0.0638,0.0236
1.159999,3.4747,0.0635,-0.007
1.169999,3.3248,0.0615,-0.0056
1.179999,3.1364,0.0598,-0.0074
1.189999,2.8865,0.0565,-0.0074
1.199999,2.5098,0.0536,-0.0074
1.209999,2.3445,0.0502,-0.0074
1.219999,2.2484,0.0468,-0.0064
1.229999,2.1638,0.042,-0.0035
1.239999,1.987,0.0344,-0.0012
1.249999,1.9178,0.0308,0.0023
1.259999,1.8832,0.0292,0.0012
1.269999,1.8217,0.0285,0.0018
1.279999,1.8186,0.0293,0.0025
1.289999,1.8226,0.0302,0.0066
1.299999,1.8265,0.032,0.0093
1.309999,1.9063,0.0336,0.0106
1.319999,2.0562,0.0344,0.0118
1.329999,2.2676,0.0332,0.0122
1.339999,2.4752,0.032,0.0122
1.349999,2.7674,0.0318,0.0126
1.359999,3.1672,0.0317,0.013
1.369999,3.7592,0.0326,0.0141
1.379999,5.5275,0.0336,0.0116
1.389999,6.2041,0.039,-0.0128
1.399999,6.8423,0.0442,-0.0212
1.409999,7.3958,0.0484,-0.0296
1.419999,7.9494,0.0504,-0.0468
1.429999,8.33,0.0517,-0.0552
1.439999,8.8336,0.054,-0.0556
1.449999,9.8907,0.0543,-0.0565
1.459999,10.3905,0.0545,-0.0569
1.469999,10.7326,0.0548,-0.0561
1.479999,10.8479,0.0552,-0.0567
1.489999,10.9171,0.055,-0.057
1.499999,10.8979,0.0571,-0.057
1.509999,10.8018,0.0575,-0.0549
1.519999,10.6557,0.0576,-0.0528
1.529999,10.6211,0.0574,-0.0507
1.539999,10.2444,0.0572,-0.0412
1.549999,9.9984,0.0565,-0.0196
1.559999,9.9945,0.0558,-0.0159
1.569999,9.9945,0.0555,-0.0194
1.579999,9.9945,0.055,-0.0189
1.589999,9.9945,0.0545,-0.0184
1.599999,9.7908,0.0546,-0.0169
1.609999,9.5793,0.0514,-0.0139
1.619999,9.391,0.049,-0.0103
1.629999,9.168,0.0489,-0.0126
1.639999,8.9412,0.0488,-0.0124
1.649999,8.7259,0.0489,-0.013
1.659999,8.5183,0.049,-0.013
1.669999,8.2377,0.0495,-0.0136
1.679999,7.9801,0.0519,-0.0139
1.689999,7.7226,0.0541,-0.0135
1.699999,7.6967,0.0565,-0.0131
1.709999,7.7035,0.0595,-0.0106
1.719999,7.7103,0.0596,-0.0081
1.729999,7.8187,0.0593,-0.0031
1.739999,8.1839,0.059,-0.0006
1.749999,8.4914,0.0576,0.0004
1.759999,8.5606,0.0558,-0.0045
1.769999,8.4222,0.0534,-0.0265
1.779999,8.2339,0.0504,-0.0273
1.789999,8.0532,0.0473,-0.0249
1.799999,7.8494,0.0429,-0.0224
1.809999,7.5035,0.0386,-0.0083
1.819999,6.7577,0.0336,-0.0043
1.829999,6.3579,0.028,-0.0029
1.839999,6.0772,0.025,-0.0027
1.849999,5.8043,0.0251,-0.0023
