Depth,Qc,Fc,u
0,0.3607,0,0.0005
0.01,0.8339,0,0.0007
0.02,1.4545,0,0.0018
0.03,2.0285,0.0004,0.0005
0.04,2.7228,0.0009,0.0003
0.05,3.0642,0.0017,-0.0001
0.06,3.2348,0.0034,-0.0001
0.07,3.3512,0.0068,-0.0003
0.08,3.4481,0.009,-0.0003
0.09,3.5257,0.0102,-0.0004
0.09999999,3.5529,0.0102,-0.0005
0.11,3.5567,0.0105,-0.0005
0.12,3.6149,0.014,-0.0005
0.13,3.739,0.0144,-0.0005
0.14,3.8127,0.0153,-0.0005
0.15,3.9136,0.0161,-0.0005
0.16,4.0338,0.019,-0.0005
0.17,4.2316,0.0213,-0.0006
0.18,4.3945,0.0235,-0.0007
0.19,4.4799,0.0244,-0.0007
0.2,4.4605,0.0272,-0.0007
0.21,4.5885,0.0285,-0.0007
0.22,4.6932,0.0279,-0.0007
0.23,4.6932,0.0292,-0.0007
0.2400001,4.7475,0.0295,-0.0007
0.2500001,4.7863,0.0308,-0.0007
0.2600001,4.8561,0.032,-0.0007
0.27,4.9957,0.035,-0.0008
0.28,5.05,0.0363,-0.0008
0.29,4.9841,0.0384,-0.0007
0.3,4.8483,0.0427,-0.0007
0.31,4.7863,0.0465,-0.0007
0.32,4.7721,0.0517,-0.0007
0.33,4.7691,0.0579,-0.0007
0.34,4.768,0.0679,-0.0007
0.35,4.781,0.0729,-0.0007
0.36,4.794,0.0779,-0.0007
0.3699999,4.7863,0.0856,-0.0007
0.3799999,4.7902,0.1029,-0.0005
0.3899999,4.7591,0.1089,-0.0009
0.3999999,4.6583,0.1169,-0.0009
0.4099999,4.4721,0.1259,-0.0009
0.4199999,4.4062,0.132,-0.0009
0.4299999,4.3441,0.1412,-0.0007
0.4399999,4.3092,0.1495,-0.0008
0.4499999,4.2821,0.157,-0.0007
0.4599999,4.2355,0.162,-0.0006
0.4699998,4.2316,0.169,-0.0003
0.4799998,4.1928,0.1717,-0.0004
0.4899998,4.1696,0.1717,-0.0005
0.4999998,4.1636,0.1718,-0.0013
0.5099998,4.1636,0.1718,-0.0013
0.5199998,4.1636,0.1718,-0.0013
0.5299998,4.1657,0.172,-0.0013
0.5399998,4.1618,0.1722,-0.0011
0.5499998,4.1347,0.1734,-0.0003
0.5599998,4.1192,0.1761,-0.0001
0.5699998,4.117,0.1793,0.0005
0.5799997,4.1161,0.1829,0.0001
0.5899997,4.1153,0.1878,0.0002
0.5999997,4.1347,0.1976,0.0002
0.6099997,4.1114,0.2033,0.0004
0.6199997,4.0959,0.207,0.0009
0.6299997,4.0106,0.2106,0.0005
0.6399997,3.9485,0.2136,0.0038
0.6499997,3.8632,0.2166,0.0081
0.6599997,3.8321,0.2191,0.0077
0.6699997,3.805,0.2203,0.0077
0.6799996,3.7468,0.22,0.0048
0.6899996,3.6964,0.2197,0.0043
0.6999996,3.6498,0.2187,0.0038
0.7099996,3.6149,0.2165,0.0038
0.7199996,3.5955,0.2074,0.0036
0.7299996,3.5761,0.2034,0.004
