Depth,Qc,Fc,u
0,-0.0016,0,-0.0003
0.01,0.9403,0,-0.0003
0.02,1.2194,0,0.0002
0.03,1.2194,0,0.0002
0.04,1.7155,0,-0.0005
0.05,1.8783,0.004,-0.0001
0.06,2.0178,0.008,-0.0007
0.07,2.1496,0.016,-0.0009
0.08,2.2659,0.0321,-0.0015
0.09,2.2659,0.0641,-0.0015
0.09999999,2.3744,0.0685,-0.0019
0.11,2.4519,0.0685,-0.0019
0.12,2.4907,0.0687,-0.0026
0.13,2.5372,0.07,-0.0029
0.14,2.5372,0.07,-0.0028
0.15,2.5953,0.0701,-0.0027
0.16,2.5798,0.0701,-0.0024
0.17,2.5682,0.0701,-0.0024
0.18,2.5178,0.0692,-0.0024
0.19,2.5178,0.0655,-0.0023
0.2,2.4984,0.0655,-0.0017
0.21,2.4597,0.0635,-0.002
0.22,2.4597,0.0635,-0.0019
0.23,2.3628,0.0603,-0.0017
0.2400001,2.3202,0.0564,-0.0013
0.2500001,2.3202,0.0564,-0.0013
0.2600001,2.2039,0.0503,-0.0017
0.27,2.1419,0.0478,-0.0019
0.28,2.1419,0.0436,-0.002
0.29,1.9558,0.0404,-0.0019
0.3,1.9558,0.0369,-0.0018
0.31,1.8667,0.0369,-0.0013
0.32,1.8085,0.0344,-0.0012
0.33,1.8085,0.0344,-0.0011
0.34,1.7194,0.03,-0.0003
0.35,1.6922,0.0287,-0.0007
0.36,1.6612,0.0281,0.0008
0.3699999,1.6457,0.0278,0.0002
0.3799999,1.6225,0.0277,-0.0002
0.3899999,1.6225,0.0285,-0.0003
0.3999999,1.5837,0.0293,-0.0003
0.4099999,1.5837,0.0293,-0.0002
0.4199999,1.5295,0.0314,-0.0002
0.4299999,1.5217,0.0337,-0.0001
0.4399999,1.5217,0.0337,0.0004
0.4499999,1.4558,0.039,0.0016
0.4599999,1.4209,0.041,0.0058
0.4699998,1.4132,0.043,0.0064
0.4799998,1.4127,0.0449,0.0061
0.4899998,1.4127,0.0476,0.0076
0.4999998,1.4129,0.0476,0.0092
0.5099998,1.4132,0.0496,0.0062
0.5199998,1.4132,0.0496,0.005
0.5299998,1.3977,0.0518,0.0047
0.5399998,1.3977,0.0518,0.006
0.5499998,1.3899,0.0518,0.0073
0.5599998,1.3822,0.052,0.0057
0.5699998,1.3744,0.0522,0.0049
0.5799997,1.3744,0.0521,0.0047
0.5899997,1.3731,0.0531,0.0044
0.5999997,1.373,0.0531,0.0044
0.6099997,1.3795,0.0533,0.0029
0.6199997,1.386,0.054,0.003
0.6299997,1.386,0.054,0.0032
0.6399997,1.4209,0.0556,0.0041
0.6499997,1.4326,0.0562,0.0086
0.6599997,1.4248,0.0564,0.0071
0.6699997,1.4326,0.0578,0.0088
0.6799996,1.4326,0.0599,0.0088
0.6899996,1.4287,0.0599,0.0027
0.6999996,1.4277,0.0617,0.0026
0.7099996,1.4272,0.0621,0.0026
0.7199996,1.4267,0.0622,0.0053
0.7299996,1.4287,0.0628,0.0081
0.7399996,1.4209,0.0628,0.0136
0.7499996,1.4132,0.0638,0.0155
0.7599996,1.4093,0.0639,0.0165
