Depth,Qc,Fc,u
0,0.1837,0,-0.0007
0.01,0.1952,0,-0.0001
0.02,0.2686,0,0.0003
0.03,0.1334,0.0005,-0.0005
0.04,0.0639,0.001,-0.0005
0.05,0.0292,0.002,-0.0005
0.06,0.0137,0.0039,-0.0005
0.07,0.0079,0.0038,-0.0003
0.08,0.0021,0.0037,-0.0003
0.09,0.0021,0.0027,-0.0003
0.09999999,0.0021,0.0003,-0.0003
0.11,0.0021,0.0001,-0.0003
0.12,0.0021,0,-0.0003
0.13,0.002,0,-0.0004
0.14,0.0021,0,-0.0004
0.15,0.0021,0,-0.0003
0.16,0.006,0,-0.0003
0.17,0.0043,0,-0.0003
0.18,0.0037,0,-0.0004
0.19,0.0048,0,-0.0004
0.2,0.006,0,-0.0004
0.21,0.0137,-0.0001,-0.0003
0.22,0.006,-0.0001,-0.0003
0.23,0.0137,-0.0001,-0.0003
0.2400001,0.0137,-0.0001,-0.0003
0.2500001,0.0253,-0.0001,-0.0003
0.2600001,0.0369,-0.0001,-0.0005
0.27,0.0369,-0.0001,-0.0005
0.28,0.0383,-0.0001,-0.0005
0.29,0.0398,-0.0001,-0.0005
0.3,0.0446,-0.0001,-0.0005
0.31,0.0407,-0.0001,-0.0006
0.32,0.0407,-0.0001,-0.0005
0.33,0.0407,-0.0001,-0.0007
0.34,0.0405,-0.0001,-0.0008
0.35,0.0406,-0.0001,-0.0009
0.36,0.0407,-0.0001,-0.0009
0.3699999,0.0446,-0.0001,-0.0009
0.3799999,0.0446,-0.0001,-0.0009
0.3899999,0.0449,-0.0001,-0.0009
0.3999999,0.0451,-0.0001,-0.0009
0.4099999,0.0456,-0.0001,-0.0007
0.4199999,0.0485,-0.0001,-0.0007
0.4299999,0.0485,0,-0.0007
0.4399999,0.0514,0,-0.0007
0.4499999,0.0543,0,-0.0007
0.4599999,0.0601,0,-0.0007
0.4699998,0.0794,-0.0001,-0.0007
0.4799998,0.0794,-0.0001,-0.0007
0.4899998,0.1219,-0.0001,-0.0007
0.4999998,0.1219,-0.0001,-0.0007
0.5099998,0.1643,-0.0001,-0.0005
0.5199998,0.1991,-0.0001,-0.0005
0.5299998,0.1991,-0.0001,-0.0005
0.5399998,0.1334,-0.0001,-0.0004
0.5499998,0.1257,-0.0001,-0.0003
0.5599998,0.1257,-0.0001,-0.0004
0.5699998,0.1219,-0.0001,-0.0005
0.5799997,0.1252,-0.0002,-0.0007
0.5899997,0.1286,-0.0002,-0.0008
0.5999997,0.1373,-0.0002,-0.0009
0.6099997,0.1566,-0.0002,-0.0009
0.6199997,0.1711,-0.0002,-0.0009
0.6299997,0.1856,-0.0002,-0.0008
0.6399997,0.2377,-0.0002,-0.0007
0.6499997,0.2841,-0.0001,-0.0007
0.6599997,0.315,-0.0001,-0.0007
0.6699997,0.3382,0.0001,-0.0007
0.6799996,0.3806,0.0006,-0.0003
0.6899996,0.3652,0.001,-0.0004
0.6999996,0.4019,0.0012,-0.0004
0.7099996,0.4386,0.0013,-0.0003
0.7199996,0.4193,0.0013,-0.0005
0.7299996,0.4193,0.0012,-0.0005
0.7399996,0.4193,0.0009,-0.0004
0.7499996,0.4038,0.0008,-0.0004
0.7599996,0.3304,0.0007,0.0001
0.7699996,0.3304,0.0008,0.0001
0.7799996,0.2957,0.0009,-0.0002
0.7899995,0.2894,0.0014,-0.0005
0.7999995,0.2887,0.0038,-0.0005
0.8099995,0.2883,0.0038,-0.0006
0.8199995,0.2879,0.0048,-0.0007
0.8299995,0.2879,0.0053,-0.0007
0.8399995,0.2725,0.0055,-0.0007
0.8499995,0.2725,0.0055,-0.0006
0.8599995,0.2532,0.0055,-0.0005
0.8699995,0.2107,0.0049,-0.0003
0.8799995,0.2107,0.0049,-0.0003
0.8899994,0.1566,0.0033,-0.0004
0.8999994,0.1489,0.0029,-0.0004
0.9099994,0.1373,0.0019,-0.0004
0.9199994,0.1286,0.0009,-0.0003
0.9299994,0.1286,0,-0.0003
0.9399994,0.1293,-0.0001,-0.0005
0.9499994,0.1299,-0.0002,-0.0005
0.9599994,0.1334,-0.0002,-0.0005
0.9699994,0.1373,-0.0002,-0.0005
0.9799994,0.1412,-0.0003,-0.0005
0.9899994,0.145,-0.0003,-0.0009
0.9999993,0.1759,-0.0003,-0.0011
1.009999,0.1991,-0.0004,-0.001
1.019999,0.1991,-0.0004,-0.001
1.029999,0.201,-0.0007,-0.0009
1.039999,0.203,-0.0008,-0.0009
1.049999,0.203,-0.0008,-0.0009
1.059999,0.2493,-0.0008,-0.0008
1.069999,0.2686,-0.0008,-0.0005
1.079999,0.257,-0.0008,-0.0007
1.089999,0.2513,-0.0008,-0.0009
1.099999,0.2513,-0.0008,-0.0009
1.109999,0.2513,-0.0008,-0.0011
1.119999,0.2515,-0.0008,-0.0011
1.129999,0.2532,-0.0008,-0.0011
1.139999,0.2802,-0.0006,-0.0011
1.149999,0.2802,-0.0006,-0.0011
1.159999,0.342,-0.0006,-0.0005
1.169999,0.3613,-0.0006,-0.0009
1.179999,0.3613,-0.0007,-0.0008
1.189999,0.3652,-0.0007,-0.0007
1.199999,0.3652,-0.0007,-0.0007
1.209999,0.3768,-0.0006,-0.0005
1.219999,0.3922,-0.0005,-0.0007
1.229999,0.3884,0.0003,-0.0006
1.239999,0.427,0.0021,-0.0005
1.249999,0.4444,0.0021,-0.0003
1.259999,0.4618,0.0022,-0.0004
1.269999,0.5506,0.0024,-0.0003
1.279999,0.6703,0.0023,-0.0003
1.289999,0.8248,0.0036,-0.0003
1.299999,1.0643,0.0049,-0.0001
1.309999,1.4544,0.0082,-0.0002
1.319999,1.4544,0.0111,-0.0003
1.329999,2.0415,0.013,-0.0003
1.339999,2.3042,0.0147,-0.0003
1.349999,2.3312,0.0147,-0.0003
1.359999,2.3737,0.0163,-0.0003
1.369999,2.366,0.0164,-0.0003
1.379999,2.3351,0.0178,-0.0003
1.389999,2.3003,0.0205,-0.0004
1.399999,2.2655,0.0227,-0.0005
1.409999,2.2037,0.0227,-0.0005
1.419999,2.2037,0.0237,-0.0005
1.429999,2.0995,0.0237,-0.0005
1.439999,2.0531,0.0257,-0.0006
1.449999,1.9488,0.0272,-0.0005
1.459999,1.9095,0.0272,-0.0007
1.469999,1.8929,0.0301,-0.0015
1.479999,1.8919,0.0316,-0.0015
1.489999,1.9244,0.0316,-0.0025
1.499999,1.9568,0.0316,-0.0025
1.509999,2.0222,0.0316,-0.003
1.519999,2.1149,0.0304,-0.0032
1.529999,2.1149,0.0304,-0.0031
1.539999,2.2733,0.0261,-0.0029
1.549999,2.3467,0.0236,-0.0021
1.559999,2.3891,0.0211,-0.0003
1.569999,2.4123,0.0188,-0.0003
1.579999,2.4123,0.0163,-0.0003
1.589999,2.4085,0.0145,-0.0003
1.599999,2.4085,0.0127,-0.0002
1.609999,2.393,0.011,-0.0001
1.619999,2.3814,0.0097,-0.0002
1.629999,2.3351,0.0097,-0.0002
1.639999,2.3042,0.0092,-0.0001
1.649999,2.2926,0.0091,-0.0001
1.659999,2.2694,0.0091,0.0001
1.669999,2.2462,0.0091,-0.0001
1.679999,2.2076,0.0093,-0.0002
1.689999,2.1728,0.0094,-0.0002
1.699999,2.1728,0.0094,-0.0001
1.709999,2.0686,0.0099,-0.0001
1.719999,2.0029,0.0103,-0.0001
1.729999,1.972,0.0103,-0.0001
1.739999,1.9218,0.0111,0
1.749999,1.9063,0.0111,0.0001
1.759999,1.8947,0.0117,0
1.769999,1.8947,0.0137,0
1.779999,1.8795,0.0137,0
1.789999,1.8722,0.0152,0
1.799999,1.8699,0.0165,0
1.809999,1.8677,0.0165,0.0001
1.819999,1.8677,0.0184,0.0001
1.829999,1.8523,0.0191,-0.0001
1.839999,1.8136,0.0202,-0.0003
1.849999,1.8136,0.0202,-0.0003
1.859999,1.802,0.0202,-0.0005
1.869999,1.7866,0.0202,-0.0005
1.879999,1.7866,0.0201,-0.0005
1.889999,1.7596,0.0195,-0.0005
1.899999,1.7634,0.0184,-0.0005
1.909999,1.7518,0.0184,-0.0003
1.919999,1.748,0.0151,-0.0001
1.929999,1.7479,0.0136,0
1.939999,1.748,0.0124,0.0001
1.949998,1.748,0.0112,0.0005
1.959998,1.775,0.0104,0.0003
1.969998,1.8329,0.0097,0.0003
1.979998,1.8329,0.0097,0.0003
1.989998,1.9681,0.0089,0.0003
1.999998,2.0724,0.0088,0.0005
2.009999,2.1767,0.0088,0.0004
2.019999,2.2964,0.0088,0.0005
2.029999,2.4355,0.009,0.0007
2.039999,2.5823,0.0095,0.0006
2.049999,2.5823,0.0098,0.0007
2.059999,2.8681,0.011,0.0007
