Depth,Qc,Fc,u
0.01,0.496,0,0.0176
0.02,1.433,0.001,0.0993
0.03,2.698,0.001,0.07
0.04,3.674,0.001,0.0403
0.05,4.217,0.002,0.0152
0.06,4.621,0.005,0.0038
0.07,4.736,0.01,0.002
0.08,4.853,0.01,0.0005
0.09,4.906,0.011,-0.0004
0.1,5.04,0.01,0.0014
0.11,5.257,0.009,0.0031
0.12,5.545,0.009,0.0058
0.13,5.93,0.011,0.0094
0.14,6.234,0.018,0.008
0.15,6.312,0.031,0.0071
0.16,6.879,0.06,0.0239
0.17,8.112,0.071,-0.0105
0.18,8.454,0.075,-0.0047
0.19,7.908,0.073,0.0011
0.2,6.773,0.076,0.0117
0.21,5.399,0.066,0.0039
0.22,4.518,0.069,0.0049
0.23,4.063,0.077,0.0082
0.24,3.809,0.082,0.0203
0.25,3.542,0.091,0.033
0.26,3.466,0.099,0.0516
0.27,3.4,0.107,0.0375
0.28,3.606,0.115,0.0151
0.29,3.271,0.116,0.0032
0.3,3.14,0.135,0.0105
0.31,3.112,0.144,0.0196
0.32,3.142,0.152,0.0226
0.33,3.172,0.158,0.0099
0.34,3.31,0.162,0.001
0.35,3.435,0.175,0.0023
0.36,3.529,0.185,0.0269
0.37,3.625,0.187,0.0287
0.38,3.68,0.187,0.0046
0.39,3.738,0.181,-0.009
0.4,3.764,0.175,-0.0158
0.41,3.6,0.176,-0.016
0.42,3.498,0.179,-0.0055
0.43,3.484,0.179,0.0009
0.44,3.511,0.172,-0.0049
0.45,3.462,0.172,-0.0049
0.46,3.378,0.172,-0.0011
0.47,3.408,0.167,0.0036
0.48,3.394,0.157,0.0004
0.49,3.32,0.148,-0.0023
0.5,3.117,0.146,0.0027
0.51,2.882,0.147,0.0246
0.52,2.721,0.145,0.0239
0.53,2.64,0.135,0.0185
0.54,2.651,0.133,0.0272
0.55,2.588,0.132,0.0357
0.56,2.61,0.131,0.0362
0.57,2.759,0.125,0.0353
0.58,2.888,0.12,0.0363
0.59,3.091,0.118,0.0394
0.6,3.23,0.119,0.0476
0.61,3.207,0.12,0.033
0.62,3.23,0.111,0.0238
0.63,3.078,0.105,0.0167
0.64,2.847,0.101,0.011
0.65,2.603,0.094,0.0053
0.66,2.412,0.086,0.0108
0.67,2.3,0.085,0.012
