File Name,depth_input,vs_input,Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic,Subset_Region,Subset_Geology
SCPT_57279,17,220,17,23.8244,0.1592,0.0438,259.7604662,267.4878581,325.6373925,276.0539672,262.9874726,441.8815751,1.512104843,2,1
SCPT_57279,17.5,225,17.5,23.6087,0.1734,0.0532,268.0148643,272.5505369,331.8006536,279.2528151,266.6526192,450.0756291,1.543566313,2,1
SCPT_57279,18,278,18,27.0013,0.2071,0.0589,291.0394024,283.7606401,345.4477357,294.235458,278.0647394,464.3434873,1.516342549,2,1
SCPT_57279,18.5,310,18.5,32.1912,0.229,0.0809,305.3925787,291.2604293,354.5779139,308.5991461,289.782437,474.3403508,1.440605623,2,1
SCPT_57279,19,264,19,30.6856,0.1943,0.0423,278.2021242,282.6179112,344.0565876,297.4487315,286.0046879,467.2929153,1.417729804,2,1
SCPT_57279,19.5,255,19.5,1.231,0.0258,0.3345,67.30819981,146.5179719,178.369705,101.5596852,153.3236114,353.2783176,2.835307299,2,1
SCPT_57279,20,255,20,1.8867,0.0648,0.4867,112.080028,172.7829672,210.3444818,132.2651637,177.2417778,402.0363266,2.810342864,2,1
SCPT_57346,0.1,55,0.1,1.2286,0.054,0.0041,9261.346316,82.4969659,100.4310889,566.9736829,37.62544271,102.4312758,3.022898096,2,1
SCPT_57346,0.5,65,0.5,2.5463,0.1885,-0.052,2445.431423,131.0767325,159.5716744,404.9662099,72.51591057,182.0511277,2.937017045,2,1
SCPT_57346,1,80,1,1.571,0.1013,-0.041,1106.340096,122.1414159,148.6938976,290.9509523,77.89916054,199.4071319,3.047765427,2,1
SCPT_57346,1.5,113,1.5,8.822,0.0396,-0.0772,259.0786641,153.3881686,186.7334226,202.047217,103.4050024,198.0653083,1.756275402,2,1
SCPT_57346,2,134,2,17.8139,0.0947,-0.0704,304.5573216,186.3711795,226.8866533,237.2083829,133.2448731,239.8288684,1.542948759,2,1
SCPT_57346,2.5,134,2.5,9.9,0.0753,-0.0608,318.4145001,178.4330159,217.2228019,229.1619993,127.8175817,245.2390499,1.840191415,2,1
SCPT_57346,3,131,3,14.6871,0.0443,-0.0746,206.7289213,174.7261894,212.7101436,205.9409459,136.1908193,240.4026463,1.478928896,2,1
SCPT_57346,3.5,140,3.5,11.6604,0.0881,-0.0564,307.5523353,192.7040873,234.5962802,235.6574215,145.5822665,272.8660589,1.781963405,2,1
SCPT_57346,4,140,4,23.8492,0.0244,-0.0433,150.9995423,169.644849,206.5241639,198.7375345,150.5566995,240.1236393,1.116456374,2,1
SCPT_57346,4.5,134,4.5,14.9857,0.0254,-0.0375,159.5695455,172.6898779,210.2311557,193.4822678,145.9854568,247.8283096,1.370041483,2,1
SCPT_57346,5,148,5,11.7326,0.0171,0.0178,145.8457404,167.4497904,203.8519187,182.7928624,140.4309829,241.3249242,1.452186903,2,1
SCPT_57346,5.5,152,5.5,12.7083,0.1096,0.0448,306.4993511,211.5063742,257.4860208,245.3481364,170.1890134,314.9322494,1.789249269,2,1
SCPT_57346,6,151,6,19.9613,0.0426,0.0481,176.3845388,189.9514136,231.2451992,213.8969608,172.0331168,285.6779146,1.292324129,2,1
SCPT_57346,6.5,128,6.5,26.9856,0.0363,-0.0302,161.5628725,185.9856555,226.4173198,217.3160251,181.2854735,286.1574607,1.095851378,2,1
SCPT_57346,7,130,7,15.0829,0.0939,-0.021,257.0478652,215.7153148,262.6099485,239.8024094,184.1569616,328.501135,1.642124829,2,1
SCPT_57346,7.5,157,7.5,14.2529,0.1389,0.0325,313.8910144,229.7438588,279.6881759,257.3958363,192.3495643,351.5931708,1.786982296,2,1
SCPT_57346,8,160,8,13.1144,0.1117,0.0533,276.9422519,222.7333407,271.1536321,244.2959553,190.0295002,347.1840564,1.775326824,2,1
SCPT_57346,8.5,186,8.5,12.0889,0.1151,0.0723,278.738624,223.7804832,272.4284143,243.1908047,191.4825636,353.7139579,1.833664268,2,1
SCPT_57346,9,173,9,13.9848,0.0454,0.0656,175.9865839,200.342145,243.8947853,211.4620908,183.9108611,318.3304825,1.512888531,2,1
SCPT_57346,9.5,183,9.5,20.5314,0.0448,0.0286,169.8440656,202.3648858,246.3572523,221.6853424,197.092153,323.0738944,1.28542548,2,1
SCPT_57346,10,155,10,15.842,0.0252,0.0465,142.8137741,190.6945688,232.1499098,201.6052649,183.6143879,303.1240674,1.338327759,2,1
SCPT_57346,10.5,173,10.5,18.4696,0.0306,0.0857,149.5133502,195.8636928,238.4427564,210.4398565,193.371829,315.0911599,1.281197635,2,1
