File Name,depth_input,vs_input,Depth,Qc,Fs,u,A07-H,A07-P,R09,Mc15,Mc18
SCPT_140254.csv,23,350,23,23.4072,0.1483,-0.0362,0.246992339,0.050282044,0.275891249,0.222185481,-0.299261825
SCPT_114322.csv,0.1,244,0.1,3.8979,0.01,0,1.013193144,0.81648285,0.210758824,1.843201829,1.078664232
SCPT_114322.csv,0.5,244,0.5,5.474,0.031,-0.0019,0.677324217,0.480613923,0.161659945,1.252973395,0.521881335
SCPT_114322.csv,1,244,1,3.5664,0.0167,0.0012,0.703682376,0.506972082,0.288700413,1.173317714,0.430100853
SCPT_114322.csv,1.5,244,1.5,5.3058,0.0272,0.0024,0.557567793,0.360857499,0.234780199,0.962907211,0.261163503
SCPT_114322.csv,2,262,2,8.374,0.0425,0.0026,0.49718516,0.300474865,0.245507899,0.851354364,0.198162044
SCPT_114322.csv,2.5,262,2.5,15.3453,0.0877,0.0002,0.331408952,0.134698658,0.110889536,0.641976208,0.043050394
SCPT_114322.csv,3,241,3,7.891,0.0392,-0.0037,0.377959255,0.18124896,0.183357779,0.670351029,0.022978979
SCPT_114322.csv,3.5,241,3.5,5.3567,0.02,-0.0047,0.46657376,0.269863466,0.305347988,0.739133496,0.074328212
SCPT_114322.csv,4,154,4,9.3342,0.0353,-0.0041,-0.108959878,-0.305670172,-0.245288064,0.127042409,-0.485268645
SCPT_114322.csv,4.5,154,4.5,8.4894,0.0393,-0.0009,-0.127295737,-0.324006032,-0.258941962,0.099050187,-0.528320141
SCPT_114322.csv,5,173,5,11.5517,0.0408,-0.0005,-0.051645335,-0.248355629,-0.161437664,0.138635921,-0.445786148
SCPT_114322.csv,5.5,173,5.5,11.9154,0.025,-0.0109,-0.012311864,-0.209022158,-0.096253402,0.148329745,-0.406454203
SCPT_114322.csv,6,158,6,12.1031,0.0158,-0.0746,-0.077730371,-0.274440665,-0.146527476,0.069279178,-0.45962774
SCPT_114322.csv,6.5,158,6.5,1.9971,0.0185,-0.0392,0.121624136,-0.075086159,0.008467554,0.29338739,-0.487054383
SCPT_114322.csv,7,210,7,7.234,0.0158,-0.0248,0.228974143,0.032263849,0.193583177,0.385050192,-0.21030681
SCPT_114322.csv,7.5,210,7.5,11.9936,0.0066,-0.0559,0.205828328,0.009118033,0.161195285,0.365520548,-0.118021068
SCPT_114322.csv,8,187,8,8.2391,0.0334,-0.0719,0.015185627,-0.181524668,-0.026292023,0.151065983,-0.458362873
SCPT_114322.csv,8.5,187,8.5,9.2325,0.0349,-0.0615,-0.006640486,-0.20335078,-0.04211645,0.114173291,-0.48025433
SCPT_114322.csv,9,203,9,3.0707,0.0523,-0.0379,0.168382913,-0.028327381,0.094753802,0.305325024,-0.457058187
SCPT_114322.csv,9.5,203,9.5,4.2616,0.0278,-0.0443,0.170747502,-0.025962792,0.16480637,0.295552611,-0.391007618
SCPT_114322.csv,10,232,10,11.6338,0.0445,-0.033,0.144790249,-0.051920045,0.116654884,0.231161978,-0.339043939
SCPT_114322.csv,10.5,232,10.5,7.3161,0.0576,-0.0641,0.148393795,-0.0483165,0.13214137,0.262974107,-0.381499794
