NZTM_X NZTM_Y Vs30
1873315.36 5821770.29 150.27
1874063 5821399 150.4
1762180.04 5431407.85 151.13
1875992.48 5823583.81 151.35
1717984.03 6051437.53 151.54
1872785.24 5822020.27 151.6
1882092.55 5782354.82 151.81
1887538.82 5822275.43 151.82
1773625 5896897 151.91
1772236.19 5898065.34 152.14
1729945.06 6026275.14 152.43
1762437 5906837 152.46
1729965 6026357.53 152.53
1783291.97 5869024.85 152.56
1889128.77 5820909.63 152.57
1762163.92 5431435.32 152.64
1756691.83 5921532.98 152.74
1874238.35 5821517.01 152.9
1405528 4914586 152.97
1887160.18 5822603.96 153
1887734.25 5773885.1 153.12
1405532 4914598 153.17
1745274.56 5919205.04 153.17
1887615.38 5773914 153.2
2054518.16 5719499.22 153.24
1887843.12 5773905.58 153.33
1895632.84 5816969.84 153.51
1873936.57 5821392.22 153.68
1874352.54 5819765.37 153.71
1887846.26 5773952.15 153.76
1741588.69 5983635.6 153.8
1728025.55 5941607.41 153.96
1895658.31 5816989.62 153.98
1623522.58 6115964.34 154.04
1887354.93 5822439.04 154.28
1879494.44 5824756.23 154.33
2059682.94 5753122.59 154.39
1872472 5816488 154.51
1879639 5825091 154.51
1756672.7 5921513.08 154.57
1931956.62 5621014.29 154.6
1886696.98 5768635.26 154.61
1890562.32 5820238.2 154.72
1884411.2 5824373.89 154.77
1741786.91 6000504.35 154.84
1729922.81 6026303.96 154.84
1376648.35 4903443.76 154.84
1729998.36 6026295.45 154.88
1885380.92 5823599.97 154.99
1774909.48 5896838.28 155.04
1755622.33 5913274.03 155.06
1886196.41 5769005.48 155.29
1889516.01 5820626.63 155.29
1406889.86 4913377.74 155.33
1891213 5814823.95 155.36
1759046.82 5907534 155.37
1796404.76 5815957.88 155.52
1872519.92 5826287.43 155.53
1405626 4914656 155.54
1773520 5896149 155.61
1759934.72 5907947.45 155.62
1759070.13 5907523.35 155.65
1729991.16 6026382.59 155.68
1774621.91 5578556.87 155.82
1882118.5 5818849.01 155.89
