Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T
WHTZ,-38.66595448,175.957469,1226,B,679,0.317,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,NZVM (2021),2425,0.5,Q3,NZVM (2021),0,0.25,1
WHVZ,-39.2825,175.5886,139,B,675,0.3475,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,NZVM (2021),1225,0.5,Q3,NZVM (2021),0,0,0
WIAZ,-36.793,175.1339,114,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,925,0.5,Q3,NZVM (2021),0,0.31,0
WIZ,-37.52451054,177.1893019,164,C,364,0.3615,Q3,Foster et al. (2019) & Perrin et al. (2015),0.14,0.1,Q1,I,Manea et al. 2021 unpublished,65,0.5,Q3,1,NZVM (2021),75,0.5,Q3,NZVM (2021),0,0,0
WMGZ,-37.8191,178.4149,263,B,625,0.3655,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,65,0.5,Q3,1,NZVM (2021),7275,0.5,Q3,NZVM (2021),0,0.17,0
WNVZ,-39.32697695,175.5978621,358,B,674,0.32,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,NZVM (2021),1475,0.5,Q3,NZVM (2021),0,1,1
WPHZ,-40.06426428,176.4405598,194,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,65,0.5,Q3,1,NZVM (2021),2275,0.5,Q3,NZVM (2021),1,0,0
WPRZ,-38.5196,176.1624,1161,B,603,0.3825,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,NZVM (2021),1875,0.5,Q3,NZVM (2021),0,0.67,0
WPVZ,-39.20400432,175.5459219,82,B,679,0.317,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),575,0.5,Q3,NZVM (2021),0,0.2,1
WSRZ,-37.51811,177.177805,255,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,75,0.5,Q3,NZVM (2021),0,0.4,0
WTAZ,-36.93241912,174.5733686,95,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),15,0.3,Q3,1,NSHM (2021) ,1125,0.5,Q3,NZVM (2021),0,0,0
WTVZ,-39.11525262,175.5896928,88,B,679,0.317,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),1225,0.5,Q3,NZVM (2021),0,0.83,1
ZIHA,-43.88533622,169.0497779,54,A,1500,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),5,0.05,Q3,1,NSHM (2021) ,325,0.5,Q3,NZVM (2021),0,0,0
AC3A,-42.08760253,173.1663401,981,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0
