Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T
MPGJ,-44.11714077,168.53987,129,C,459,0.3295,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0
MTNF,-45.14716395,167.0418441,912,A,1500,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),5,0.05,Q3,1,NSHM (2021) ,1225,0.5,Q3,NZVM (2021),0,0,0
MUSJ,-44.10134092,168.7247725,20,C,245,0.257,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
ONEC,-39.23524996,177.8785106,181,B,617,0.337,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),115,0.5,Q3,1,NZVM (2021),9925,0.5,Q3,NZVM (2021),0,0,0
ONIS,-39.39082404,173.8128499,38,D,287,0.389,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.3,Q3,I,NSHM (2021),75,0.5,Q3,1,NZVM (2021),1875,0.5,Q3,NZVM (2021),0,0,0
OPHC,-39.61525498,176.5296926,170,C,472,0.2605,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),95,0.5,Q3,1,NZVM (2021),4575,0.5,Q3,NZVM (2021),0,0,0
ORPS,-46.286797,167.76512,73,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),15,0.3,Q3,1,NSHM (2021) ,525,0.5,Q3,NZVM (2021),0,0,0
PAHZ,-38.85744065,177.0544017,561,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),15,0.3,Q3,1,NSHM (2021) ,1775,0.5,Q3,NZVM (2021),0,0,0
PARZ,-37.73191741,176.2901963,137,B,679,0.317,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),35,0.5,Q3,1,NZVM (2021),525,0.5,Q3,NZVM (2021),0,0,0
PKRC,-38.48072993,175.5404846,601,B,560,0.4565,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1225,0.5,Q3,NZVM (2021),0,0,0
PLRC,-38.33072745,175.7271874,242,B,683,0.344,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),1925,0.5,Q3,NZVM (2021),0,0,0
POHC,-38.98374208,176.543895,639,B,675,0.3475,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),1725,0.5,Q3,NZVM (2021),0,0.5,0
POIC,-38.63073396,176.03439,567,B,590,0.4185,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),45,0.5,Q3,1,NZVM (2021),2325,0.5,Q3,NZVM (2021),0,0,0
PRNS,-43.704499,169.472766,29,D,217,0.2225,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
PTHS,-36.97564058,174.871872,21,C,428,0.392,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),1025,0.5,Q3,NZVM (2021),0,0,0
RAHC,-39.06154517,177.2619036,21,C,343,0.2595,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),85,0.5,Q3,1,NZVM (2021),5475,0.5,Q3,NZVM (2021),0,0,0
RANC,-39.93696213,176.7064936,149,B,560,0.344,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),3475,0.5,Q3,NZVM (2021),0,0,0
RERV,-38.31822884,176.4621964,498,B,590,0.4185,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),1725,0.5,Q3,NZVM (2021),0,0,0
RLNS,-45.6876,166.68593,1058,A,1500,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,5,0.05,Q3,1,NSHM (2021) ,1175,0.5,Q3,NZVM (2021),0,0,0
ROTC,-39.00954458,177.4780064,59,B,567,0.355,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),8275,0.5,Q3,NZVM (2021),0,0,0
ROTS,-38.135724,176.255191,284,D,264,0.353,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.3,Q3,I,NSHM (2021),95,0.5,Q3,1,NZVM (2021),2475,0.5,Q3,NZVM (2021),0,0,0
RTKC,-38.82123835,176.3198928,700,C,560,0.4565,Q3,Foster et al. (2019) & Perrin et al. (2015),0.3,0.1,Q1,I,Manea et al. 2021 unpublished,65,0.5,Q3,1,NZVM (2021),1125,0.5,Q3,NZVM (2021),0,0,0
SCHC,-38.42902935,175.7309871,244,B,590,0.4185,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1575,0.5,Q3,NZVM (2021),0,0,0
SCTS,-45.265788,166.951482,1177,A,1500,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),5,0.05,Q3,1,NSHM (2021) ,1325,0.5,Q3,NZVM (2021),0,0,0
SDNS,-41.66382069,174.1372917,95,D,292,0.2675,Q3,Foster et al. (2019) & Perrin et al. (2015),2,0.3,Q3,I,NSHM (2021),685,0.3,Q3,1,NZVM (2021),2175,0.3,Q3,NZVM (2021),0,0,0
SIZ,-46.87341722,168.1330472,1,B,674,0.32,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),75,0.5,Q3,1,NZVM (2021),425,0.5,Q3,NZVM (2021),0,0,0
TA1S,-37.88878134,176.7575114,5,D,247,0.2505,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0
TA2S,-37.8591406,176.6688805,48,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0
TA3S,-37.92803202,176.730881,65,B,612,0.3855,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),45,0.5,Q3,1,NZVM (2021),425,0.5,Q3,NZVM (2021),0,0,0
TACS,-37.54197259,175.6928098,12,D,263,0.3565,Q3,Foster et al. (2019) & Perrin et al. (2015),2,0.3,Q3,I,NSHM (2021),615,0.3,Q3,1,NZVM (2021),1075,0.3,Q3,NZVM (2021),0,0,0
TAPC,-38.8295403,177.149403,234,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),45,0.5,Q3,1,NZVM (2021),1825,0.5,Q3,NZVM (2021),0,0,0
TARC,-39.66775649,176.7254948,37,B,567,0.355,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),3675,0.5,Q3,NZVM (2021),0,0,0
TAUC,-38.69703549,176.1368911,557,C,391,0.3585,Q3,Foster et al. (2019) & Perrin et al. (2015),0.18,0.1,Q1,I,Manea et al. 2021 unpublished,85,0.5,Q3,1,NZVM (2021),1975,0.5,Q3,NZVM (2021),0,0,0
TEAC,-39.91046209,176.9498967,55,B,567,0.355,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),105,0.5,Q3,1,NZVM (2021),7425,0.5,Q3,NZVM (2021),0,0,0
TENS,-42.21496,172.79019,1807,B,800,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,NZVM (2021),325,0.5,Q3,NZVM (2021),0,0.5,0
TETC,-38.53153165,175.8663883,520,B,597,0.4005,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),1525,0.5,Q3,NZVM (2021),0,0,0
TITC,-39.83155958,176.5589922,257,B,555,0.359,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),75,0.5,Q3,1,NZVM (2021),2475,0.5,Q3,NZVM (2021),0,0,0
TLBF,-44.98736001,167.187247,942,A,1500,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),5,0.05,Q3,1,NSHM (2021) ,1275,0.5,Q3,NZVM (2021),0,0,0
TRUC,-39.49945194,176.2431894,424,B,618,0.3635,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),45,0.5,Q3,1,NZVM (2021),875,0.5,Q3,NZVM (2021),0,0,0
TTH,-39.53955404,176.8263965,122,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),85,0.5,Q3,1,NZVM (2021),5875,0.5,Q3,NZVM (2021),0,0,0
TUIC,-38.8295403,177.149703,230,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),45,0.5,Q3,1,NZVM (2021),1825,0.5,Q3,NZVM (2021),0,0,0
TUKC,-38.64573426,176.03299,521,B,657,0.358,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),2275,0.5,Q3,NZVM (2021),0,0,0
VEGH,-43.98383851,168.9536761,132,C,350,0.3345,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),45,0.5,Q3,1,NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
WAHZ,-39.69745632,176.3554901,663,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1975,0.5,Q3,NZVM (2021),0,0,0
WAIC,-38.36492793,175.6471863,344,B,750,0.2,Q3,Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),45,0.5,Q3,1,NZVM (2021),1475,0.5,Q3,NZVM (2021),0,0,0
WBHS,-35.71495819,174.31694,20,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),2,0.01,Q1,1,SI Data (2021),325,0.5,Q3,NZVM (2021),0,0,0
WCFS,-41.29315,174.7847889,2,C,349,0.105,Q3,Foster et al. (2019),0.24,0.2,Q2,I,Kaiser et al. 2019,7,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0
WDSZ,-43.293605,170.406412,100,C,298,0.3435,Q3,Foster et al. (2019) & Perrin et al. (2015),0.117647059,0.2,Q2,I,Manea et al. 2021 unpublished,35,0.5,Q3,1,NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0
WFES,-41.283734,174.776347,2,C,378,0.098,Q3,Foster et al. (2019),0.2,0.2,Q2,I,Kaiser et al. 2019,12,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0
WMSZ,-43.283787,170.394076,96,C,268,0.3435,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0
WPSZ,-43.284165,170.412318,97,D,297,0.301,Q3,Foster et al. (2019) & Perrin et al. (2015),1.9,0.1,Q1,I,Manea et al. 2021 unpublished,65,0.5,Q3,1,NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0
WRAS,-41.59547737,173.586376,509,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,35,0.5,Q3,1,NZVM (2021),275,0.5,Q3,NZVM (2021),0,0.45,0
WTAC,-39.12954618,177.0849012,64,B,618,0.3635,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),5675,0.5,Q3,NZVM (2021),0,0,0
WTES,-41.281576,174.774191,21,C,334,0.3555,Q3,Foster et al. (2019) & Perrin et al. (2015),0.09,0.2,Q2,I,Kaiser et al. 2019,7,0.1,Q2,1,Hill et al. (2021),325,0.5,Q3,NZVM (2021),0,0,0
WTSZ,-43.302,170.412,107,D,326,0.273,Q3,Foster et al. (2019) & Perrin et al. (2015),1.79,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0
WTYS,-41.29543,174.78126,5,D,230,0.1545,Q3,Foster et al. (2019) & Perrin et al. (2015),0.8,0.1,Q1,I,Manea et al. 2021 unpublished,49,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0
WVZS,-43.0747203,170.7359041,87,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),5,0.05,Q3,1,NSHM (2021) ,275,0.5,Q3,NZVM (2021),0,0,0
YUPC,-38.31572676,175.5504853,545,B,590,0.4185,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,NZVM (2021),425,0.5,Q3,NZVM (2021),0,0,0
AWRB,-41.658785,174.076946,57,C,215,0.221,Q3,Foster et al. (2019) & Perrin et al. (2015),0.55,0.1,Q1,I,Manea et al. 2021 unpublished,50,0.1,Q3,1,SI Data (2021),2025,0.3,Q3,NZVM (2021),0,0,0
BBCX,-41.3312558,174.8289281,124,B,624,0.3655,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,NZVM (2021),325,0.5,Q3,NZVM (2021),0,0.25,0
CSCP,-41.7497,174.02863,329,B,625,0.3655,Q3,Foster et al. (2019) & Perrin et al. (2015),0.06,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),1375,0.5,Q3,NZVM (2021),0,0,0
CSOY,-41.3113,174.10864,245,B,675,0.3475,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),35,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0
CSSR,-41.6058,173.83516,374,B,1000,0.2,Q3,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,15,0.3,Q3,1,NSHM (2021) ,375,0.5,Q3,NZVM (2021),0,0.17,0
CSWB,-41.57143,174.12668,268,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.3,Q3,1,NZVM (2021),2775,0.3,Q3,NZVM (2021),0,0.4,0
OWQX,-41.3451433,174.7455233,119,B,625,0.3655,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,35,0.5,Q3,1,NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
SM1F,-42.0605,173.41415,1063,B,1000,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),15,0.3,Q3,1,NSHM (2021) ,1325,0.5,Q3,NZVM (2021),0,0,0
THLX,-41.2741233,174.770385,174,B,583,0.345,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),35,0.5,Q3,1,NZVM (2021),325,0.5,Q3,NZVM (2021),0,0.32,0
CPLB,-41.278806,174.78209,2,D,244,0.01,Q1,Stolte et al. 2023 unpublished,1.21,0.11,Q1,Ma,Kaiser et al. 2019,247,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0
