CPT_ID, Latitude, Longitude, NZMG Easting, NZMG Northing,NZTM_X,NZTM_Y, Vs30
CPT_56289_measurement_num_0,-43.5184354041026,172.668046239265,2483173.00271756,5743169.99617836,1573171.58,5181557.7,150.38
CPT_33860_measurement_num_0,-43.5454474178965,172.647123449762,2481493.99733599,5740161.99408076,1571493.33,5178550.82,150.38
CPT_142_measurement_num_0,-43.5229218352086,172.683694210482,2484440.05008169,5742676.43933197,1574438.14,5181064.37,150.39
CPT_72193_measurement_num_0,-43.5529202523238,172.667263014017,2483124.88318677,5739338.39421158,1573123.6,5177727.6,150.4
CPT_24766_measurement_num_0,-43.5288890323502,172.642843953391,2481140.31065503,5742000.1999041,1571139.72,5180388.3,150.42
CPT_132520_measurement_num_0,-43.5035237168067,172.695252749978,2485366.67041427,5744835.07714437,1575364.34,5183222.18,150.42
CPT_57025_measurement_num_0,-43.5037722015104,172.632229237434,2480269.99489979,5744786.99697313,1570269.66,5183174,150.42
CPT_26632_measurement_num_0,-43.548799713633,172.631155742426,2480205.1980367,5739783.99350011,1570205.05,5178172.92,150.43
CPT_4694_measurement_num_0,-43.5466702391494,172.685749750124,2484616.12173333,5740038.55149207,1574614.22,5178427.53,150.47
CPT_46972_measurement_num_0,-43.5008750426696,172.623942976563,2479598.43480205,5745105.89600272,1569598.35,5183492.76,150.47
CPT_31309_measurement_num_0,-43.5751099629547,172.696028047349,2485458.19962979,5736881.85072368,1575456.07,5175272.12,150.51
CPT_102914_measurement_num_0,-43.512686579139,172.647745803172,2481528.99622059,5743801.99532011,1571528.2,5182189.41,150.58
CPT_26845_measurement_num_0,-43.5127669684285,172.646456044672,2481424.74534308,5743792.62449974,1571423.99,5182180.04,150.6
CPT_35166_measurement_num_0,-43.5390980225428,172.655456700812,2482164.55568289,5740870.22786248,1572163.6,5179258.8,150.6
CPT_26848_measurement_num_0,-43.5127619626369,172.646234985447,2481406.86839388,5743793.10516617,1571406.12,5182180.52,150.62
CPT_29961_measurement_num_0,-43.5079640339287,172.646758963819,2481446.98863368,5744326.33975929,1571446.21,5182713.55,150.63
CPT_23257_measurement_num_0,-43.5413290181392,172.650743989276,2481784.68768525,5740620.7830499,1571783.89,5179009.44,150.63
CPT_7329_measurement_num_0,-43.5445518531501,172.660140133955,2482545.54571011,5740265.83874791,1572544.46,5178654.66,150.64
CPT_62559_measurement_num_0,-43.545409475529,172.648896303843,2481637.25388175,5740166.81097948,1571636.53,5178555.64,150.64
CPT_125221_measurement_num_0,-43.5460288033043,172.683408775773,2484426.66827745,5740109.10550361,1574424.84,5178498.05,150.66
CPT_27069_measurement_num_0,-43.5453028142217,172.671291599246,2483447.10044596,5740185.9975102,1573445.66,5178574.88,150.66
CPT_103446_measurement_num_0,-43.5434069634123,172.638788038109,2480819.39048126,5740385.82472593,1570818.98,5178774.54,150.67
CPT_1957_measurement_num_0,-43.5198130168903,172.652961345534,2481953.9997268,5743011.99792285,1571953.06,5181399.73,150.68
CPT_55507_measurement_num_0,-43.5184358385027,172.668040792673,2483172.56254288,5743169.94617049,1573171.14,5181557.65,150.7
CPT_49756_measurement_num_0,-43.5272660048486,172.636100982509,2480594.44343557,5742178.17572119,1570594.06,5180566.19,150.75
CPT_47565_measurement_num_0,-43.5006340290932,172.622777032768,2479504.01923084,5745132.24847141,1569503.97,5183519.1,150.75
CPT_962_measurement_num_0,-43.5569271515597,172.676274078534,2483854.74845525,5738896.06372195,1573853.19,5177285.47,150.75
CPT_19758_measurement_num_0,-43.5816370044838,172.755996051787,2490304.35685547,5736172.45274556,1580300.26,5174563.19,150.76
CPT_19319_measurement_num_0,-43.5816370192872,172.75600298797,2490304.91708891,5736172.45272604,1580300.82,5174563.19,150.76
CPT_88432_measurement_num_0,-43.5176948713654,172.637414123742,2480695.99592358,5743242.00259033,1570695.54,5181629.61,150.76
CPT_86801_measurement_num_0,-43.5410561087219,172.657443332259,2482326.01210129,5740653.33779686,1572325,5179042,150.76
CPT_7687_measurement_num_0,-43.5051027336691,172.616085230843,2478965.09842057,5744633.31324131,1568965.27,5183020.34,150.77
CPT_36117_measurement_num_0,-43.555323023149,172.66012999549,2482549.57495539,5739069.12860264,1572548.53,5177458.42,150.8
CPT_34976_measurement_num_0,-43.5136430558958,172.652201293203,2481889.70403178,5743697.23518977,1571888.77,5182084.7,150.81
CPT_103441_measurement_num_0,-43.544326987958,172.638808044573,2480821.44762796,5740283.61497755,1570821.04,5178672.37,150.83
CPT_40575_measurement_num_0,-43.5150919658437,172.650971061726,2481790.90094075,5743535.84538201,1571790.01,5181923.37,150.83
CPT_30825_measurement_num_0,-43.5124779972988,172.647878035679,2481539.59099536,5743825.21400271,1571538.79,5182212.62,150.84
CPT_59308_measurement_num_0,-43.5474190070362,172.649620331844,2481696.69937623,5739943.79184519,1571695.96,5178332.71,150.84
CPT_45586_measurement_num_0,-43.5019229707657,172.653824952378,2482015.60739762,5744999.89551887,1572014.59,5183386.86,150.87
