NZTM_X NZTM_Y Vs30
1884411.2 5824373.89 154.77
1376648.35 4903443.76 154.84
1729922.81 6026303.96 154.84
1741786.91 6000504.35 154.84
1837965 5918928 154.85
1623633.1 6113879.83 154.87
1729998.36 6026295.45 154.88
1879118.63 5821469.36 154.92
1876087.77 5823581.74 154.99
1885254.08 5785495.25 154.99
1885380.92 5823599.97 154.99
1774909.48 5896838.28 155.04
1859287.38 5839298.92 155.04
1882290.23 5775480.27 155.05
1755622.33 5913274.03 155.06
1728214.74 5942074.77 155.13
1744895.77 5916812.98 155.15
1876552.46 5817486.78 155.15
1934211.87 5620275.5 155.16
1892608.16 5812970.14 155.18
1771769.03 5894488.54 155.19
1748388 5972067 155.2
1934175.67 5620696.55 155.24
1754428.67 5445058.95 155.28
1876022.69 5823589.47 155.29
1886196.41 5769005.48 155.29
1889516.01 5820626.63 155.29
1765946 5917054 155.3
1772610 5897906 155.31
1406889.86 4913377.74 155.33
1891213 5814823.95 155.36
1759046.82 5907534 155.37
1857931 5838737 155.37
1881704.06 5780000.27 155.41
1758693.01 5908501.51 155.42
1762970.88 5907566.97 155.42
1875171.71 5823637.24 155.43
1570970.16 5175493.8 155.44
1762471 5906714 155.44
1872220.82 5822489.31 155.48
1876116.91 5823581.87 155.48
1796404.76 5815957.88 155.52
1872519.92 5826287.43 155.53
1405626 4914656 155.54
1799635.01 5823452.48 155.54
1748630.04 5970609.76 155.6
1864778 5823633 155.6
1727992.34 5942076.98 155.61
1773520 5896149 155.61
1572659.08 5176335.27 155.62
1759934.72 5907947.45 155.62
1864281 5828576 155.63
1759070.13 5907523.35 155.65
1570636 5188794 155.66
1729991.16 6026382.59 155.68
1771214.93 5899812.36 155.69
1572855 5204551 155.73
1729944.54 6026343.34 155.73
1858496 5845250 155.77
1883074.1 5773786 155.79
1755373.24 5911835 155.81
1774621.91 5578556.87 155.82
1884111 5773137 155.85
1799326.84 5817154.52 155.86
1882336.25 5775925.3 155.86
1882118.5 5818849.01 155.89
1748175.45 5925772.43 155.95
1888815.7 5821145.82 155.99
1928601 5791145 156.03
1874329.38 5819761.37 156.06
1884461.3 5773129.2 156.06
1620084 6118209 156.12
1755930.64 5926068.15 156.13
1895438.06 5817569.06 156.13
1706316.11 5682749.69 156.2
1746642 5970674 156.21
1570595 5188851 156.22
1857563.57 5838497.67 156.22
1717831.65 6051414.04 156.24
1873953.34 5821444.77 156.25
1572272 5205051 156.26
1570587 5188585 156.27
1773660 5896378 156.3
1889971.33 5776136.11 156.3
2054512.17 5719536.72 156.32
1570406.72 5180626.45 156.35
1868541 5830192 156.35
1934151.2 5620740.54 156.36
1768541.72 5468108.5 156.37
1894939.29 5818260.76 156.37
1571204.56 5194366.42 156.39
1748398 5972154 156.42
1897921.8 5813579.41 156.43
1873857.58 5818908.94 156.44
1571429.83 5176635.67 156.45
1876432.21 5821065.78 156.46
1876187.2 5825353.34 156.47
1376673.97 4907950.59 156.48
1756672.75 5921542.89 156.5
1795838 5818127 156.5
1906884.52 5808086.47 156.5
1890994.77 5814649.14 156.51
1568775.57 5189290.44 156.52
1571428.22 5177830.54 156.57
1755502.28 5913130.48 156.58
1883511 5776456 156.59
1572639 5178239 156.6
1757553 5920960 156.6
1694519.07 5997533.39 156.61
1751591.7 5949658.56 156.62
2054493.66 5719514.65 156.62
1875079.58 5823588.3 156.67
1754503.65 5914483.71 156.69
1891358.22 5820190.79 156.71
1774829.96 5897495.69 156.73
1891319.59 5814635.7 156.76
1876793.45 5820438.77 156.77
1773534 5896266 156.8
1773738 5896057 156.82
1572688 5204653 156.86
1572939.31 5203940.84 156.86
1572939.31 5203940.51 156.86
1748176.45 5925771.36 156.87
1871001.27 5822921.63 156.88
1882183.57 5818480.94 156.92
1895640.51 5817036.14 156.92
2054515.03 5719551.88 156.92
1399046.81 4913918.24 156.93
1762389 5906712 156.93
1567754.57 5177563.75 156.96
1573012.36 5177150.37 157.04
1873349.55 5816535.38 157.07
1891202.97 5814780.68 157.07
1756804.7 5921660.3 157.08
1728020.65 5941925.32 157.1
1754241.65 5914839.72 157.1
1789629.13 5829966.87 157.13
1936135.8 5790765.55 157.15
1767978.61 5911898.58 157.16
1879555.48 5819668.8 157.16
1755324.59 5911981.05 157.19
1891900.47 5813478.37 157.23
1755393.65 5912994.62 157.26
1799624.66 5823632.29 157.26
1770704.08 5906902.63 157.29
1571228.07 5187416.57 157.32
1880652.78 5780185.27 157.32
1885218 5774647 157.36
1745087.62 5918309.11 157.38
1882367.93 5779478.15 157.38
1884410.25 5824483.47 157.38
1718579 6034128 157.39
1718873 6033708 157.39
1569140.92 5179094.56 157.43
1966883.21 5782772.11 157.43
1876423.8 5821009.73 157.44
1891492.66 5813237.07 157.44
1884739.47 5823354.51 157.46
1572664 5204573 157.47
1858845.51 5840852.83 157.48
1801287 5796158 157.49
1887762.52 5774081.14 157.49
1891159.17 5820215.49 157.51
1720887 6045222 157.52
1788301.85 5759894 157.52
1800543 5813012 157.53
1788122.3 5760162.51 157.56
1799683.86 5814839.56 157.56
1873098 5821919 157.57
1756811.01 5919559.28 157.58
1873818.61 5818537.74 157.58
1883411 5777001 157.59
1858872.02 5840852.01 157.61
1967176.18 5782884.91 157.61
1746290.3 5969356.8 157.64
1569809 5176257 157.65
1982649.42 5669077.99 157.65
1562340.33 5168354.81 157.68
1762432 5906603 157.7
2038249.63 5707271.61 157.71
1569073.6 5175423.06 157.72
1569269.54 5179166.72 157.72
1876490.18 5820978.28 157.72
1798719.16 5820910.47 157.73
1862123.31 5851427.01 157.74
1748626.66 5970580.49 157.75
1881812.59 5819666.75 157.76
2038146.2 5707368.78 157.77
1768410.37 5913366.58 157.8
1804246.44 5815255.17 157.8
1730332.41 6034149.31 157.81
1684469.23 5406492.13 157.87
1748387 5972096 157.87
1765928 5916697 157.87
1720975 6045028 157.88
1568719.23 5189347.15 157.9
1878050.33 5821126.66 157.9
1640367.36 6107340.44 157.91
1745008.86 5914011.49 157.92
1787511 5851139 157.93
2059918.67 5753890.83 157.95
1570974.95 5175528.09 157.98
1747982.48 5925558.01 157.98
1745928 5925868 158.04
1884116.6 5785238.76 158.06
1751602.57 5949497.73 158.08
1882977.74 5775599.62 158.08
1748569 5972170 158.11
1746402 5970717 158.16
1821158.65 5828345.73 158.23
1718032.12 6039100.56 158.26
1801593 5814768 158.3
1706294.93 5682765.18 158.32
1876134.37 5825725.74 158.33
1568581 5182656 158.34
1796098 5818115 158.34
1753389.87 5933319.19 158.35
1797334.9 5822914.3 158.36
1764460 5919364 158.37
1569852.89 5179237.33 158.38
1762314.65 5431367.87 158.38
1747374.28 5948445.03 158.46
1818491.99 5527195.58 158.46
1746916.5 5971132.3 158.48
1982645.35 5669137.17 158.49
1763213 5908706 158.5
1569645.69 5183557.67 158.53
1730037.6 6026409.64 158.53
1857619.23 5839310.55 158.53
1762379 5906588 158.57
2039522.64 5706838.56 158.57
1755413.29 5912957.53 158.58
1936120.4 5790827.9 158.58
1756555.8 5921611.7 158.59
1799249 5863976 158.63
1763179.9 5906809.5 158.64
1758680.55 5905944.88 158.65
1875921.77 5820898.88 158.65
1858509 5845273 158.66
1572095 5178256 158.69
1892639.08 5813003.83 158.7
2036111.72 5711222.96 158.7
1718031.44 6039140.63 158.79
1875271 5822242 158.79
1570932.58 5176729.82 158.83
1570695 5182542 158.88
1890783.1 5814624.66 158.9
1750668.6 5912854.7 158.91
1763378 5909165 158.94
1898932.98 5783775.35 158.94
1887790.85 5773376.87 158.95
1889704.18 5819605.3 158.95
1923438.49 5614284.33 158.95
1882672.7 5775380 158.98
1745278.36 5919626 159
1888378.15 5821573.57 159
1766238.82 5915838.87 159.01
1873458.41 5817433.65 159.02
1887605.39 5773897.98 159.03
1889559.88 5775549.83 159.03
1880669.64 5780160.05 159.04
1571389.3 5193526.8 159.05
1867907.29 5828142.95 159.06
1701163.64 5678877.21 159.09
1935825.88 5618686.62 159.09
1880876.71 5780205.02 159.1
1569040.9 5189075.88 159.11
1756619.25 5921535.75 159.11
1882196.93 5779812.16 159.12
1883953 5518728 159.13
1790287.35 5754680.03 159.15
1570637 5188700 159.2
1764188.48 5910254.4 159.2
1798565.78 5813295.33 159.22
1857582.48 5839294.48 159.22
1570725.58 5177204.32 159.25
1982584.69 5669121.21 159.25
1889569.43 5775571.5 159.27
1748593.75 5948664.73 159.28
1879637.11 5819767.54 159.28
1571081.24 5183025.54 159.3
1800790.87 5822853.56 159.35
1569483.9 5183388.75 159.36
1746368 5970626 159.37
1876567.07 5817467.28 159.39
1891305.62 5814645.71 159.39
1565699.71 5174666.52 159.4
1729035.26 5941819.57 159.42
2059934.03 5753921.49 159.44
1879525.65 5824770.54 159.45
1889908.97 5775930.06 159.46
1934186.58 5619858.21 159.46
1873865 5821445 159.47
1895688.83 5816997.1 159.47
2036635 5708653 159.52
1564479.1 5178717.76 159.53
1892618.89 5812971.88 159.53
1568665.41 5183741.54 159.55
1747061 5971169 159.58
1718768.7 6044876.38 159.6
1875187.81 5823626.72 159.62
1757374.51 5921129.33 159.63
1873502 5821629 159.63
1748064.07 5925672.14 159.65
1762393.47 5906508.26 159.65
1571464 5176624 159.66
1876872.15 5819568.51 159.67
1570499 5188995 159.69
1571148.48 5179822.99 159.7
1885396 5774630 159.71
1879342.9 5823674.25 159.74
1680362.7 5402689.01 159.78
