File Key,,Start Depth,End Depth,Depth,Measured Vs,Qc,Fs,u,Ic,Subset_Region,Subset_Geology,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,A07-H,A07-P,R09,Mc15,Mc18
SCPT,196093,24,24.5,24.25,286,4.31405404,0.108409705,0.164610693,2.446568503,1,1,220.0902834,267.9359972,178.3912062,219.8364657,454.0951856,0.26195397,0.065243675,0.472012884,0.263107878,-0.462315025
SCPT,196093,24.5,25,24.75,286,4.341137752,0.116919745,0.185613083,2.464630649,1,1,222.5998485,270.99112,179.4201153,222.679012,460.9736536,0.250616052,0.053905758,0.466261742,0.250260485,-0.47734908
SCPT,196093,25,25.5,25.25,290,4.485457878,0.121613644,0.171734719,2.456179755,1,1,225.4342621,274.4417104,180.8489067,225.7138589,465.8017998,0.251852327,0.055142033,0.47221901,0.250612837,-0.473879298
SCPT,196093,25.5,26,25.75,294,4.775298012,0.116210577,0.185056831,2.404376439,1,1,227.177775,276.5642478,181.3423118,228.141062,465.5766715,0.257846907,0.061136612,0.483193297,0.253615637,-0.459697024
SCPT,196093,26,26.5,26.25,314,3.713618458,0.118436851,0.223008087,2.5642046,1,1,218.2480866,265.6933228,168.7149043,221.5563315,468.1312167,0.363760558,0.167050264,0.621182652,0.348716111,-0.399355648
SCPT,196093,26.5,27,26.75,313,3.670375575,0.12398999,0.270553947,2.585601061,1,1,219.1914921,266.8418165,167.9201356,223.1934697,473.1405773,0.35625745,0.159547155,0.622714707,0.338164218,-0.413189357
SCPT,196093,27,27.5,27.25,322,4.504782447,0.123171016,0.282292332,2.457374854,1,1,227.6184644,277.1007393,176.3624308,230.9347341,475.6738062,0.34688072,0.150170426,0.602010402,0.332416411,-0.390180793
SCPT,196093,27.5,28,27.75,312,5.38753856,0.131451314,0.268544243,2.362630084,1,1,236.4456285,287.8468521,185.461542,239.4534003,482.564686,0.277284907,0.080574613,0.520155648,0.264644361,-0.436111788
SCPT,57343,0,0.5,0.25,72,4.721934496,0.039623045,0,2.125188119,2,1,113.1596547,137.7595796,251.1590477,56.371094,123.1959192,-0.452133576,-0.64884387,-1.249420276,0.24470961,-0.537109808
SCPT,57343,0.5,1,0.75,83,9.515681225,0.071931966,0.002328288,1.851603568,2,1,151.465032,184.3922129,233.2928173,89.7652789,178.2188391,-0.601514179,-0.798224473,-1.033453783,-0.078357644,-0.764171621
SCPT,57343,1,1.5,1.25,101,13.17572544,0.086766587,0.008099798,1.703390374,2,1,170.4496826,207.5039614,235.1342521,110.6861059,209.2739695,-0.52331962,-0.720029914,-0.84503612,-0.091577804,-0.728523736
SCPT,57343,1.5,2,1.75,116,13.75251724,0.105303703,0.004098919,1.729629389,2,1,183.4082518,223.2796109,245.9951831,124.4695331,234.0887986,-0.458124361,-0.654834655,-0.751721764,-0.070470781,-0.702110333
