NZTM_X,NZTM_Y,Vs30,xcoord,ycoord
2035309.34,5710097.71,179.55,178.0012381,-38.65073461
2035301.45,5710053.31,179.25,178.0011755,-38.65113709
2035298.28,5710010.23,182.92,178.0011662,-38.65152539
2035287.91,5709978,180.81,178.0010676,-38.65181983
2035281.54,5710115.22,184.9,178.0009088,-38.65059106
2035254.17,5710073.91,175.67,178.0006213,-38.65097535
2035253.04,5710000.87,186.02,178.0006541,-38.65163162
2035241.95,5710051,185.21,178.0004958,-38.65118702
2035227.82,5710022.07,185.42,178.0003521,-38.65145367
2035172,5709186,189.97,178.0002362,-38.65898688
2035165,5709216,186.96,178.0001372,-38.65872099
2035152,5709217,189.92,177.9999878,-38.65871839
2035151,5709182,207.72,177.9999982,-38.6590331
2035144,5709235,198.9,177.9998849,-38.65856072
2035133.43,5709286.01,183.95,177.999732,-38.65810797
2035114.59,5709259.3,178.08,177.999533,-38.658357
2035104,5709205,180.26,177.9994457,-38.65884967
2035022,5709106,186.58,177.9985688,-38.65977867
2035007,5709102,169.54,177.9983995,-38.65982194
2034982.22,5709108.11,189.68,177.998112,-38.65977924
2034977.3,5709118.76,185.42,177.998049,-38.65968605
2034935.68,5709596,195.11,177.997274,-38.65542202
2034924.24,5709595.96,189.76,177.997143,-38.65542798
2034764.43,5708911.85,194.5,177.995741,-38.66164798
2034755.51,5708887.61,200.96,177.9956541,-38.66186996
2034623.08,5708866.4,204.49,177.994151,-38.66212529
2034620.07,5708887.98,222.29,177.994103,-38.66193303
2034577.19,5709249.66,201.53,177.993386,-38.65870703
2034546.3,5710828.07,195.67,177.9920463,-38.6445518
2034545.42,5711004.12,197.53,177.9919263,-38.64297172
2034544.73,5710927.3,200.81,177.9919664,-38.64366172
2034541.76,5710872.88,203.35,177.9919664,-38.64415174
2034538.2,5711176.05,182.2,177.9917363,-38.64143173
2034537.34,5711256.29,187.99,177.9916764,-38.64071178
2034522.02,5711055.52,188.64,177.9916264,-38.64252173
2034510.97,5710997.08,196.32,177.9915363,-38.64305179
2034480.33,5710931.92,185.56,177.9912263,-38.64365178
2034480.31,5711155.81,181.54,177.9910863,-38.64164178
2034480.29,5711091.21,178.65,177.9911264,-38.64222175
2034476.19,5711208.39,199.99,177.9910063,-38.64117175
2034471.62,5710980.29,193.51,177.9910964,-38.64322179
2034439.31,5709875.61,199.85,177.9914163,-38.65315504
2034399.32,5709869.72,194.42,177.9909621,-38.6532275
2028144,5707796,206.81,177.9206176,-38.67488804
2028144,5707788,214.11,177.9206225,-38.67495987
2028119,5707785,195.21,177.920338,-38.67499888
2028117,5707795,180.85,177.920309,-38.67491006
2028113,5707781,192.56,177.9202718,-38.67503769
2026289,5714178,198.08,177.8954605,-38.61847871
2026260,5714162,178.91,177.8951384,-38.6186363
2022683.81,5670054.67,284.47,177.8812329,-39.0163878
2014823,5676034,217.84,177.7871264,-38.9664541
2014821,5676027,217.84,177.7871077,-38.9665179
2014806,5676026,217.84,177.7869357,-38.96653397
2014787,5676063,217.84,177.7866948,-38.9662107
2014759,5675960,217.84,177.7864351,-38.96714887
2014742,5675945,217.84,177.7862486,-38.96729161
2014733,5675914,217.84,177.7861639,-38.96757424
2014725,5675901,217.84,177.7860797,-38.96769477
2011989.8,5706807.68,234.04,177.7361458,-38.69142168
1983484.46,5670477.29,178.82,177.42964,-39.030644
1983477.02,5670468.75,165.77,177.4295591,-39.03072399
1983476.19,5670476.69,183.93,177.429545,-39.03065302
1983458.23,5670450.3,169.19,177.429353,-39.03089799
1983457.32,5670460.03,182.11,177.429337,-39.03081097
1983227,5670402,168.72,177.4267166,-39.03143324
1982649.42,5669077.99,157.65,177.420806,-39.04358151
1982645.35,5669137.17,158.49,177.4207259,-39.04305159
1982604.22,5669183.7,162.42,177.420226,-39.04265154
1982601,5776892,186.99,177.3611954,-38.07483717
1982584.69,5669121.21,159.25,177.420036,-39.04322152
1982567.75,5669058.59,153.16,177.419876,-39.04379154
1982525.7,5669121.85,151.44,177.4193561,-39.04324157
1982500.09,5670320.45,187.5,177.4183889,-39.03248402
1982492.56,5670340.52,178.28,177.418291,-39.03230699
1982412.24,5670373.92,192.87,177.417347,-39.03204202
1982404.12,5670308.65,201.32,177.4172901,-39.03263199
1982381.05,5670387.68,197.42,177.41698,-39.03193203
1982355.56,5670399.16,193.6,177.41668,-39.03184002
1982327.86,5670388.27,198.36,177.416367,-39.03194997
1982317.47,5670412.03,189.38,177.416234,-39.03174104
1982276.77,5670401.55,183.83,177.415771,-39.03185298
1982262.48,5670423.72,188.54,177.415594,-39.03166004
1982237.21,5670416.49,184.08,177.4153069,-39.03173604
1982215.41,5670450.05,180.27,177.415037,-39.03144404
1982191.49,5670454.45,188.03,177.414759,-39.03141496
1982174.86,5670442.68,191.35,177.4145741,-39.03152797
1982153.69,5670466.3,196.52,177.414317,-39.031325
1982123.03,5670483.71,186.5,177.413954,-39.03118197
1982121.28,5670456.75,184.79,177.413949,-39.03142496
1982097.29,5670484.62,178.17,177.413657,-39.03118504
