easting,northing,Vs30,uncertainty,station,q,gid,geology_vs30,geology_stdv,tid,terrain_vs30,terrain_stdv
1678813.11714723,5404452.78385736,210,0.5,MGCS,3,12,617.27924,0.48799092,16,238.32666,0.38188857
1752206.39835681,5424691.53796313,200,0.1,MISS,1,6,222.52544,0.31248862,13,272.588,0.3933979
1217722.56545209,4964727.34065646,1100,0.5,MLZ,3,15,716.57263,0.483527,5,648.8941,0.48938733
1843810.75722548,5810998.76296206,210,0.5,MMCS,3,4,500,0.44912073,15,227.4589,0.32270417
1838908.47212274,5589850.11290231,270,0.5,MNGS,3,13,304.0157,0.4836529,10,334.44003,0.46992904
1597886.73978742,5168402.78747054,1000,0.5,MNZS,3,15,716.57263,0.483527,255,NA,NA
1621287.90142625,5340418.42971767,700,0.5,MOLS,3,7,351.6583,0.47477344,5,648.8941,0.48938733
1569412.20032112,5179202.06305599,210,0.5,MORS,3,10,197,0.26063582,15,227.4589,0.32270417
1229064.05457385,4931821.86933235,400,0.5,MOSS,3,13,304.0157,0.4836529,16,238.32666,0.38188857
1600797.97953644,5447400.85951161,300,0.5,MOTS,3,4,240,0.44912073,16,238.32666,0.38188857
1571078.25468715,5183665.94646891,210,0.5,MPSS,3,10,197,0.26063582,15,227.4589,0.32270417
1572104.06502419,5160712.96956161,1000,0.5,MQZ,3,15,716.57263,0.483527,5,648.8941,0.48938733
1564372.01698756,5182308.55514716,210,0.5,MRSS,3,10,310.625,0.26063582,16,238.32666,0.38188857
1471268.57298245,5159696.5410562,270,0.5,MSMC,3,4,500,0.44912073,14,262.98834,0.40245143
1197780.18275562,5040833.23026981,1100,0.5,MSZS,3,4,240,0.44912073,255,NA,NA
1492295.31213892,5175776.42401652,210,0.5,MTHS,3,9,330.3179,0.5,16,238.32666,0.38188857
1933351.20038646,5692598.36766678,1000,0.5,MTHZ,3,12,617.27924,0.48799092,3,746.6371,0.5
1577847.43284436,5174218.57976774,1000,0.5,MTPS,3,15,716.57263,0.483527,8,604.2022,0.47762427
1837003.75082609,5634447.93820816,1000,0.5,MWDS,3,15,716.57263,0.483527,255,NA,NA
1922788.27235733,5803465.67884305,1000,0.5,MWFS,3,12,617.27924,0.48799092,7,677.3067,0.4938305
1995813.53977553,5747414.2658532,1000,0.5,MWZ,3,12,617.27924,0.48799092,4,784.90753,0.5
1933111.06529977,5624044.50276154,150,0.5,NAAS,3,3,182.06424,0.2711188,16,238.32666,0.38188857
