d,vs
0.0,76.0
0.01,76.0
0.02,76.0
0.03,76.0
0.04,76.0
0.05,76.0
0.06,76.0
0.07,76.0
0.08,76.0
0.09,76.0
0.1,76.0
0.11,76.0
0.12,76.0
0.13,76.0
0.14,76.0
0.15,76.0
0.16,76.0
0.17,76.0
0.18,76.0
0.19,76.0
0.2,76.0
0.21,76.0
0.22,76.0
0.23,76.0
0.24,76.0
0.25,76.0
0.26,76.0
0.27,76.0
0.28,76.0
0.29,76.0
0.3,76.0
0.31,76.0
0.32,76.0
0.33,76.0
0.34,76.0
0.35,76.0
0.36,76.0
0.37,76.0
0.38,76.0
0.39,76.0
0.4,76.0
0.41,76.0
0.42,76.0
0.43,76.0
0.44,76.0
0.45,76.0
0.46,76.0
0.47,76.0
0.48,76.0
0.49,76.0
0.5,76.0
0.51,76.0
0.52,76.0
0.53,76.0
0.54,76.0
0.55,76.0
0.56,76.0
0.57,76.0
0.58,76.0
0.59,76.0
0.6,76.0
0.61,76.0
0.62,76.0
0.63,76.0
0.64,76.0
0.65,76.0
0.66,76.0
0.67,76.0
0.68,76.0
0.69,76.0
0.7,76.0
0.71,76.0
0.72,76.0
0.73,76.0
0.74,76.0
0.75,76.0
0.76,76.0
0.77,76.0
0.78,76.0
0.79,76.0
0.8,76.0
0.81,76.0
0.82,76.0
0.83,76.0
0.84,76.0
0.85,76.0
0.86,76.0
0.87,76.0
0.88,76.0
0.89,76.0
0.9,76.0
0.91,76.0
0.92,76.0
0.93,76.0
0.94,76.0
0.95,76.0
0.96,76.0
0.97,76.0
0.98,76.0
0.99,76.0
1.0,222.0
1.01,222.0
1.02,222.0
1.03,222.0
1.04,222.0
1.05,222.0
1.06,222.0
1.07,222.0
1.08,222.0
1.09,222.0
1.1,222.0
1.11,222.0
1.12,222.0
1.13,222.0
1.14,222.0
1.15,222.0
1.16,222.0
1.17,222.0
1.18,222.0
1.19,222.0
1.2,222.0
1.21,222.0
1.22,222.0
1.23,222.0
1.24,222.0
1.25,222.0
1.26,222.0
1.27,222.0
1.28,222.0
1.29,222.0
1.3,222.0
1.31,222.0
1.32,222.0
1.33,222.0
1.34,222.0
1.35,222.0
1.36,222.0
1.37,222.0
1.38,222.0
1.39,222.0
1.4,222.0
1.41,222.0
1.42,222.0
1.43,222.0
1.44,222.0
1.45,222.0
1.46,222.0
1.47,222.0
1.48,222.0
1.49,222.0
1.5,182.0
1.51,182.0
1.52,182.0
1.53,182.0
1.54,182.0
1.55,182.0
1.56,182.0
1.57,182.0
1.58,182.0
1.59,182.0
1.6,182.0
1.61,182.0
1.62,182.0
1.63,182.0
1.64,182.0
1.65,182.0
1.66,182.0
1.67,182.0
1.68,182.0
1.69,182.0
1.7,182.0
1.71,182.0
1.72,182.0
1.73,182.0
1.74,182.0
1.75,182.0
1.76,182.0
1.77,182.0
1.78,182.0
1.79,182.0
1.8,182.0
1.81,182.0
1.82,182.0
1.83,182.0
1.84,182.0
1.85,182.0
1.86,182.0
1.87,182.0
1.88,182.0
1.89,182.0
1.9,182.0
1.91,182.0
1.92,182.0
1.93,182.0
1.94,182.0
1.95,182.0
1.96,182.0
1.97,182.0
1.98,182.0
1.99,182.0
2.0,148.0
2.01,148.0
2.02,148.0
2.03,148.0
2.04,148.0
2.05,148.0
2.06,148.0
2.07,148.0
2.08,148.0
2.09,148.0
2.1,148.0
2.11,148.0
2.12,148.0
2.13,148.0
2.14,148.0
2.15,148.0
2.16,148.0
2.17,148.0
2.18,148.0
2.19,148.0
2.2,148.0
2.21,148.0
2.22,148.0
2.23,148.0
2.24,148.0
2.25,148.0
2.26,148.0
2.27,148.0
2.28,148.0
2.29,148.0
2.3,148.0
2.31,148.0
2.32,148.0
2.33,148.0
2.34,148.0
2.35,148.0
2.36,148.0
2.37,148.0
2.38,148.0
2.39,148.0
2.4,148.0
2.41,148.0
2.42,148.0
2.43,148.0
2.44,148.0
2.45,148.0
2.46,148.0
2.47,148.0
2.48,148.0
2.49,148.0
2.5,177.0
2.51,177.0
2.52,177.0
2.53,177.0
2.54,177.0
2.55,177.0
2.56,177.0
2.57,177.0
2.58,177.0
2.59,177.0
2.6,177.0
2.61,177.0
2.62,177.0
2.63,177.0
2.64,177.0
2.65,177.0
2.66,177.0
2.67,177.0
2.68,177.0
2.69,177.0
2.7,177.0
2.71,177.0
2.72,177.0
2.73,177.0
2.74,177.0
2.75,177.0
2.76,177.0
2.77,177.0
2.78,177.0
2.79,177.0
2.8,177.0
2.81,177.0
2.82,177.0
2.83,177.0
2.84,177.0
2.85,177.0
2.86,177.0
2.87,177.0
2.88,177.0
2.89,177.0
2.9,177.0
2.91,177.0
2.92,177.0
2.93,177.0
2.94,177.0
2.95,177.0
2.96,177.0
2.97,177.0
2.98,177.0
2.99,177.0
3.0,140.0
3.01,140.0
3.02,140.0
3.03,140.0
3.04,140.0
3.05,140.0
3.06,140.0
3.07,140.0
3.08,140.0
3.09,140.0
3.1,140.0
3.11,140.0
3.12,140.0
3.13,140.0
3.14,140.0
3.15,140.0
3.16,140.0
3.17,140.0
3.18,140.0
3.19,140.0
3.2,140.0
3.21,140.0
3.22,140.0
3.23,140.0
3.24,140.0
3.25,140.0
3.26,140.0
3.27,140.0
3.28,140.0
3.29,140.0
3.3,140.0
3.31,140.0
3.32,140.0
3.33,140.0
3.34,140.0
3.35,140.0
3.36,140.0
3.37,140.0
3.38,140.0
3.39,140.0
3.4,140.0
3.41,140.0
3.42,140.0
3.43,140.0
3.44,140.0
3.45,140.0
3.46,140.0
3.47,140.0
3.48,140.0
3.49,140.0
3.5,132.0
3.51,132.0
3.52,132.0
3.53,132.0
3.54,132.0
3.55,132.0
3.56,132.0
3.57,132.0
3.58,132.0
3.59,132.0
3.6,132.0
3.61,132.0
3.62,132.0
3.63,132.0
3.64,132.0
3.65,132.0
3.66,132.0
3.67,132.0
3.68,132.0
3.69,132.0
3.7,132.0
3.71,132.0
3.72,132.0
3.73,132.0
3.74,132.0
3.75,132.0
3.76,132.0
3.77,132.0
3.78,132.0
3.79,132.0
3.8,132.0
3.81,132.0
3.82,132.0
3.83,132.0
3.84,132.0
3.85,132.0
3.86,132.0
3.87,132.0
3.88,132.0
3.89,132.0
3.9,132.0
3.91,132.0
3.92,132.0
3.93,132.0
3.94,132.0
3.95,132.0
3.96,132.0
3.97,132.0
3.98,132.0
3.99,132.0
4.0,138.0
4.01,138.0
4.02,138.0
4.03,138.0
4.04,138.0
4.05,138.0
4.06,138.0
4.07,138.0
4.08,138.0
4.09,138.0
4.1,138.0
4.11,138.0
4.12,138.0
4.13,138.0
4.14,138.0
4.15,138.0
4.16,138.0
4.17,138.0
4.18,138.0
4.19,138.0
4.2,138.0
4.21,138.0
4.22,138.0
4.23,138.0
4.24,138.0
4.25,138.0
4.26,138.0
4.27,138.0
4.28,138.0
4.29,138.0
4.3,138.0
4.31,138.0
4.32,138.0
4.33,138.0
4.34,138.0
4.35,138.0
4.36,138.0
4.37,138.0
4.38,138.0
4.39,138.0
4.4,138.0
4.41,138.0
4.42,138.0
4.43,138.0
4.44,138.0
4.45,138.0
4.46,138.0
4.47,138.0
4.48,138.0
4.49,138.0
4.5,143.0
4.51,143.0
4.52,143.0
4.53,143.0
4.54,143.0
4.55,143.0
4.56,143.0
4.57,143.0
4.58,143.0
4.59,143.0
4.6,143.0
4.61,143.0
4.62,143.0
4.63,143.0
4.64,143.0
4.65,143.0
4.66,143.0
4.67,143.0
4.68,143.0
4.69,143.0
4.7,143.0
4.71,143.0
4.72,143.0
4.73,143.0
4.74,143.0
4.75,143.0
4.76,143.0
4.77,143.0
4.78,143.0
4.79,143.0
4.8,143.0
4.81,143.0
4.82,143.0
4.83,143.0
4.84,143.0
4.85,143.0
4.86,143.0
4.87,143.0
4.88,143.0
4.89,143.0
4.9,143.0
4.91,143.0
4.92,143.0
4.93,143.0
4.94,143.0
4.95,143.0
4.96,143.0
4.97,143.0
4.98,143.0
4.99,143.0
5.0,120.0
5.01,120.0
5.02,120.0
5.03,120.0
5.04,120.0
5.05,120.0
5.06,120.0
5.07,120.0
5.08,120.0
5.09,120.0
5.1,120.0
5.11,120.0
5.12,120.0
5.13,120.0
5.14,120.0
5.15,120.0
5.16,120.0
5.17,120.0
5.18,120.0
5.19,120.0
5.2,120.0
5.21,120.0
5.22,120.0
5.23,120.0
5.24,120.0
5.25,120.0
5.26,120.0
5.27,120.0
5.28,120.0
5.29,120.0
5.3,120.0
5.31,120.0
5.32,120.0
5.33,120.0
5.34,120.0
5.35,120.0
5.36,120.0
5.37,120.0
5.38,120.0
5.39,120.0
5.4,120.0
5.41,120.0
5.42,120.0
5.43,120.0
5.44,120.0
5.45,120.0
5.46,120.0
5.47,120.0
5.48,120.0
5.49,120.0
5.5,143.0
5.51,143.0
5.52,143.0
5.53,143.0
5.54,143.0
5.55,143.0
5.56,143.0
5.57,143.0
5.58,143.0
5.59,143.0
5.6,143.0
5.61,143.0
5.62,143.0
5.63,143.0
5.64,143.0
5.65,143.0
5.66,143.0
5.67,143.0
5.68,143.0
5.69,143.0
5.7,143.0
5.71,143.0
5.72,143.0
5.73,143.0
5.74,143.0
5.75,143.0
5.76,143.0
5.77,143.0
5.78,143.0
5.79,143.0
5.8,143.0
5.81,143.0
5.82,143.0
5.83,143.0
5.84,143.0
5.85,143.0
5.86,143.0
5.87,143.0
5.88,143.0
5.89,143.0
5.9,143.0
5.91,143.0
5.92,143.0
5.93,143.0
5.94,143.0
5.95,143.0
5.96,143.0
5.97,143.0
5.98,143.0
5.99,143.0
6.0,134.0
6.01,134.0
6.02,134.0
6.03,134.0
6.04,134.0
6.05,134.0
6.06,134.0
6.07,134.0
6.08,134.0
6.09,134.0
6.1,134.0
6.11,134.0
6.12,134.0
6.13,134.0
6.14,134.0
6.15,134.0
6.16,134.0
6.17,134.0
6.18,134.0
6.19,134.0
6.2,134.0
6.21,134.0
6.22,134.0
6.23,134.0
6.24,134.0
6.25,134.0
6.26,134.0
6.27,134.0
6.28,134.0
6.29,134.0
6.3,134.0
6.31,134.0
6.32,134.0
6.33,134.0
6.34,134.0
6.35,134.0
6.36,134.0
6.37,134.0
6.38,134.0
6.39,134.0
6.4,134.0
6.41,134.0
6.42,134.0
6.43,134.0
6.44,134.0
6.45,134.0
6.46,134.0
6.47,134.0
6.48,134.0
6.49,134.0
6.5,139.0
6.51,139.0
6.52,139.0
6.53,139.0
6.54,139.0
6.55,139.0
6.56,139.0
6.57,139.0
6.58,139.0
6.59,139.0
6.6,139.0
6.61,139.0
6.62,139.0
6.63,139.0
6.64,139.0
6.65,139.0
6.66,139.0
6.67,139.0
6.68,139.0
6.69,139.0
6.7,139.0
6.71,139.0
6.72,139.0
6.73,139.0
6.74,139.0
6.75,139.0
6.76,139.0
6.77,139.0
6.78,139.0
6.79,139.0
6.8,139.0
6.81,139.0
6.82,139.0
6.83,139.0
6.84,139.0
6.85,139.0
6.86,139.0
6.87,139.0
6.88,139.0
6.89,139.0
6.9,139.0
6.91,139.0
6.92,139.0
6.93,139.0
6.94,139.0
6.95,139.0
6.96,139.0
6.97,139.0
6.98,139.0
6.99,139.0
7.0,138.0
7.01,138.0
7.02,138.0
7.03,138.0
7.04,138.0
7.05,138.0
7.06,138.0
7.07,138.0
7.08,138.0
7.09,138.0
7.1,138.0
7.11,138.0
7.12,138.0
7.13,138.0
7.14,138.0
7.15,138.0
7.16,138.0
7.17,138.0
7.18,138.0
7.19,138.0
7.2,138.0
7.21,138.0
7.22,138.0
7.23,138.0
7.24,138.0
7.25,138.0
7.26,138.0
7.27,138.0
7.28,138.0
7.29,138.0
7.3,138.0
7.31,138.0
7.32,138.0
7.33,138.0
7.34,138.0
7.35,138.0
7.36,138.0
7.37,138.0
7.38,138.0
7.39,138.0
7.4,138.0
7.41,138.0
7.42,138.0
7.43,138.0
7.44,138.0
7.45,138.0
7.46,138.0
7.47,138.0
7.48,138.0
7.49,138.0
7.5,153.0
7.51,153.0
7.52,153.0
7.53,153.0
7.54,153.0
7.55,153.0
7.56,153.0
7.57,153.0
7.58,153.0
7.59,153.0
7.6,153.0
7.61,153.0
7.62,153.0
7.63,153.0
7.64,153.0
7.65,153.0
7.66,153.0
7.67,153.0
7.68,153.0
7.69,153.0
7.7,153.0
7.71,153.0
7.72,153.0
7.73,153.0
7.74,153.0
7.75,153.0
7.76,153.0
7.77,153.0
7.78,153.0
7.79,153.0
7.8,153.0
7.81,153.0
7.82,153.0
7.83,153.0
7.84,153.0
7.85,153.0
7.86,153.0
7.87,153.0
7.88,153.0
7.89,153.0
7.9,153.0
7.91,153.0
7.92,153.0
7.93,153.0
7.94,153.0
7.95,153.0
7.96,153.0
7.97,153.0
7.98,153.0
7.99,153.0
8.0,175.0
8.01,175.0
8.02,175.0
8.03,175.0
8.04,175.0
8.05,175.0
8.06,175.0
8.07,175.0
8.08,175.0
8.09,175.0
8.1,175.0
8.11,175.0
8.12,175.0
8.13,175.0
8.14,175.0
8.15,175.0
8.16,175.0
8.17,175.0
8.18,175.0
8.19,175.0
8.2,175.0
8.21,175.0
8.22,175.0
8.23,175.0
8.24,175.0
8.25,175.0
8.26,175.0
