d,vs
0.01,80.16684158847846
0.03,140.89875811433427
0.05,165.8531641260417
0.07,181.45373569206538
0.09,205.17347258830705
0.11,221.0498858756834
0.13,231.1520842117578
0.15,235.17229887332985
0.17,239.3591009741986
0.19,242.07997748434278
0.21,242.88303589743373
0.23,242.7957271743434
0.25,243.37758565296343
0.27,241.307648382994
0.29,239.56710328935677
0.31,239.128237812917
0.33,236.86106826730915
0.35,234.30672835713045
0.37,232.19829668615395
0.39,230.33682821002304
0.41,229.18694308522274
0.43,227.29362009068078
0.45,230.15803717115708
0.47,232.18650386170063
0.49,233.69618115373677
0.51,233.15218935892034
0.53,235.00138791513427
0.55,233.5811827400922
0.57,233.7378580172872
0.59,231.44224694346386
0.61,230.91438492495521
0.63,231.46468972065293
0.65,234.8791347891019
0.67,236.7301192118663
0.69,236.75871214350275
0.71,236.90155433659197
0.73,235.17822211319535
0.75,234.68034807534534
0.77,235.47610900980172
0.79,233.51246574049122
0.81,232.9086629821338
0.83,232.89524438073553
0.85,234.0276133259986
0.87,234.03748287902624
0.89,232.7818119820942
0.91,231.6916166333234
0.93,232.5405954353961
0.95,230.89472276333163
0.97,231.23428793923983
0.99,232.0517848940697
1.01,233.01324841413557
1.03,233.18909771793273
1.05,233.41107458204664
1.07,234.6260170099216
1.09,236.50928882002552
1.11,236.70674475098284
1.13,239.03960192422912
1.15,242.15013583140666
1.17,243.10869713463197
1.19,243.36400105618534
1.21,240.89437695084433
1.23,238.35820735440953
1.25,236.95221029012893
1.27,237.61471356854085
1.29,238.75618544741934
1.31,239.73935652833984
1.33,238.43559744483227
1.35,238.23463498155874
1.37,236.98256168595262
1.39,234.83028550784246
1.41,232.96217741664063
1.43,229.75133851925344
1.45,227.36260315779558
1.47,222.96445027182403
1.49,220.69882221655774
1.51,221.44269551776208
1.53,221.45126619947672
1.55,223.2129391886046
1.57,224.86744130632442
1.59,229.955797417039
1.61,234.89947337459546
1.63,239.91973965433394
1.65,245.02738816978638
1.67,250.98651918526565
1.69,253.06204350683498
1.71,255.32412361212647
1.73,259.59019619957223
1.75,261.82217334043696
1.77,263.0765689231494
1.79,261.25418084167546
1.81,256.6231896965667
1.83,251.4175562503484
1.85,247.64791811425414
1.87,246.17552813214078
1.89,240.5707039536687
1.91,234.89858163111427
1.93,233.47253609006856
1.95,233.10933938638175
1.97,232.7329644085966
1.99,230.9058968692452
