d,vs
0.01,48.997876291134055
0.03,85.56294161755922
0.05,101.53952006382447
0.07,111.97364720243078
0.09,126.62773776682616
0.11,135.65622728004982
0.13,141.6663241666823
0.15,143.5351492208999
0.17,146.5181749684884
0.19,145.85539717535903
0.21,145.627867118683
0.23,144.83205112058423
0.25,144.97304001301612
0.27,143.60094284704545
0.29,141.66014788216236
0.31,139.91261109795926
0.33,139.70025652159637
0.35,140.25717817970084
0.37,140.3633212502387
0.39,139.4124114097443
0.41,137.82418263200896
0.43,137.61019191431947
0.45,139.0747291752034
0.47,141.90322544122216
0.49,143.15295971943638
0.51,144.53022647148487
0.53,144.4583358597572
0.55,144.60469541731598
0.57,144.70877728141124
0.59,144.8350337059596
0.61,144.13564928676288
0.63,144.52944623193054
0.65,145.32033698524376
0.67,146.31617477165653
0.69,146.37764251033497
0.71,147.02945615933623
0.73,145.39492421273462
0.75,146.5241781357002
0.77,146.68384720782262
0.79,146.31610355804025
0.81,145.66106486958944
0.83,144.86822840448207
0.85,145.8938756016371
0.87,147.36051441216176
0.89,147.70621648712674
0.91,147.6089391093696
0.93,146.5337205449192
0.95,146.35574521913315
0.97,146.5872430929331
0.99,147.27406408300192
1.01,147.09811985037086
1.03,147.8617908501909
1.05,147.10690052196207
1.07,147.4825153197693
1.09,147.6801586291314
1.11,149.7508798375528
1.13,149.64282101331187
1.15,152.3413030919459
1.17,153.43496026330706
1.19,154.13416212708287
1.21,153.7399440768976
1.23,151.7910672441447
1.25,151.7902002420056
1.27,154.31033576513295
1.29,156.0790857864379
1.31,156.66661412660616
1.33,156.35849928700648
1.35,157.33463394259076
1.37,158.07933978885697
1.39,156.30092799360227
1.41,155.96009666977747
1.43,155.47593632187642
1.45,154.15985849573275
1.47,152.13063115634017
1.49,151.44115915824463
1.51,152.6547342882302
1.53,151.2358127475644
1.55,151.87421980700682
1.57,152.4779573898675
1.59,155.2402034358798
1.61,159.16585264466246
1.63,162.05905244419256
1.65,164.95967334642867
1.67,167.10567410496665
1.69,169.4004576518135
1.71,170.97603214174194
1.73,173.03975625501988
1.75,175.48939347489434
1.77,176.27700880843975
1.79,176.25959520132884
1.81,173.89881053588374
1.83,170.63655992974603
1.85,169.8076657913338
1.87,167.57528496222727
1.89,163.27282915105437
1.91,160.68153395938637
1.93,158.4745246036239
1.95,158.88123188408187
1.97,160.22342077802307
1.99,159.85404502471758
2.01,158.14435191652103
2.03,156.55091939456108
2.05,152.58391525229132
2.07,148.26272909641952
2.09,144.85882650538238
2.11,143.2630652764204
2.13,142.31445013178828
2.15,143.38163141233596
2.17,147.28492273082225
2.19,151.49548433379886
2.21,155.0421658786298
2.23,155.64016702710123
2.25,156.77313252682103
2.27,157.73824678696104
2.29,157.4010589723068
2.31,154.74636078879965
2.33,154.23715789098574
2.35,150.22038776634915
2.37,146.56357573262773
2.39,145.6637048275341
2.41,143.62184337438885
2.43,140.79979925696762
2.45,140.46699749068438
2.47,139.6905852236748
2.49,141.40029688909945
2.51,141.86061086824196
2.53,142.95942438585632
2.55,142.98784994966272
2.57,140.02352167900884
2.59,141.11239760161595
2.61,142.3617417597564
2.63,142.4025783476996
2.65,141.3890196793799
2.67,139.3224082454087
2.69,136.41482889189967
2.71,134.9791720766416
2.73,135.8313175978662
2.75,135.0303123203044
2.77,136.31104779525353
2.79,133.6804925554181
2.81,133.54054890089589
2.83,131.18940720875943
2.85,128.89814859091328
2.87,127.64871833867795
2.89,126.00731951497549
2.91,125.6735097049393
2.93,126.16543387529092
2.95,125.88265352081814
2.97,126.5917540067875
2.99,126.11147609402227
3.01,125.31357164544704
3.03,124.05631879095255
3.05,127.20571544046828
3.07,144.98432513375434
3.09,162.39050979500655
3.11,153.12098006981267
3.13,145.97121020739425
3.15,141.345634129429
3.17,140.57964552305702
3.19,140.64944559531003
3.21,142.37547558988297
3.23,145.28085882787352
3.25,153.8370303941697
3.27,158.1787994362583
3.29,164.42317484476257
3.31,167.18553975620512
3.33,166.977560877886
3.35,165.59133706885027
3.37,164.12701756199598
3.39,164.63785289116305
3.41,163.54006140913765
3.43,163.45171926369378
3.45,164.51415065631176
3.47,165.78107009506573
3.49,166.69296066951458
3.51,166.8140862285344
3.53,165.4315592819255
3.55,166.16310167589901
3.57,166.06169532528494
3.59,166.85661814656066
3.61,167.16129317606715
3.63,166.7370536250884
3.65,166.42669435096994
3.67,166.50436024122288
3.69,165.31375601355867
3.71,164.485529507558
3.73,164.89455364226927
3.75,163.79345858855277
