d,vs
0.01,40.81
0.03,71.74
0.05,84.29
0.07,92.38
0.09,104.67
0.11,112.7
0.13,117.35
0.15,119.67
0.17,121.95
0.19,122.74
0.21,123.16
0.23,122.65
0.25,122.57
0.27,121.32
0.29,120.48
0.31,119.93
0.33,119.54
0.35,119.34
0.37,118.79
0.39,118.3
0.41,117.99
0.43,117.41
0.45,118.41
0.47,119.44
0.49,120.15
0.51,121.0
0.53,121.57
0.55,121.33
0.57,121.45
0.59,121.12
0.61,121.11
0.63,121.9
0.65,122.95
0.67,123.96
0.69,123.82
0.71,123.41
0.73,122.85
0.75,123.16
0.77,123.13
0.79,122.52
0.81,122.03
0.83,122.01
0.85,122.65
0.87,123.22
0.89,123.06
0.91,123.33
0.93,123.02
0.95,122.39
0.97,122.13
0.99,122.02
1.01,122.22
1.03,122.14
1.05,121.82
1.07,122.23
1.09,122.63
1.11,123.87
1.13,124.89
1.15,126.35
1.17,127.01
1.19,127.23
1.21,126.69
1.23,125.64
1.25,125.68
1.27,125.81
1.29,126.3
1.31,126.84
1.33,126.83
1.35,126.78
1.37,126.58
1.39,125.99
1.41,124.81
1.43,123.77
1.45,122.41
1.47,121.21
1.49,120.15
1.51,120.26
1.53,120.13
1.55,120.76
1.57,121.0
1.59,123.15
1.61,125.53
1.63,127.71
1.65,130.9
1.67,132.66
1.69,134.2
1.71,135.68
1.73,137.23
1.75,138.21
1.77,138.97
1.79,138.88
1.81,136.92
1.83,135.34
1.85,133.95
1.87,132.74
1.89,129.71
1.91,127.85
1.93,126.71
1.95,126.69
1.97,127.26
1.99,126.64
2.01,125.39
2.03,123.56
2.05,120.51
2.07,117.1
2.09,114.57
2.11,113.05
2.13,112.34
2.15,113.02
2.17,115.31
2.19,118.64
2.21,121.8
2.23,123.27
2.25,124.21
2.27,123.79
2.29,123.3
2.31,121.41
2.33,120.11
2.35,116.92
2.37,113.35
2.39,111.88
2.41,110.15
2.43,108.64
2.45,108.19
2.47,107.44
2.49,108.29
2.51,108.53
2.53,108.93
2.55,109.15
2.57,107.39
2.59,108.44
2.61,109.84
2.63,109.96
2.65,109.06
2.67,106.55
2.69,104.08
2.71,103.02
2.73,102.87
2.75,102.7
2.77,102.7
2.79,101.49
2.81,100.77
2.83,99.1
2.85,97.8
2.87,96.71
2.89,96.14
2.91,95.87
2.93,96.16
2.95,96.14
2.97,95.85
2.99,94.76
3.01,94.67
3.03,94.24
3.05,96.81
3.07,110.79
3.09,124.33
3.11,117.42
3.13,112.35
3.15,109.16
3.17,108.47
3.19,107.8
3.21,109.16
3.23,112.11
3.25,118.15
3.27,122.73
3.29,127.58
3.31,129.95
3.33,129.81
3.35,129.67
3.37,129.26
3.39,129.29
3.41,128.49
3.43,128.03
3.45,129.03
3.47,129.66
3.49,130.32
3.51,131.3
3.53,130.28
3.55,130.01
3.57,129.94
3.59,129.89
3.61,129.56
3.63,129.39
3.65,128.98
3.67,128.58
3.69,127.78
3.71,126.83
3.73,126.64
3.75,125.71
3.77,125.17
3.79,125.84
3.81,125.81
3.83,125.88
3.85,125.53
3.87,124.53
3.89,124.04
3.91,124.06
3.93,124.17
3.95,124.46
3.97,123.91
3.99,122.03
4.01,121.62
4.03,121.38
4.05,121.94
4.07,123.45
4.09,124.01
4.11,123.73
4.13,123.62
4.15,122.76
4.17,122.02
4.19,121.63
4.21,121.32
4.23,121.34
4.25,121.9
4.27,122.44
4.29,123.14
4.31,123.18
4.33,123.71
4.35,123.67
4.37,123.39
4.39,122.91
4.41,123.03
4.43,122.59
4.45,122.41
