d,vs
0.01,51.37182389516932
0.03,89.98796591139778
0.05,105.31970535296557
0.07,115.04727470629324
0.09,130.574361240746
0.11,140.09247391016987
0.13,146.5091481389545
0.15,149.60580191108758
0.17,152.01104769283393
0.19,152.75303655097517
0.21,153.4414463161996
0.23,152.97868581442464
0.25,154.03726276737035
0.27,151.708356826548
0.29,149.93663522747974
0.31,149.43470521671634
0.33,149.5368801370553
0.35,148.40548450387558
0.37,147.60652257220212
0.39,147.4972469721707
0.41,146.34557974103453
0.43,145.9740069401019
0.45,146.98547229439885
0.47,147.700070042297
0.49,147.77069711326143
0.51,147.77304257036312
0.53,148.60846766842002
0.55,148.6040609870787
0.57,149.11540288870475
0.59,148.70731145969953
0.61,148.91958956870675
0.63,148.1329840392557
0.65,149.50736683852932
0.67,150.45364940053733
0.69,151.04355042811585
0.71,149.66021393086388
0.73,150.11098882038297
0.75,149.86716017747716
0.77,150.14583585914883
0.79,149.12378729344826
0.81,148.70512121205766
0.83,149.2250443879342
0.85,151.50280638936485
0.87,152.28035079234758
0.89,151.44953704689894
0.91,152.45485234451073
0.93,152.0044107202509
0.95,150.92000311998711
0.97,150.52881171844822
0.99,150.82760677379346
1.01,150.6875609204522
1.03,150.575671780458
1.05,151.0544272306283
1.07,150.32287518509202
1.09,151.09469648783258
1.11,152.20760432372376
1.13,153.49406039181497
1.15,154.90243071221664
1.17,156.5848085987009
1.19,157.35643746708482
1.21,156.9592165351357
1.23,156.00175257754103
1.25,156.83472985384256
1.27,156.56004151903662
1.29,156.84333899211722
1.31,158.00740738801778
1.33,159.2926713863611
1.35,158.69985893599852
1.37,158.91028276357792
1.39,158.71136756486197
1.41,157.18852273921215
1.43,156.5000244784375
1.45,154.63037733954891
1.47,152.74817901891367
1.49,150.82967081046536
1.51,151.07625431997047
1.53,151.74682759362034
1.55,152.03788281584912
1.57,151.98318552048767
1.59,155.1274086435926
1.61,158.70579705720678
1.63,161.14361450707364
1.65,166.3627903417722
1.67,168.72321179518886
1.69,170.57846711490802
1.71,172.71719539080476
1.73,174.50141934200184
1.75,175.56926696735076
1.77,177.2616906162108
1.79,177.6801079054487
1.81,176.11414320217955
1.83,174.29885103897053
1.85,172.22365804318258
1.87,169.85951244468023
1.89,165.77853952439864
1.91,164.5717973471353
1.93,163.13994832852356
1.95,162.4849944539696
1.97,163.2244361286829
1.99,162.9199008378345
2.01,162.21886816597095
2.03,160.1554050251729
2.05,155.52816889750565
2.07,151.0641166893414
2.09,148.26380864612403
2.11,147.05789919951596
2.13,145.04137904994374
2.15,146.4390103552294
2.17,148.89237114588315
2.19,152.8311516833165
2.21,156.20966338419734
2.23,158.01500110986
2.25,159.39511777774334
2.27,159.472158899884
2.29,158.7533807097858
2.31,156.1988604084274
2.33,156.09566757107658
2.35,150.77154382989508
2.37,145.69925494721255
2.39,144.43168907440352
2.41,141.54385002929703
2.43,139.5847735865361
2.45,138.56765125864575
2.47,137.7184021541495
2.49,138.5426201632633
2.51,138.8136806326587
2.53,139.2346408603722
2.55,139.1427666190747
2.57,137.75875210862426
2.59,140.21730853214564
2.61,142.17350341334682
2.63,142.18943239937093
2.65,140.58879934728472
2.67,137.81815833078548
2.69,135.22170850337972
2.71,134.26157284766666
2.73,134.36488857763362
2.75,134.7887026985251
2.77,134.79736374992837
2.79,133.5986315873618
2.81,132.3251175378378
2.83,130.54508199139232
2.85,128.8808525982892
2.87,126.83133974261585
2.89,126.29715282591722
2.91,126.11986215457127
2.93,126.31406839812551
2.95,126.4767970391098
2.97,125.35649036312654
2.99,123.13337584026554
3.01,123.42811145387697
3.03,123.38529015971906
3.05,127.08281201997696
3.07,146.335989419146
3.09,163.44202044602127
3.11,154.09497055744202
3.13,148.05779607790024
3.15,144.04037170054002
3.17,142.83882829767134
3.19,142.2322544312697
3.21,144.50198393674455
3.23,146.9141400390439
3.25,155.6488699930335
3.27,161.0928563095695
3.29,168.3237818168592
3.31,170.8133175336184
3.33,170.92906251281633
3.35,171.24493193014226
3.37,169.60684788067695
3.39,169.8738587919063
3.41,169.36357391696322
3.43,168.4591185000312
3.45,169.73540038460604
3.47,170.5648323375895
3.49,171.38819907657296
3.51,172.1179720685495
3.53,169.4654935020708
3.55,170.47750093272413
3.57,170.46184693954874
3.59,170.24551540690376
3.61,169.72546453646348
3.63,168.30289924618066
3.65,166.15155989759955
3.67,166.1321250758181
3.69,164.9652718167147
3.71,163.49012731025476
3.73,162.79026298377536
3.75,162.1926887369276
3.77,161.6219923646604
3.79,162.1837077354961
3.81,162.15978471269597
3.83,162.16892002830826
3.85,160.97947979329464
3.87,160.0004048514811
3.89,159.15991006090448
3.91,158.71878064979256
3.93,159.75660272934243
3.95,159.45480288529592
3.97,159.90021862058217
3.99,157.27275624623886
4.01,156.52661335982387
4.03,155.13349567411632
4.05,155.70860811087772
4.07,157.87538832213136
4.09,158.7196614333226
4.11,157.1134846194393
4.13,156.363952837797
4.15,155.4036931458114
4.17,154.44123109182522
4.19,153.6203229665343
4.21,152.89998793490764
4.23,152.3945270900934
4.25,153.5682509904388
4.27,154.64135093819866
4.29,155.06450484619089
4.31,154.921940834688
4.33,154.9620558962461
4.35,153.70067816619377
4.37,152.41481899841068
4.39,150.91161627333335
4.41,151.65595692846665
4.43,151.44981197266898
4.45,151.7090037539876
4.47,151.03652663289031
4.49,151.47361044244133
4.51,151.02583327888073
4.53,151.42564331827413
4.55,152.6513943515336
4.57,154.92660475167114
4.59,154.42216587853483
4.61,154.96610527991928
4.63,155.81102819388522
4.65,155.44506282006324
4.67,154.21390927820082
4.69,153.67109999961167
4.71,153.25663081276227
4.73,152.5153051804475
4.75,151.57988148782144
4.77,151.07416795754693
4.79,150.33008603902752
4.81,147.95649715844874
4.83,146.73477041104456
4.85,144.7235042724867
4.87,143.64566775949584
4.89,143.69281860675358
4.91,142.84073610385158
4.93,144.96639047714893
4.95,146.0008218135532
4.97,146.78956635761497
4.99,145.28849087836525
5.01,142.7400343998375
5.03,140.94290992233553
5.05,143.21033035430955
5.07,143.07865731573276
5.09,143.85445948757905
5.11,143.90750341790127
5.13,143.3327469042255
5.15,144.65400552617444
5.17,145.3166225836062
5.19,147.04542506295445
5.21,149.27667466167077
5.23,148.53915722146908
5.25,147.71377416665433
5.27,149.12266417135154
5.29,150.15118503046497
5.31,152.64370657565473
5.33,153.66673646037347
5.35,155.4866712027528
5.37,156.8890894858616
5.39,157.586866151638
5.41,157.50189663736657
5.43,157.52857539380562
5.45,158.68964834437173
5.47,157.28320184319452
5.49,159.16454402543212
5.51,159.8586971052143
5.53,158.18414905287005
5.55,157.39137567283564
5.57,157.31382155837974
5.59,155.96567326058852
5.61,155.44961912865813
5.63,154.94812072735527
5.65,155.16789074753478
5.67,153.89177417215714
5.69,153.4977527664088
5.71,154.22448376791047
5.73,154.50174528750478
5.75,154.680763279968
5.77,155.16590123078382
5.79,155.54241029694822
5.81,156.58966879989524
5.83,158.5577616331302
5.85,159.98172578234127
5.87,160.85465232560455
5.89,162.49210074941024
5.91,164.30228756856962
5.93,162.64165158182465
5.95,163.27433663700003
5.97,162.59947729458847
5.99,164.64175735659904
6.01,168.62094939121
6.03,166.61054084611808
6.05,165.4980466845414
6.07,164.9044091914496
