d,vs
0.01,58.95745589260872
0.03,103.62318928277602
0.05,121.593298799932
0.07,133.95949390318927
0.09,151.49148337352838
0.11,163.41628259180217
0.13,170.33174731044144
0.15,174.2926042483267
0.17,178.10461287783164
0.19,179.70960091775814
0.21,180.33596337432235
0.23,178.57944240648405
0.25,178.69271602556321
0.27,176.6306432005056
0.29,175.84792785557656
0.31,175.0013349814083
0.33,173.6459563805733
0.35,173.84106770398822
0.37,174.5010028998933
0.39,173.84070421904872
0.41,173.93900956293527
0.43,173.59535134009087
0.45,173.87174880246542
0.47,175.13169824017845
0.49,174.08337499633413
0.51,176.1047596543126
0.53,176.59854861894428
0.55,176.39927054021143
0.57,175.87682052748588
0.59,175.80959303476013
0.61,174.94367036829416
0.63,175.24185268078767
0.65,176.13813347523487
0.67,177.70302542120592
0.69,177.8909370902508
0.71,178.18645383889594
0.73,177.3662820137934
0.75,178.5501827304241
0.77,177.45434524643326
0.79,177.08422550789356
0.81,175.80516737352798
0.83,176.52049240153062
0.85,177.61702964681277
0.87,178.90937554498453
0.89,179.26239440163354
0.91,179.55166201856179
0.93,180.35151568724746
0.95,179.99891024683066
0.97,180.63304058056588
0.99,181.64142557143748
1.01,182.54091747429888
1.03,182.25294855855975
1.05,180.73475935986534
1.07,182.00769180796195
1.09,181.46428809106547
1.11,183.51783054040848
1.13,185.66714726948518
1.15,187.75146909562707
1.17,188.4500383142115
1.19,189.5182497468982
1.21,188.11931520571463
1.23,186.71983707411408
1.25,187.00822860438774
1.27,186.22294718044935
1.29,186.42755142025297
1.31,187.64477293462926
1.33,186.09949196524363
1.35,186.49256102953322
1.37,187.7860507393885
1.39,187.25654166027294
1.41,184.91441027636105
1.43,182.3838512116779
1.45,179.76770710757415
1.47,178.23983371231793
1.49,177.71672640511994
1.51,177.91145492833735
1.53,177.75971696658024
1.55,178.0391662815656
1.57,178.14859598034113
1.59,180.60901060530918
1.61,183.3071202481129
1.63,185.85859226327324
1.65,189.1983154008894
1.67,192.10063951854923
1.69,195.21631590223717
1.71,197.23413481685367
1.73,199.215674307521
1.75,200.8579983896537
1.77,202.7754326297245
1.79,202.19471260833046
1.81,200.0014274898727
1.83,197.96739740573685
1.85,196.06407590808362
1.87,194.68056927343022
1.89,191.84460171260193
1.91,189.882425847935
1.93,188.26596654256196
1.95,187.8326041752227
1.97,188.9011601262074
1.99,187.25055605668
2.01,184.78455579360056
2.03,183.2152908465381
2.05,178.85592534278229
2.07,172.94817169292946
2.09,168.33001244023583
2.11,166.96016432620175
2.13,165.37680617502843
2.15,166.7520104987611
2.17,169.801002369328
2.19,175.85834093541018
2.21,180.88176668427556
2.23,182.96498161112223
2.25,184.33231304154282
2.27,183.40383755839107
2.29,181.73369066049415
2.31,179.03721484457975
2.33,176.96479707407133
2.35,170.22649043520775
2.37,165.06290456932052
2.39,162.25376135876857
2.41,159.27052751203698
2.43,157.1761388234135
2.45,155.3388203987326
2.47,154.09495023241323
2.49,155.18285872129798
2.51,155.88651988721057
2.53,156.47110868555228
2.55,156.64309583168935
2.57,153.01860949894981
2.59,154.55556060937622
2.61,156.50617465067486
2.63,154.7535463904889
2.65,153.26453895492818
2.67,148.93557894959278
2.69,145.7451451043033
2.71,144.79011484004545
2.73,143.4443822044436
2.75,143.50673158140214
2.77,142.86820938584046
2.79,141.81061899776304
2.81,140.8595036933965
2.83,140.06740506473935
2.85,138.68711995065624
2.87,136.2396157910915
2.89,135.6174634098758
2.91,135.4491601216237
2.93,134.99923722979943
2.95,134.940824840772
2.97,133.66971008758696
2.99,130.7036656878593
3.01,130.10697965138203
3.03,130.3365450821587
3.05,133.82830494642903
3.07,154.37118457909173
3.09,173.97300188242696
3.11,164.97697821765104
3.13,156.84214143167011
3.15,151.4383721562051
3.17,149.63065465599277
3.19,149.028969453154
3.21,150.2341708821839
3.23,154.18406008740263
3.25,161.04625048865304
3.27,165.57444520683097
3.29,173.03132346910823
3.31,176.72912286004728
3.33,176.05217795357774
3.35,176.01132817196472
3.37,175.19962215616994
3.39,174.78021608829366
3.41,173.00432634329195
3.43,173.28039435748406
3.45,173.92928617273407
3.47,174.85454322549256
3.49,176.31143688504758
3.51,176.28073807821227
3.53,175.75967141198018
3.55,176.43410579635847
3.57,176.18987626583123
3.59,175.04790132532085
3.61,174.004455927603
3.63,174.76752932097912
3.65,173.46334479126142
3.67,172.63105414808965
3.69,170.65190904692977
3.71,169.93009570793748
3.73,169.45325323864114
3.75,168.76578417120032
3.77,166.83635460544676
3.79,168.1522663144
3.81,167.20650747812314
3.83,166.8425845445794
3.85,165.81969730465426
3.87,164.14452653948035
3.89,163.63253357573225
3.91,163.0689472787278
3.93,164.4442436770322
3.95,166.46406392677065
3.97,164.78068881001022
3.99,163.33021383613712
4.01,162.40523667447317
4.03,161.8685062870417
4.05,163.20147131509702
4.07,166.1842402141005
4.09,165.36047643451116
4.11,165.1022937281659
4.13,166.33410542048298
4.15,165.22574191633942
4.17,164.4375823181418
4.19,162.78650764631678
4.21,161.29319850845562
4.23,161.0540949380752
4.25,161.24895975401827
4.27,162.5203853704308
4.29,163.801622366001
4.31,163.748078671751
4.33,163.12124535490838
4.35,162.09401574792565
4.37,164.26311292317166
4.39,164.6861418336368
4.41,164.89234445189277
4.43,164.56695804395503
4.45,164.53946674398955
4.47,164.29901979900362
4.49,164.21004434633144
4.51,163.39921129198936
4.53,164.12099067444947
4.55,164.53596747988234
4.57,166.4540299601019
4.59,167.3365081560836
4.61,168.5666127152545
4.63,168.4655575700143
4.65,169.48692507871615
4.67,167.69040272651165
4.69,165.60609384937618
4.71,165.35360531744612
4.73,165.00047053238515
4.75,164.81396197381383
4.77,165.5234381711834
4.79,165.62676471391555
4.81,164.70237224041784
4.83,161.74417886076264
4.85,159.13857358386844
4.87,157.51792194472105
4.89,157.67134736317664
4.91,157.49313851868865
4.93,159.51140990868018
4.95,162.1146637663885
4.97,163.2520070495431
4.99,163.31094747695266
5.01,161.04726024229825
5.03,158.8874257448049
5.05,159.77790313064634
5.07,160.48058556073335
5.09,163.06080843085238
5.11,162.80140143013628
5.13,162.82009536432136
5.15,163.79719603795922
5.17,165.17894297612332
5.19,166.40369421034723
5.21,166.95176375055368
