d,vs
0.01,64.35393514136999
0.03,112.69383981308053
0.05,132.22787881683416
0.07,145.0254101410521
0.09,163.31449498527815
0.11,175.3925698463357
0.13,183.44066099270796
0.15,187.3309065814148
0.17,190.6896329130572
0.19,190.2883927740306
0.21,190.15583640946195
0.23,188.51610622822906
0.25,188.57017335537847
0.27,187.97566336686208
0.29,187.1782851125833
0.31,185.92827462143276
0.33,184.47600618185805
0.35,183.7946272771273
0.37,183.51964562858538
0.39,183.09751895894013
0.41,182.52739565282363
0.43,182.50212348978624
0.45,183.68280187866895
0.47,185.4107978101465
0.49,185.65798379464084
0.51,188.22063702064074
0.53,189.35829154070322
0.55,188.0636057800019
0.57,187.87914308269714
0.59,187.70090415591497
0.61,188.16208206360656
0.63,188.8035452680162
0.65,190.3682696983244
0.67,192.637833388634
0.69,191.94842174303253
0.71,189.2905285546178
0.73,188.91371864815733
0.75,187.89298023637835
0.77,186.3010915988015
0.79,184.81990125099065
0.81,183.79991439223872
0.83,184.95751295684934
0.85,185.53045352706485
0.87,185.73605586171766
0.89,186.04298507090687
0.91,185.4908338897088
0.93,184.82445914839778
0.95,183.82395686751863
0.97,184.4350833451152
0.99,185.26065525219326
1.01,185.01071721827975
1.03,186.9059574069081
1.05,187.53404729695814
1.07,188.48859174450473
1.09,189.18202106515838
1.11,190.42238585931779
1.13,191.93584753991522
1.15,194.4080959431632
1.17,196.31445782427306
1.19,196.37286840231585
1.21,196.32268799320101
1.23,193.8450865723189
1.25,194.19848050804535
1.27,194.44661595740465
1.29,195.93181377191948
1.31,197.07680243566503
1.33,196.7220771790894
1.35,196.74699253568252
1.37,196.788178323643
1.39,197.41359005024842
1.41,195.3086517944286
1.43,193.86877814521233
1.45,191.55347293852978
1.47,189.58972731140642
1.49,187.32959598113388
1.51,186.87914067096497
1.53,186.31574025064342
1.55,186.9799132191254
1.57,186.0930132413499
1.59,189.4097560120213
1.61,193.55816782415886
1.63,197.13373411763158
1.65,202.18295174811743
1.67,205.97800340089944
1.69,208.33313010629902
1.71,209.7343673564208
1.73,211.4926601338501
1.75,212.45524561753032
1.77,213.750338894501
1.79,214.19574218588386
1.81,210.64844800121224
1.83,209.40392420182116
1.85,206.8782912603946
1.87,206.61682860432973
1.89,201.49318528224782
1.91,198.05863531219214
1.93,196.75893891447748
1.95,198.28205336281437
1.97,199.97186517497875
