d,vs
0.01,52.13473374550335
0.03,92.23559478494917
0.05,107.94787988347939
0.07,117.97209060823327
0.09,132.7193525741028
0.11,143.2364056501069
0.13,148.84118758206222
0.15,152.13196810888587
0.17,155.49298416428775
0.19,157.28049215804637
0.21,156.70004522031869
0.23,156.3623442483797
0.25,156.9295541980069
0.27,155.25580329448198
0.29,153.48713640172718
0.31,153.70970225466706
0.33,153.36408361330228
0.35,153.1865142478357
0.37,152.3068890181672
0.39,152.46276482939794
0.41,152.4542903194176
0.43,153.0778136120031
0.45,156.08165488110797
0.47,156.6216414452815
0.49,157.21256078087757
0.51,158.74716127034475
0.53,159.15711146957747
0.55,157.65610426861608
0.57,158.57808693743183
0.59,157.88636767563318
0.61,158.05186559815803
0.63,159.56543036571156
0.65,160.73552292654745
0.67,161.35019536111872
0.69,161.37276511890175
0.71,161.29126125719188
0.73,160.031631652005
0.75,160.81222546148945
0.77,161.31194520961265
0.79,160.2706664461307
0.81,158.94004856815263
0.83,158.96053651325974
0.85,158.6849991927945
0.87,160.51770279083135
0.89,160.69677912583506
0.91,159.60037369868658
0.93,158.60414777026327
0.95,158.0825742562768
0.97,158.09693371910853
0.99,156.6935981391159
1.01,157.79838722412995
1.03,158.01344319116546
1.05,159.66307800647394
1.07,159.87224688414642
1.09,158.99017917553638
1.11,160.16971768749596
1.13,161.24819713829956
1.15,163.05417573873083
1.17,164.0967023174968
1.19,164.318978514069
1.21,166.12257143683155
1.23,165.72105437769127
1.25,166.78896990301118
1.27,166.5955371384341
1.29,167.43203318904858
1.31,167.82660061030182
1.33,167.79787610711406
1.35,166.301922294761
1.37,165.5516320713978
1.39,164.67270342792187
1.41,163.7801913370925
1.43,163.10955742947743
1.45,161.63010383090452
1.47,160.10572253768566
1.49,158.5716246553705
1.51,156.98176379177548
1.53,156.8906864435212
1.55,156.91985171956762
1.57,156.8293976065069
1.59,159.6485522744238
1.61,162.19056580972736
1.63,163.78876273822357
1.65,167.80493188661575
1.67,170.13977826567708
1.69,172.03658465295769
1.71,175.08268902904038
1.73,178.12174943295227
1.75,179.57114068013732
1.77,180.60944508366063
1.79,180.42293232347401
1.81,178.0842537627112
1.83,175.2583864147091
1.85,173.47493562379663
1.87,171.4420445993291
1.89,167.57953575271617
1.91,165.1770381800577
1.93,163.544027917203
1.95,163.66341210221356
1.97,164.3333715247702
1.99,162.85847256091725
2.01,161.35285954903793
2.03,159.00674169157014
2.05,154.534043553526
2.07,149.83227798694875
2.09,147.99920722929267
2.11,146.02674474084708
2.13,144.25000253200747
