d,vs
0.01,60.42548963223551
0.03,106.10999426762663
0.05,124.6032249629396
0.07,136.34575645497594
0.09,155.33444130575447
0.11,167.26431402727638
0.13,175.52224073563625
0.15,178.46570100849635
0.17,181.8300188283066
0.19,183.68280256569255
0.21,185.85659276524672
0.23,185.72429342206914
0.25,185.69907595204086
0.27,183.2651622572178
0.29,182.95508088609665
0.31,181.15906156823067
0.33,180.29927879761883
0.35,180.0029412343919
0.37,179.3999672143529
0.39,178.31765551680496
0.41,178.30318662021494
0.43,177.76985697535474
0.45,178.94379514535206
0.47,181.6695711127829
0.49,182.39832186661687
0.51,182.88130478195538
0.53,184.13616171540156
0.55,183.97841890898678
0.57,184.0573196034998
0.59,183.80782755588933
0.61,183.7581557405686
0.63,185.2720858435829
0.65,186.39414933049966
0.67,188.48947436693786
0.69,188.23211651169422
0.71,187.58171648030452
0.73,185.7890266834495
0.75,184.75370860242694
0.77,184.83739151709455
0.79,183.27914614283037
0.81,182.91536121503628
0.83,183.33790375515102
0.85,184.78745162837106
0.87,185.26473260086024
0.89,184.3279056767852
0.91,184.1369050357776
0.93,183.42077745680731
0.95,182.21507826753333
0.97,183.07159811996772
0.99,182.39977005953685
1.01,182.62237429934254
1.03,183.8330998186858
1.05,182.22027849503462
1.07,183.6143534123282
1.09,184.50019068947705
1.11,186.63715363950274
1.13,191.1968853678355
1.15,194.01737597234268
1.17,197.11068348735452
1.19,197.75030464400143
1.21,195.9766273436248
1.23,194.79546344015773
1.25,195.4571996081299
1.27,194.69824895712372
1.29,195.71881165324265
1.31,197.27378955366865
1.33,197.93700117130123
1.35,195.90172114145878
1.37,194.70558369257594
1.39,193.63822301886896
1.41,192.54684994574407
1.43,190.39791474804025
1.45,189.45244990464738
1.47,187.64283121244182
1.49,185.90649453832347
1.51,186.11649255546047
1.53,186.04040684914392
1.55,186.69302577028398
1.57,186.60019154921224
1.59,190.9185506904394
1.61,194.314291003349
1.63,199.74089561472474
1.65,207.12885198728418
1.67,210.00565372219282
1.69,212.08853091870873
1.71,215.437241983505
1.73,218.8079113696919
1.75,220.55791165808625
1.77,221.65966706526038
1.79,222.36995847749853
1.81,220.28142986603308
1.83,217.44457031907683
1.85,215.5770181166633
1.87,215.9091460692975
1.89,210.24472486791964
1.91,207.1484428214713
1.93,204.84383415982995
1.95,206.55138418674977
1.97,206.486461838316
1.99,205.8757575439046
2.01,202.22692373354025
2.03,198.12385545021652
2.05,192.1368963713832
2.07,185.75492204389786
2.09,179.64572319787268
2.11,178.2831416800878
2.13,178.04232466998673
2.15,177.9703324183072
2.17,181.85209795859106
2.19,188.4804835789124
2.21,192.96118117769927
2.23,196.08539065160576
2.25,196.2666264451131
2.27,193.98247580095625
2.29,192.68655625000574
2.31,188.71207396855306
2.33,185.41599868356428
2.35,179.67345711343856
2.37,173.72058235292948
2.39,172.11968610163134
2.41,168.3925872463712
2.43,165.78507116371205
2.45,164.9213972044425
2.47,164.61222313914453
2.49,165.02693783224714
2.51,163.81108293917632
2.53,165.03501130785176
2.55,164.62818602916383
2.57,159.8648885231577
2.59,161.1120240769902
2.61,163.1603162546526
2.63,163.47788915814442
2.65,161.7637873285032
2.67,157.44362196208834
2.69,153.58161529583086
2.71,150.39345521656355
2.73,150.11919733114175
2.75,149.0359576273892
2.77,147.96111586813535
2.79,145.52434425922934
2.81,144.4331870319633
2.83,142.01646970413375
2.85,140.67912012098185
2.87,138.30564594467063
2.89,137.11611296959532
