d,vs
2.00,1334
2.50,456
3.00,162
3.50,151
4.00,183
4.50,120
5.00,114
5.50,142
6.00,100
6.50,90
7.00,155
7.50,189
8.00,192
8.50,193
9.00,173
9.50,174
10.00,151
10.50,140
11.00,140
11.50,164
12.00,188
12.50,180
13.00,146
13.50,127
14.00,111
14.50,223
15.00,185
15.50,180
16.00,173
16.50,220
17.00,252
17.50,209
18.00,230
18.50,242
19.00,272
19.50,294
20.00,299
20.50,304
21.00,369
21.50,308
22.00,293
22.50,291
23.00,333
23.50,282
24.00,311
24.50,313
25.00,311
25.50,308
26.00,306
26.50,311
27.00,271
27.50,271
28.00,294
28.50,339
29.00,380
29.50,302
