Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
0.0,-0.003,0.0,0.0,,,,,,
0.01,0.2872,0.0,-0.0009,,,,,,
0.02,0.3298,0.0,-0.0009,,,,,,
0.03,0.3762,0.0028,-0.0017,5959.177034547385,45.499186470448855,55.39031396402469,403.076124496465,17.759549882958904,50.963597370836744
0.04,0.4227,0.0057,-0.0011,,,,,,
0.05,0.531,0.0114,-0.0083,9370.815127664182,56.567839756595326,68.8651962254204,497.6930364102807,24.169529593743903,69.78506649221697
0.06,0.6007,0.0228,-0.0104,,,,,,
0.07,0.6935,0.0456,-0.0172,9541.087894073004,68.86150273978113,83.83139463973355,527.0456936074287,30.942817159511367,91.17142292011218
0.08,0.8832,0.0477,-0.028,,,,,,
0.09,0.9722,0.0506,-0.028,7066.2627873214,77.23190845678783,94.02145377348086,501.1310646712039,35.13812167338007,98.72611994393843
0.1,1.0689,0.0564,-0.0279,,,,,,
0.11,1.0766,0.0595,-0.0263,6030.065064948646,81.96230001204495,99.78019131901125,483.0523306977174,38.214284074568,106.15892514833726
0.12,1.1192,0.0617,-0.0267,,,,,,
0.13,1.1115,0.0634,-0.0238,5204.7416852301285,84.66625141862073,103.07195824875568,462.27126832754584,40.42764529364753,111.68600515136859
0.14,1.1308,0.0668,-0.0208,,,,,,
0.15,1.1656,0.0931,-0.0214,5432.581677817686,89.81138479571902,109.3355988817449,473.99676144854004,43.72976566862084,121.77742008292375
0.16,1.4288,0.1132,-0.0163,,,,,,
0.17,1.7267,0.1539,-0.0111,6000.382125593309,103.61858904573556,126.14436927306939,521.118940234025,49.95542528707204,134.57356517975444
0.18,2.7832,0.2005,-0.0083,,,,,,
0.19,4.4819,0.2349,-0.021,3817.0112284006877,132.56661234354993,161.38544111388688,476.5954152279395,61.221669121781886,147.2719470715192
0.2,6.3703,0.2712,-0.0261,,,,,,
0.21,8.7347,0.338,-0.0316,2788.4151386106473,157.1458634782789,191.30800771268736,446.79231599416534,71.4224237573861,159.14963361989862
0.22,8.7154,0.374,-0.0593,,,,,,
0.23,8.5064,0.4079,-0.0574,3257.0257286211922,162.09909337225625,197.3380267140511,480.1707150586293,74.1203590244193,166.85107094144718
0.24,8.3671,0.4396,-0.0597,,,,,,
0.25,8.2858,0.4671,-0.0646,3612.0760896114716,165.8502139208817,201.90460825150817,504.30440610417116,76.42691415118415,173.40337070030412
0.26,8.2007,0.5132,-0.0647,,,,,,
0.27,8.0575,0.5217,-0.0646,3917.537395862114,168.90868522526864,205.62796462206617,524.1014532283372,78.48302324171675,179.33513284849278
0.28,7.6822,0.5204,-0.0646,,,,,,
0.29,7.5042,0.5191,-0.0635,3918.212352504556,168.1474841620865,204.70128506688792,524.2880429433853,79.20892796217919,182.39223082682227
0.3,7.3029,0.5141,-0.0622,,,,,,
0.31,7.1249,0.4775,-0.0618,3578.5953364602105,166.28552469030495,202.434551796893,505.7497891175392,79.53738484127874,183.4219751398647
0.32,6.9044,0.4126,-0.0616,,,,,,
0.33,6.4361,0.3837,-0.0612,2993.214489722036,160.33738872900997,195.19334280053388,468.24800158324194,78.32090523664131,180.98664300705673
0.34,6.1885,0.3591,-0.0589,,,,,,
0.35,5.8866,0.3373,-0.0572,2720.9825506697,156.57066246629788,190.60776300244962,448.8830689859985,77.7597019730042,180.52946390150402
0.36,5.6506,0.3172,-0.0534,,,,,,
0.37,5.3952,0.2806,-0.0517,2357.9401130764754,151.96285747031712,184.99826126821216,421.9021192532567,76.80301437875403,178.6417827561163
0.38,4.8418,0.2638,-0.0496,,,,,,
0.39,4.54,0.2472,-0.0426,2300.396453072626,146.1392302396678,177.90862811785647,412.74188158978575,75.22684522799325,177.85153380746803
0.4,4.2459,0.2324,-0.0398,,,,,,
0.41,3.9866,0.1765,-0.0358,1819.5246303003498,138.46400594294445,168.56487680010628,372.0371080889657,72.8011650521805,172.232594224957
0.42,3.7622,0.1748,-0.0326,,,,,,
0.43,3.3172,0.1706,-0.0282,1946.966495772163,134.10007927061417,163.25227041639988,377.14254210430545,71.6419554749769,173.3158408184075
0.44,3.1314,0.1681,-0.0239,,,,,,
0.45,2.9457,0.1674,-0.0231,2013.7938846529435,131.54001815404158,160.13567427448538,379.22161763243145,71.21078128226617,174.73613503420756
0.46,2.7367,0.1669,-0.0218,,,,,,
0.47,2.5355,0.1648,-0.018,2130.8215042070647,128.16422042185027,156.0260074700786,383.5411985672839,70.4455616887343,176.11446230856885
0.48,2.2143,0.1621,0.0127,,,,,,
0.49,2.284,0.1584,-0.0098,2141.2125777248384,125.61833675086719,152.92667082714266,381.3932049615135,69.97199417394134,176.93016716542843
0.5,2.1756,0.1528,-0.0113,,,,,,
0.51,2.075,0.1515,-0.0097,2132.2320691339496,123.25741448273888,150.0525045876821,378.099199268379,69.52599086777457,177.57204088128
0.52,2.0715,0.149,-0.0082,,,,,,
0.53,2.0701,0.1455,-0.0047,2005.6091661696194,123.30368529273844,150.1088342694207,369.57185571041475,70.01432304460904,178.36600095838966
0.54,2.0706,0.1406,0.0304,,,,,,
0.55,2.0711,0.1348,0.0311,1827.705517022797,122.8496740446868,149.55612492396654,356.63689424464644,70.29685014534155,178.26705492434996
0.56,2.1214,0.1242,0.0181,,,,,,
0.57,2.1253,0.1192,0.012,1593.3856823182693,122.74404463388005,149.42753259776703,339.0963478510253,70.53919139666132,177.0658941574157
0.58,2.1485,0.1136,0.0059,,,,,,
0.59,2.0402,0.1055,0.0067,1451.547656796543,120.91760339647128,147.20403891744328,325.96839205485855,70.08700654495037,175.7517719844238
0.6,2.017,0.1024,-0.0005,,,,,,
0.61,2.0054,0.1006,-0.0026,1382.7991274924113,120.51887329855107,146.7186283634535,319.7679593450199,70.28652871466373,176.12549578552722
0.62,1.9492,0.1003,-0.0049,,,,,,
0.63,1.9251,0.1004,-0.0049,1382.8650176602407,119.99379707867517,146.07940513925675,319.049146317171,70.49197333291642,177.4693061958458
0.64,1.9009,0.0985,-0.0049,,,,,,
0.65,1.8988,0.0983,-0.0049,1341.680789783801,119.8952439385295,145.95942740342724,315.3134434168232,70.84197922370431,178.36906599917236
0.66,1.9049,0.0955,-0.003,,,,,,
0.67,1.911,0.0933,-0.0026,1258.0274767403655,119.92910484150445,146.0006493722663,307.9998316887317,71.1980884199683,178.53469389386615
0.68,1.9241,0.0902,0.0002,,,,,,
0.69,2.0518,0.0837,0.0057,1092.240760069732,120.86417433621729,147.13899484409063,293.6613500581842,71.87064243257146,177.44047201758843
0.7,2.1756,0.0809,0.0059,,,,,,
0.71,2.3536,0.0782,-0.0098,945.9897171970529,123.8621661340881,150.78872398932464,281.7067275110693,73.47393620340385,177.3355544754123
0.72,2.5278,0.0763,-0.0165,,,,,,
0.73,2.8722,0.076,-0.0197,815.9584314204272,128.6467920347085,156.61348595529734,271.53390413298223,76.01722643675235,178.18740152130323
0.74,2.9728,0.0756,-0.0252,,,,,,
0.75,3.0231,0.0759,-0.0279,780.4660230808644,130.27572290450925,158.5965322315765,268.6649340813321,77.1489613457186,179.44734391218367
0.76,3.1043,0.0747,-0.0289,,,,,,
0.77,3.143,0.0742,-0.0289,740.9428791925067,131.31067063944195,159.85646860453804,264.6911781623108,78.00516496121685,180.16680000501398
0.78,3.1972,0.0733,-0.0289,,,,,,
0.79,3.3907,0.0728,-0.0288,691.9959214469765,133.21175776444477,162.17083553932406,260.07972146555784,79.30064644313356,180.9925213618769
