File Name, max_depth of CPT, Vsz_Hegazy 2006, Vs30_Boore 2004, Vsz_Andrus 2007-H, Vs30_Boore 2004, Vsz_Andrus 2007-P, Vs30_Boore 2004, Vsz_Robertson 2009, Vs30_Boore 2004, Vsz_McGann 2015, Vs30_Boore 2004,Vsz_McGann 2018, Vs30_Boore 2004
CPT_91934_Rep01, 13.00, 210.67, 258.03, 132.13, 159.46, 160.86, 195.34, 173.26, 210.90, 101.57, 121.56, 233.14, 286.48
CPT_156434_Rep01, 29.00, 171.51, 173.01, 158.88, 160.25, 193.42, 195.15, 180.06, 181.65, 128.28, 129.34, 262.18, 264.64
CPT_91983_Rep01, 28.00, 154.42, 157.13, 177.28, 180.47, 215.82, 219.84, 182.81, 186.12, 152.37, 155.04, 294.34, 300.10
CPT_124014_Rep01, 14.00, 213.04, 256.99, 161.19, 192.84, 196.23, 236.14, 197.55, 237.77, 125.66, 149.23, 255.90, 310.38
CPT_91956_Rep01_2, 17.00, 185.27, 214.02, 143.27, 164.70, 174.41, 201.25, 170.37, 196.50, 113.24, 129.59, 240.26, 278.91
CPT_91963_Rep01, 25.00, 194.69, 204.71, 185.95, 195.47, 226.37, 238.18, 201.85, 212.27, 154.97, 162.77, 304.67, 320.99
CPT_91980_Rep01, 19.00, 186.44, 210.24, 158.00, 177.83, 192.35, 216.99, 188.01, 212.04, 125.93, 141.36, 258.59, 292.72
CPT_141746_Rep01, 18.00, 0.20, 0.20, 110.52, 125.25, 134.55, 152.91, 11.77, 12.91, 100.11, 113.28, 251.48, 288.37
CPT_121825_Rep01, 18.00, 135.06, 153.49, 117.58, 133.37, 143.15, 162.82, 132.81, 150.90, 98.18, 111.07, 220.73, 252.64
CPT_123151_Rep01, 23.00, 375.60, 405.27, 135.57, 145.66, 165.04, 177.47, 238.33, 256.67, 132.09, 141.91, 313.25, 337.73
CPT_67001_Rep01, 24.00, 133.59, 141.84, 127.08, 134.90, 154.71, 164.37, 139.02, 147.63, 113.32, 120.24, 269.14, 286.63
CPT_126784_Rep01, 18.00, nan, nan, 57.69, 64.76, 70.23, 79.06, nan, nan, 72.52, 81.68, 241.61, 276.89
CPT_91926_Rep01, 19.00, 200.02, 225.75, 149.69, 168.36, 182.23, 205.43, 176.09, 198.44, 122.25, 137.18, 270.64, 306.53
CPT_123167_Rep01, 24.00, 176.03, 187.12, 125.37, 133.08, 152.62, 162.14, 156.71, 166.51, 113.92, 120.87, 268.99, 286.47
