matched_depth,matched_Vsz,A07-P,A07-H,R09,Mc15,Mc18,Subset_Region,Subset_Geology
24,266.14,0.201409928,0.39809025,0.299651926,0.578667776,-0.202874895,7,2
24,317.32,0.363695624,0.560419716,0.472856554,0.774730004,0.017965793,2,3
24,376.31,0.488082145,0.684758558,0.557545174,0.893915318,0.121100296,2,3
24,399.56,0.436203528,0.632928971,0.571112952,0.83961894,0.134146544,2,3
24,274.87,0.399136719,0.595844656,0.538440548,0.765909967,-0.023123457,2,3
25,181.18,0.190123188,0.386818971,0.364559223,0.532379425,-0.278603009,6,1
26,184.57,0.053642901,0.250370594,0.339174047,0.348573115,-0.433091027,8,1
26,208.73,0.112663932,0.30942785,0.217434778,0.494180876,-0.25098966,7,2
26,254.23,0.097554761,0.294272597,0.15797342,0.489730423,-0.303303045,8,2
27,199.08,0.079260246,0.275963448,0.335136982,0.386877629,-0.307895328,6,1
27,225.61,0.10348588,0.300215409,0.186630281,0.449063992,-0.365540278,6,2
28,186.59,0.033016727,0.22974388,0.224430622,0.331223161,-0.500146585,8,1
28,209.83,0.189313489,0.386043815,0.404155381,0.485632925,-0.3490157,8,2
28,210.76,0.161548126,0.358248722,0.356756286,0.466479764,-0.375150026,8,2
29,140.35,0.05363981,0.250317419,0.288371064,0.281266407,-0.581632311,2,1
29,217.03,0.085676048,0.2823667,0.175973962,0.480555348,-0.256680724,7,2
29,155.21,-0.073454266,0.12326644,0.281921577,0.213988371,-0.584172125,8,1
29,173.78,-0.437887324,-0.241186718,-0.389065591,-0.055296091,-0.719917639,2,1
28,247.99,0.140241916,0.336956244,0.207946496,0.47643582,-0.312759166,1,1
29,205.05,0.044731113,0.241476885,0.156412848,0.368272222,-0.442438693,6,2
29,192.8,0.02771455,0.224441073,0.017475462,0.325669798,-0.504039162,8,1
29,222.45,0.089331236,0.286050079,0.224380549,0.428244515,-0.411128221,8,2
29,222.44,-0.01352971,0.183167086,0.353200114,0.248479803,-0.392342154,3,1
29,234.69,0.055678207,0.252392418,0.362615259,0.347724535,-0.330286958,3,1
25,221.06,-0.089428611,0.107292475,0.070363833,0.28873815,-0.377141708,7,1
23,181.97,0.02368883,0.220440717,0.183124209,0.383237744,-0.363318759,6,1
23,160.97,-0.024969857,0.1717299,-0.392438256,0.197734504,-0.665783582,8,1
24,165.14,0.078842427,0.275524234,0.052396635,0.371297151,-0.487880605,8,1
23,203.45,-0.055124726,0.141589613,-0.007540923,0.323560136,-0.33468009,7,2
15,208.75,0.132088465,0.32883679,0.048586592,0.564706568,-0.158037045,7,2
18,131.75,-0.02102969,0.175709687,2.415352266,0.274636606,-0.646457276,8,1
29,254.91,0.434783266,0.631496195,0.449248409,0.790342153,-0.025638458,6,2
18,165.86,0.147251027,0.344025106,0.222224524,0.52434153,-0.285796176,6,2
29,176.18,-0.098000085,0.098710209,-0.00644981,0.289386328,-0.435471646,6,2
19,221.06,0.385335234,0.582031072,0.246646584,0.825580573,-0.013211894,6,2
17,156.25,0.84304027,1.03976996,-0.026649721,0.806109853,-0.409446505,8,1
17,191.48,-0.066713275,0.129986399,0.046226605,0.361581167,-0.300731093,6,1
16,111.05,-0.096414723,0.100320459,-0.045418349,0.249720536,-0.63960011,6,1
19,108.31,-0.127349458,0.069382042,0.058065808,0.172052244,-0.724950697,6,1
24,188.9,0.197470129,0.394200052,0.427895855,0.488231214,-0.369096157,6,2
19,185.99,0.116419645,0.313111555,0.529129294,0.476508963,-0.370838375,8,1
19,174.23,0.051103001,0.247794912,0.463812651,0.411192319,-0.436155018,8,1
20,205.15,-0.029158825,0.16756382,0.069741733,0.375336201,-0.334066923,7,2
21,205.52,-0.073749931,0.122966259,-0.013819983,0.327925756,-0.379937678,7,2
16,283.85,0.328513853,0.525256059,0.303483555,0.759526394,-0.004709695,7,2
19,198.15,0.083754694,0.280457831,0.118029092,0.482956191,-0.311765205,7,2
28,238.93,0.142920569,0.339607771,0.301604063,0.47403804,-0.168710745,7,1
