d,vs
0.02,79.76343417700001
0.04,101.29115531432541
0.06,109.03523963142304
0.08,121.43878009723947
0.1,129.27366257560632
0.12,133.70461354016723
0.14,138.55900142128684
0.16,140.04414920332468
0.18,143.3168591364038
0.2,147.62420644406785
0.22,151.73125306039083
0.24,152.5147376241844
0.26,154.48864138418043
0.28,166.3551021601659
0.3,164.08311007501558
0.32,168.45081471981825
0.34,173.84764346748517
0.36,186.8207437818933
0.38,196.8169567285731
0.4,201.02417986502073
0.42,205.52557229123752
0.44,205.41799882046135
0.46,191.41586432817795
0.48,177.1063429164433
0.5,187.4075051373943
0.52,182.6974574759261
0.54,176.24684898778415
0.56,175.99964767640202
0.58,172.80807831174008
0.6,168.3647788069165
0.62,163.20675008259732
0.64,157.54257002372628
0.66,156.5253936105296
0.68,149.25281509030023
0.7,148.1743181164684
0.72,146.03656359933294
0.74,145.14572342653517
0.76,144.31377931883839
0.78,147.26074236393285
0.8,154.27444681946244
0.82,154.13594580753616
0.84,159.04003022174928
0.86,170.06773735889186
0.88,178.34153263493977
0.9,183.69548399965916
0.92,185.2531138678516
0.94,182.18499529666033
0.96,178.99567511964227
0.98,180.95217783038495
1.0,180.13972892372777
1.02,176.90367648603936
1.04,176.31097723439223
1.06,178.31055729348225
1.08,181.5336490772032
1.1,188.10279545263484
1.12,196.44268737004433
1.14,208.2313384748327
1.16,209.08339848242926
1.18,216.59065128773807
1.2,219.96427775237547
1.22,261.5957547835489
1.24,244.8850290179644
1.26,245.0951391488389
1.28,272.28471652768
1.3,265.5491921766348
1.32,267.56131147969893
1.34,258.9561329988353
1.36,247.87465029313415
1.38,241.361113165812
1.4,212.27043880130702
1.42,214.07020667639605
1.44,214.0024299998571
1.46,215.72787694150819
1.48,215.68485936285006
1.5,216.19698762224832
1.52,216.65194802477671
1.54,216.83324447945938
1.56,219.73952425168255
1.58,224.17134437739855
1.6,228.15569855656662
1.62,232.006739051489
1.64,234.48274899659285
1.66,234.73299232088334
1.68,234.0986192130018
1.7,233.02858882294083
1.72,232.9240489060984
1.74,237.25541532296114
1.76,245.67272532203125
1.78,263.06367471307493
1.8,277.8210402276846
1.82,275.7389657217424
1.84,298.8521591656925
1.86,294.16485190469587
1.88,292.210828090752
1.9,294.70911813491875
1.92,291.99572221894994
1.94,276.6164154397155
1.96,279.03294717734985
1.98,279.8168425193518
2.0,275.90753688996693
2.02,261.4045268343453
2.04,256.0809057608828
2.06,253.70447729771593
2.08,274.96517472261553
2.1,273.8293516731457
2.12,281.52908335520493
2.14,280.68313876016776
2.16,277.4001017206352
2.18,274.9721560693269
2.2,271.0889125561315
2.22,268.9541514751541
2.24,264.57762906643296
2.26,261.77824776118575
2.28,259.9012500322936
2.3,258.3170466459822
2.32,258.8176236197264
2.34,260.2443343371573
2.36,260.8442224658102
2.38,264.17616346026733
2.4,265.81083235691267
2.42,267.3896441339635
2.44,268.22057354884004
2.46,271.7984259369594
2.48,277.7756872778208
2.5,281.21714932195266
2.52,285.5899587064807
2.54,286.1440268003553
2.56,288.10760439250737
2.58,293.3750329212478
2.6,298.02560003402675
2.62,300.92873560611457
2.64,305.66851143726916
2.66,309.7497949011634
2.68,318.87777743338177
2.7,318.85780963580606
2.72,324.7154042772947
2.74,328.6827163202824
2.76,336.1651775864586
2.78,343.0004667439745
2.8,345.67102307159126
2.82,348.5928760010127
2.84,349.15252466239576
2.86,354.4963134527885
2.88,356.7475290845777
2.9,363.8363304008189
2.92,362.7005818704215
2.94,366.6595512659362
2.96,369.5896246304475
2.98,372.79386575091326
3.0,379.62801396059456
3.02,369.90058320564214
3.04,373.08383964503224
3.06,373.5416288561274
3.08,382.24601435149236
3.1,384.71468510208155
3.12,396.49242171958014
3.14,395.10420318446836
3.16,398.58156818981485
3.18,404.19380916197395
3.2,406.62160892472065
3.22,410.79718678201334
3.24,409.809744791839
3.26,413.3367863570006
3.28,415.413996397894
3.3,416.46327291708167
3.32,414.12802440628207
3.34,418.0635381047738
3.36,423.2430117502104
3.38,424.8357101605713
3.4,427.85145012626646
3.42,432.1912913131416
3.44,437.48007166549877
3.46,443.46436675177364
3.48,445.1200297034096
3.5,444.3355658558332
3.52,445.26493829560303
3.54,444.5639110894849
3.56,441.1046469113215
3.58,436.6077667161773
3.6,433.420218339528
3.62,431.0148425556682
3.64,423.99232579938354
3.66,416.79281807473564
3.68,414.7644131369348
3.7,412.2269465249482
3.72,413.6909638825864
3.74,411.1798761659833
3.76,413.1732578513185
3.78,417.26269732081715
3.8,411.3861075596049
3.82,416.76884149128324
3.84,418.40116221928383
3.86,424.02216345416036
3.88,429.49574366924753
3.9,432.76128514025083
3.92,440.42909787920235
3.94,441.68578560673325
3.96,446.0749368840872
3.98,446.64595603773137
4.0,458.5586263856596
4.02,449.23996169442444
4.04,448.41978563733977
4.06,448.2828642844909
4.08,447.2588282411409
4.1,448.6755406861318
4.12,444.11485558503307
4.14,443.85286958555827
4.16,445.16509035829114
4.18,444.1173136804671
4.2,442.8936480688781
4.22,441.08700827895154
4.24,436.97485881558157
4.26,437.03640215766626
4.28,434.8492122445875
4.3,436.2385185673283
4.32,436.4957289120001
4.34,434.35652551452046
4.36,434.77567437486715
4.38,436.5994463740303
4.4,440.46942419221165
4.42,442.53883758054303
4.44,441.6245741937539
4.46,449.0058184714494
4.48,451.9130830292587
4.5,459.1855495362216
4.52,464.84873625920824
4.54,473.723216615744
4.56,475.0610122151238
4.58,475.64089194145026
4.6,479.04448489105147
4.62,483.20870414165813
4.64,485.25246739850564
4.66,482.274064279898
4.68,485.66217558386273
4.7,483.03301688358175
4.72,482.3437603884387
4.74,482.7641300363699
4.76,473.892708547324
4.78,471.84811685576653
4.8,465.59031504944323
4.82,464.0225968267776
4.84,458.1868137793839
4.86,454.72747082196815
4.88,455.2406341548119
4.9,451.97827803254455
4.92,453.9007342845316
4.94,452.5100430741172
4.96,456.65119101679466
4.98,454.6633655157927
5.0,452.1977464211609
5.02,444.13341334618593
5.04,446.16072395525
5.06,447.3652660668119
5.08,448.6480792415999
5.1,453.0169232881547
5.12,460.2295262665197
5.14,464.64716428276586
5.16,468.2154072530502
5.18,476.97493533145695
5.2,481.42515446401006
5.22,486.50946198936174
5.24,491.0320283471045
5.26,489.89958716044094
5.28,495.8643428811416
5.3,497.57854020030055
5.32,502.5243710210076
5.34,500.80638611154575
5.36,500.7415803230244
5.38,502.2418857856218
5.4,506.9897765703206
5.42,508.32502179478627
5.44,509.03075058800874
5.46,511.4232909261904
5.48,510.89243231183883
5.5,510.2598045610965
5.52,509.5346110863191
5.54,508.14528900641756
5.56,513.0344871938469
5.58,507.975554271056
5.6,503.720097574014
5.62,502.82209956283344
5.64,498.5487802070752
5.66,497.4834117989505
5.68,498.0541854759862
5.7,490.34076687497094
5.72,489.9037296003002
5.74,489.2385532422705
5.76,486.84019745168615
5.78,484.52125918525405
5.8,483.8820834363341
5.82,488.7641486436915
5.84,489.1003246155056
5.86,490.6316452663613
5.88,486.8913796770061
5.9,484.38848266256275
5.92,482.9413632546476
5.94,477.9788758193177
5.96,474.1604911781242
5.98,471.79586256640704
6.0,464.50649137936614
6.02,462.884526592009
6.04,457.3529293882082
6.06,456.71857118244174
6.08,452.067056318042
6.1,453.7300071059036
6.12,452.0227107607044
6.14,449.8625977321411
6.16,451.3458529509898
6.18,445.3290399631365
6.2,441.0235551021351
6.22,436.7101009892559
6.24,431.38621477689685
6.26,422.2306214635602
6.28,416.32300315670943
6.3,410.6895050638443
6.32,403.8300757151644
6.34,399.1898714162577
6.36,397.0443465208995
6.38,394.543469647461
6.4,387.7502386118302
6.42,388.3838450413063
6.44,385.6978570885088
6.46,383.7260112403281
6.48,381.4109957823982
6.5,377.88232944661786
6.52,375.3753726042251
6.54,375.1612915434393
6.56,375.129946574791
6.58,373.6339817959905
6.6,373.59100959356806
6.62,371.33928447866225
6.64,369.2320368046105
6.66,365.8283293699542
6.68,364.0861006825534
6.7,365.3308900220995
6.72,363.89743624965865
6.74,362.2925760106533
6.76,360.41545581592857
6.78,359.8532381415484
6.8,355.36702777783347
6.82,353.5585101288432
6.84,351.6250045480272
6.86,351.4786730660719
6.88,352.84078867240237
6.9,351.54584398048564
6.92,351.00440561690465
6.94,346.6853270638474
6.96,346.2952139963106
6.98,341.98786158843467
7.0,340.7979506635024
7.02,332.6288845572961
7.04,337.897032042278
7.06,337.691219465194
7.08,339.8386330587863
7.1,340.7566229021246
7.12,345.39168569290274
7.14,345.71096530557935
7.16,346.06482693184915
7.18,343.7135109464354
7.2,341.983681824896
7.22,339.47630807848503
7.24,336.7720439948406
7.26,336.1417094539457
7.28,331.50361436827444
7.3,328.9091548592042
7.32,329.70011557314604
7.34,327.3793281975451
7.36,327.3811119089532
7.38,323.90592255616326
7.4,321.8583004625256
7.42,322.883968851248
7.44,322.0332499571197
7.46,319.84854896241177
7.48,322.6274227730445
7.5,325.6097232694222
7.52,328.5382065832575
7.54,328.0876798140549
7.56,332.4337393805945
7.58,335.2198194254061
7.6,334.4304593046244
7.62,333.1825077466571
7.64,330.81379441203666
7.66,334.13867413517966
7.68,327.78759942926297
7.7,327.430652138658
7.72,323.47376997793265
7.74,320.36761315525774
7.76,321.90589849861647
7.78,313.88293440136414
7.8,310.15545465514134
7.82,307.8233769130614
7.84,308.0260072345848
7.86,303.35624835444736
7.88,297.51919853480064
7.9,290.98664092447393
7.92,291.8652092916626
7.94,283.7410328313451
7.96,282.3278035675701
7.98,276.8693898631547
8.0,261.03331977003796
8.02,265.7460187026536
8.04,255.81845034636683
8.06,251.54143654757337
8.08,242.23620942649785
8.1,238.51924614560403
8.12,224.59778519660188
8.14,222.1008322045567
8.16,220.82356957024098
8.18,212.37909577122474
8.2,215.97481899149463
8.22,217.34305679806187
8.24,221.3264290340166
8.26,224.30128982871707
8.28,223.28675791988618
8.3,225.98507656709563
8.32,224.9303252510602
8.34,232.42453004284712
8.36,231.6613315508853
8.38,235.0835131172056
8.4,235.13615239207914
8.42,235.28780593067148
8.44,243.92674402084998
8.46,244.53276043409866
8.48,244.34209347560773
8.5,241.51334720723247
8.52,239.64134493409617
8.54,240.48850236378087
8.56,237.53221624664732
8.58,238.1108154206431
8.6,239.28313564951577
8.62,241.4095745710826
8.64,246.88654622747376
8.66,260.5732065136684
8.68,271.18352637317633
8.7,290.00317076981844
8.72,293.44223788991366
8.74,305.7352620109159
8.76,307.45057886494175
8.78,311.61747401144333
8.8,310.0557007392026
8.82,311.79398873800324
8.84,312.7107742228235
8.86,310.0361008185214
8.88,313.6310688820883
8.9,315.2066752358287
8.92,305.7294127315723
8.94,300.5894787410016
8.96,290.38566714757815
8.98,286.0825428380712
9.0,269.8058701617434
9.02,324.27939997059826
9.04,315.6473672052583
9.06,318.71073169745455
9.08,314.1495545277104
9.1,302.9402627614085
9.12,294.9510794433517
9.14,283.9485504666044
9.16,276.8269036904996
9.18,260.276514510102
9.2,261.84383350509023
9.22,250.19617718980552
9.24,245.25285432606273
9.26,239.45870554994937
9.28,238.29695332951488
9.3,242.71263770202808
9.32,239.2680226075582
9.34,241.41443932685024
9.36,241.499737772672
9.38,239.9881895938044
9.4,231.72842503241782
9.42,233.0654695440038
9.44,232.65156136151546
9.46,232.089099696287
9.48,239.92481367233918
9.5,240.30103306518313
9.52,241.52377504533015
9.54,242.54003203386438
9.56,236.44815039940735
9.58,235.06208633113425
9.6,231.50617999377405
9.62,229.45938018924787
9.64,229.8179097931469
9.66,227.95833784814843
9.68,227.65773982653445
9.7,226.68550302680615
9.72,226.0119988547562
9.74,228.9226794293887
9.76,228.75528449137954
9.78,229.2720628750793
9.8,229.2190438616544
9.82,230.81238407005975
9.84,231.7519411039879
9.86,233.05619335567016
9.88,237.38781491509073
9.9,239.3351680806213
9.92,244.62063979416075
9.94,246.37053063982157
9.96,251.54540200159295
9.98,252.8557871878716
10.0,235.8087925010031
10.02,281.2437983082976
10.04,276.4034974036962
10.06,273.03260208483863
10.08,272.5949093631496
10.1,278.90601286569637
10.12,283.3988366462987
10.14,288.90618517938077
10.16,292.67114974019364
10.18,306.6653575173721
10.2,308.3193856941
10.22,311.3687240019109
10.24,308.7990384580426
10.26,306.01993091222175
10.28,293.94824595347154
10.3,287.5632540294262
10.32,272.35458201369653
10.34,268.9745445998939
10.36,257.1074742048485
10.38,252.25380842568316
10.4,243.4700500785715
10.42,242.65002121935655
10.44,233.98258049023445
10.46,231.50177105542633
10.48,230.5959554201026
10.5,223.92889417494666
10.52,220.0906679362861
10.54,218.04493646753988
10.56,215.35261192621564
10.58,215.4367904843894
10.6,213.81857357762013
10.62,213.1604978635403
10.64,211.15758368808656
10.66,210.44565014256779
10.68,207.18771392509817
10.7,205.56805493458359
10.72,203.00061419086623
10.74,202.55688168485514
10.76,202.5827475693748
10.78,202.7884422661361
10.8,201.43805631934836
10.82,199.19761572067037
10.84,201.8543841391063
10.86,202.5884889606833
10.88,203.62000606632776
10.9,204.6113692523074
10.92,206.17256336259362
10.94,206.68665456874874
10.96,209.98744474369641
10.98,210.0353500892877
11.0,212.11936960294042
11.02,241.24189269059457
11.04,240.65385847701546
11.06,233.71882970117207
11.08,232.99222332108116
11.1,228.55567114527102
11.12,230.80492019319496
11.14,230.4111854071373
11.16,225.1968629215841
11.18,224.89118365155574
11.2,221.77164951465414
11.22,222.72343959475606
11.24,222.43794536146245
11.26,223.6569001492086
11.28,222.544343456929
11.3,224.25928211829952
11.32,225.44644522874313
11.34,227.06939280823366
11.36,229.38135693143317
11.38,234.86910676794602
