d,vs
0.02,51.47415729066385
0.04,65.72648732987624
0.06,70.87514431668957
0.08,79.13291787761094
0.1,84.96402413110596
0.12,88.05190411271202
0.14,91.29913175355269
0.16,92.80675212031382
0.18,94.97575398662904
0.2,96.66881920261477
0.22,98.5236019652797
0.24,99.66413967738987
0.26,101.47690775690424
0.28,109.59440697901793
0.3,107.83622204608031
0.32,110.7424051854979
0.34,115.2302310742677
0.36,123.24804126800073
0.38,130.25120095578413
0.4,133.18152314341572
0.42,136.31745438087324
0.44,136.1352690495225
0.46,125.96571651009128
0.48,116.2765728421276
0.5,123.33624056563977
0.52,121.61377424306558
0.54,117.82990245803435
0.56,118.37451499152267
0.58,116.16884359080453
0.6,112.22993696756967
0.62,107.98650970038463
0.64,104.81350227586123
0.66,105.06692494475043
0.68,100.82389199553761
0.7,99.95957446839034
0.72,98.62402778401649
0.74,97.98410980583462
0.76,96.01643658663986
0.78,98.09768885676668
0.8,102.42765424053579
0.82,102.74787917723779
0.84,105.73053469750386
0.86,111.37680897917348
0.88,117.10315143521184
0.9,121.62671003614959
0.92,122.37580939266836
0.94,119.07204144773729
0.96,117.62420362816606
0.98,118.87322610933445
1.0,118.20070663305098
1.02,117.00831145284928
1.04,117.70397050737964
1.06,119.5642835454671
1.08,121.18908845535738
1.1,126.02029938097695
1.12,131.23601417913946
1.14,138.84861855679696
1.16,139.26834146474204
1.18,144.64907806250494
1.2,145.68064207945775
1.22,171.32238732963114
1.24,160.18019989122465
1.26,160.26057802855192
1.28,178.7028593686168
1.3,173.1438524375022
1.32,172.54292171792008
1.34,167.23322342000944
1.36,160.03317092595321
1.38,154.5503779583712
1.4,135.21300258958726
1.42,134.9288040050468
1.44,135.72273163692842
1.46,136.81005328991228
1.48,136.78371045679071
1.5,136.9288837676155
1.52,136.25402246462534
1.54,136.82244632361585
1.56,139.5258141439268
1.58,142.94671599504926
1.6,145.56691723553254
1.62,148.71351550779337
1.64,150.1030693693328
1.66,149.53280423414125
1.68,150.59243086469985
1.7,149.92512477231114
1.72,150.17136536833374
1.74,152.74450648721728
1.76,157.23763051474967
1.78,168.86584900870008
1.8,178.38304840817466
1.82,178.03590066194374
1.84,192.83140157054325
1.86,191.49290088514334
1.88,190.82100687957015
1.9,190.30538691661675
1.92,188.6650528682563
1.94,177.74588597091628
1.96,180.60604696923576
1.98,182.89711084662466
2.0,179.43209492670823
2.02,170.68078244848127
2.04,168.4257354997929
2.06,168.18421431196407
2.08,182.53786968584205
2.1,180.76833521704395
2.12,185.88981584941925
2.14,187.73773802332104
2.16,186.43372294918228
2.18,184.14638499061957
2.2,181.35553409128354
2.22,179.54824532462362
2.24,178.589567966411
2.26,176.6253758352125
2.28,177.6250457125774
2.3,175.65713674827117
2.32,173.97713301042103
2.34,173.43997086511712
2.36,174.47414537332884
2.38,176.48025740546015
2.4,176.33191645446334
2.42,178.29628448645363
2.44,181.509415609071
2.46,185.50778506524023
2.48,189.28993228685596
2.5,192.11470338918912
2.52,194.4253909605461
2.54,195.6453955154334
2.56,200.06040746872662
2.58,202.96220569302528
2.6,205.9914802858592
2.62,209.00941587614895
2.64,210.37543705065036
2.66,211.40299561334473
2.68,217.01563708954367
2.7,217.79590647219612
2.72,219.42519962096085
2.74,222.81711884094972
2.76,226.74541906642963
2.78,228.21068174423743
2.8,231.06935182635806
2.82,234.13019007911151
2.84,234.99568442883407
2.86,242.73173280687894
2.88,245.44603926417224
2.9,249.60035411164387
2.92,250.998882519985
2.94,251.9057857434503
2.96,253.29886274835292
2.98,254.8527242977815
3.0,259.5955754433878
3.02,253.16998477993408
3.04,255.60173237314157
3.06,258.06256680900964
3.08,263.9807072803353
3.1,265.17762456037127
3.12,273.23844104708303
3.14,272.42001031378845
3.16,274.0299651123386
3.18,278.9827596765018
3.2,280.1952863535641
3.22,282.8378212908674
3.24,284.9077116828918
3.26,287.4149991858453
3.28,288.1125558915257
3.3,286.9747709103799
3.32,288.3056503814406
3.34,290.09813828264413
3.36,294.09510641150297
3.38,295.7449095554692
3.4,299.1074422179387
3.42,301.7992675230007
3.44,303.45979372932914
3.46,305.21066567478766
3.48,309.22893900476436
3.5,310.4749130903086
3.52,311.73443866452885
3.54,310.03400622493945
3.56,307.9708386333045
3.58,306.2751653806678
3.6,304.1482166278787
3.62,301.89428222171523
3.64,298.78714227189425
3.66,291.7279120069281
3.68,287.09171006918075
3.7,282.52883878545236
3.72,282.1547988883902
3.74,281.41451611397065
3.76,280.4012063983996
3.78,281.3211163377159
3.8,281.01846481887543
3.82,283.7040304952141
3.84,286.52489192837936
3.86,291.0276593608423
3.88,295.8123624682381
3.9,301.53762159298395
3.92,302.2673956540964
3.94,302.17918234697174
3.96,306.2829091527316
3.98,306.06397882023924
4.0,313.78123664056204
4.02,307.50226398163534
4.04,310.4764519141676
4.06,309.9448581838297
4.08,309.52072059320307
4.1,307.81037457804047
4.12,307.4081935246175
4.14,306.63463272435416
4.16,308.15560734321133
4.18,305.9631562793109
4.2,305.91021792126736
4.22,302.4172805374629
4.24,301.6669990441326
4.26,302.4899075378461
4.28,301.13104434730235
4.3,302.39652203761744
4.32,305.24241508677903
4.34,303.9918784849394
4.36,303.6253316596355
4.38,303.322516735512
4.4,305.1743276196107
4.42,306.821436822128
4.44,309.42613138025894
4.46,311.9588192082603
4.48,312.64952415780346
4.5,316.0839232474528
4.52,318.9917985135291
4.54,322.9621830178918
4.56,322.4790421626087
4.58,322.78442195907735
4.6,324.4387625327545
4.62,325.97956047397133
4.64,327.249559804405
4.66,323.79017840108867
4.68,321.12598780146726
4.7,321.7538844711029
4.72,319.5637613325506
4.74,317.9788765580323
4.76,314.6447422180455
4.78,313.1944009122485
4.8,309.989841995667
4.82,310.878782718388
4.84,308.7796086772342
4.86,306.10073134992746
4.88,306.6248256021031
4.9,306.31802935056345
4.92,304.8122595680584
4.94,305.4365620882988
4.96,303.28528227022025
4.98,303.3047709449035
5.0,302.62843836875214
5.02,298.15291990589793
5.04,298.7063959867526
5.06,298.60659242258623
5.08,301.350376300364
5.1,304.44361416084035
5.12,305.1435550680137
5.14,307.48584596510347
5.16,311.423032310115
5.18,313.47900030207796
5.2,317.79494630797393
5.22,320.2510743130887
5.24,323.460650165658
5.26,324.6574198163056
5.28,326.67942618453725
5.3,326.9444068916486
5.32,326.70916125810635
5.34,326.9220619763565
5.36,327.4369702064803
5.38,328.88975975631337
5.4,330.64313687293435
5.42,329.2600696960681
5.44,330.3197500814095
5.46,331.6563783190188
5.48,333.49186834894726
5.5,333.24169646811396
5.52,333.51984568171144
5.54,331.57641604773045
5.56,330.5851229033425
5.58,326.24416563172286
5.6,323.2311528333315
5.62,322.4281377029678
5.64,321.641852096135
5.66,323.0353521488043
5.68,324.48600930570365
5.7,321.59997897941815
5.72,321.61685978482
5.74,320.2747165492136
5.76,320.6377813362977
5.78,318.504276636618
5.8,321.610380454507
5.82,325.412162050764
5.84,325.1543672768864
5.86,327.75881807268775
5.88,327.6490226320571
5.9,327.9032665197265
5.92,327.7190295409561
5.94,328.184494625023
5.96,326.8349693161139
5.98,324.3820173973112
6.0,320.6601398381985
6.02,313.560932492627
6.04,311.7922853412739
6.06,312.1450474012307
6.08,308.7961228394714
6.1,310.0002058450095
6.12,308.48167488422786
6.14,309.63831820780484
6.16,306.59180647661987
6.18,303.4151891479176
6.2,301.84447296614405
6.22,300.12622803365826
6.24,299.08583152731893
6.26,293.9948093587807
6.28,289.7530063973335
6.3,285.25510559556545
6.32,282.98907388292304
6.34,279.19057118449774
6.36,275.4881823379463
6.38,273.2583157715996
6.4,270.0186415426077
6.42,269.6792330639566
6.44,266.86072838424866
6.46,265.8508911346881
6.48,264.8813346211226
6.5,262.8591215221452
6.52,261.18448095675666
6.54,259.65747599296316
6.56,259.1261485211434
6.58,258.4528298585378
6.6,257.66499677315494
6.62,256.73640113904565
6.64,257.4926573182017
6.66,256.25066690633037
6.68,256.74747298953446
6.7,256.9047109931428
6.72,255.39112142064428
6.74,255.18651995263073
6.76,253.21491120720148
6.78,254.02002665384444
6.8,251.1485913969312
6.82,251.47960891170925
6.84,251.07862490173483
6.86,250.59785182731264
6.88,251.49551855512902
6.9,250.23268306145215
6.92,251.07090707137635
6.94,248.9852484233421
6.96,248.2119035124642
6.98,245.53943581968875
7.0,243.3132704396154
7.02,239.5252109520019
7.04,239.87906786909554
7.06,238.4344847976105
7.08,239.10148535209956
7.1,239.89726575900403
7.12,244.97003989091453
7.14,245.55099226368682
7.16,245.83235178982096
7.18,244.440144378115
7.2,244.48204304031069
7.22,243.26427993964234
7.24,240.68917621627187
7.26,240.6377153800749
7.28,238.2415303253703
7.3,238.45349983699182
7.32,238.0218555561713
7.34,235.7932889356433
7.36,235.14200758841187
7.38,232.5193495439959
7.4,232.73435757174687
7.42,233.01625075173584
7.44,232.91068484634206
7.46,232.7915485388641
7.48,233.46752910189568
7.5,235.69313595006884
7.52,236.7386780441803
7.54,238.0621035402843
7.56,240.94633233399634
7.58,243.02619011209043
7.6,243.18197039063617
7.62,239.90271069846435
7.64,237.41903013346527
7.66,238.14723601417123
7.68,231.74796904348332
7.7,231.0503887660133
7.72,226.78038039673237
7.74,223.82454228900144
7.76,221.52385228522994
7.78,218.03853297726067
7.8,216.15665993230363
7.82,214.6262833654156
7.84,214.95677456850416
7.86,211.57374116061044
7.88,206.76743547521983
7.9,200.91888234737442
7.92,200.05108034698517
7.94,193.11658862428675
7.96,193.67394193444136
7.98,190.19169255206248
8.0,179.0974583380507
8.02,183.36233776662723
8.04,176.1606849522394
8.06,173.51966958224395
8.08,166.9510068018716
8.1,164.08824259605484
8.12,155.95520751445238
8.14,154.4641156101335
8.16,154.04075760781882
8.18,147.82684853572133
8.2,148.22250172536582
8.22,149.86667506894028
8.24,151.70693331660024
8.26,154.1443441738453
8.28,154.18911255158753
8.3,156.72328269887146
8.32,155.6357869155412
8.34,160.1246189258759
8.36,160.44433498373417
8.38,161.50720612905457
8.4,162.04140722018056
8.42,161.01975655135502
8.44,165.90925627804575
8.46,167.02884028453408
8.48,165.7998139763959
8.5,164.81325144532443
8.52,165.06118430948175
8.54,165.70014946840456
8.56,164.14208991031003
8.58,163.98311674979294
8.6,164.81117507868018
8.62,166.8942145073563
8.64,169.24539600332054
8.66,175.43444501378772
8.68,182.45487070795957
8.7,194.09835537698478
8.72,196.66366817976268
8.74,205.681011185621
8.76,206.13668769199316
8.78,207.9446215124843
8.8,207.49763381099183
8.82,209.09516445446994
8.84,210.558191457448
8.86,209.14908268469162
8.88,210.31008826795681
8.9,212.1143893691237
8.92,206.62356516333313
8.94,202.02976961928024
8.96,194.26606012662643
8.98,190.12989671078452
9.0,180.7462626516255
9.02,217.67933760428917
9.04,211.86770917366454
9.06,214.9630816972351
9.08,211.05056755472467
9.1,202.85711858222098
9.12,199.35818052462565
9.14,190.43520306913598
9.16,184.76753138708438
9.18,173.35964383549634
9.2,173.21916675291524
9.22,166.83431211461505
9.24,163.78591797538905
9.26,160.003450921211
9.28,157.79638764282097
9.3,160.45994630781865
9.32,158.81379343550083
9.34,161.34946035530598
9.36,161.72737925818393
9.38,160.8437183792049
9.4,156.32646758606444
9.42,157.32265550574456
9.44,158.42229728919247
9.46,158.7179848264659
9.48,164.26783890473513
9.5,165.2314812605558
9.52,164.08548760733424
9.54,165.2082674677603
9.56,162.59114553872098
9.58,162.43070199507173
9.6,161.72163032069886
9.62,158.37846370644922
9.64,158.5385082793942
9.66,156.14472624224442
9.68,156.75983928251432
9.7,155.37898099533348
9.72,155.10360161665653
9.74,157.18254338770197
9.76,157.49680765268204
9.78,159.82364650155583
9.8,159.7484737447577
9.82,161.37429516184963
9.84,161.75007956395038
9.86,161.10893208307
9.88,163.19225787425665
9.9,164.43662818279216
9.92,166.86406357311
9.94,168.3481063309408
9.96,170.250866839281
9.98,170.07340452845713
10.0,159.7558905480395
10.02,190.84339910300628
10.04,185.9484246720121
10.06,183.40477375529116
10.08,183.14942417648214
10.1,188.44513587176522
10.12,191.71607268245364
10.14,194.34142540721942
10.16,196.49530764253785
10.18,205.29448697902384
10.2,204.84516320566283
10.22,206.83534063979477
10.24,205.1462463879177
