File Name,depth_input,vs_input,Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic,Subset_Region,Subset_Geology
SCPT_126232,18,217.6,18,0.9819,0.0041,0.5593,51.8708744,120.1843034,146.3113259,88.03886026,124.5954907,272.1115012,2.616668695,6,1
SCPT_126232,18.5,217.6,18.5,1.4347,0.007,0.4436,72.25416041,136.6960617,166.4125968,107.8262989,138.6143839,294.5621764,2.485186153,6,1
SCPT_126232,19,221.8,19,0.9316,0.0024,0.5278,42.55256362,116.9865544,142.4184141,80.97315366,120.0709377,257.2078245,2.579145436,6,1
SCPT_126232,19.5,221.8,19.5,1.4618,0.0067,0.5547,67.65690259,136.9086899,166.6714486,105.3823001,140.525623,296.8577609,2.467798976,6,1
SCPT_126232,20,209.3,20,7.3359,0.2376,0.4948,362.4382065,255.8641338,311.4867715,251.6154376,240.0627109,480.8224491,2.359836824,6,1
SCPT_126232,20.5,209.3,20.5,1.6707,0.0365,0.425,124.3512051,161.1996773,196.2430855,134.3466664,167.2064723,375.1293144,2.735173878,6,1
SCPT_126232,21,342,21,6.1789,0.0576,0.1834,173.9971076,212.9335783,259.2234866,190.3718573,211.0576319,404.3792873,2.057735766,6,1
SCPT_126232,21.5,342,21.5,6.7729,0.1955,0.8557,300.7604394,247.7808458,301.6462471,233.2437581,238.2497467,477.1594148,2.347490169,6,1
SCPT_126232,22,405,22,5.8074,0.0869,1.1182,193.5434332,219.5605649,267.2911225,195.0959694,219.2619844,431.4383332,2.203776174,6,1
SCPT_126232,22.5,405,22.5,7.7152,0.1972,0.7102,292.4410176,255.1538363,310.6220616,236.7277674,246.025335,483.688988,2.27018514,6,1
SCPT_126232,23,219.6,23,8.1756,0.1947,0.5479,286.4587844,258.1296178,314.2447521,237.7782248,249.3436789,485.788374,2.230619476,6,1
SCPT_126232,23.5,219.6,23.5,6.4696,0.1941,1.1171,271.1333748,247.5748728,301.3954973,223.8265834,242.46394,487.3979937,2.373394066,6,1
SCPT_126232,24,265.7,24,7.2237,0.1163,1.2282,208.4733709,237.1904275,288.7535639,208.6734836,237.4767308,458.810538,2.152187411,6,1
