depth_input,Mc15
3.5,0.368279482
4,-0.429313441
4.5,0.02363147
5,0.211449122
5.5,0.190044043
6,0.171235044
6.5,0.10925333
7,0.154416097
7.5,-0.102943184
8,-0.178208877
8.5,-0.151984436
9,0.047690911
9.5,-0.009900503
10,0.248546966
10.5,-0.182598129
11,-0.130165322
11.5,-0.22615887
12,-0.026632389
12.5,-0.034754717
13,-0.100395686
13.5,-0.112897691
14,-0.315704344
14.5,-0.092845756
15,0.038069412
15.5,0.004128532
16,0.234603515
16.5,0.005398126
17,-0.124119242
17.5,-0.349350374
18,0.054558731
18.5,-0.129691865
19,0.091811541
19.5,0.207899423
20,-0.159262644
0.1,0.449020662
0.5,-0.079978576
1,-0.048643129
1.5,0.218631587
2,0.015309215
2.5,-0.043762487
3,-0.019538695
3.5,0.086071874
4,-0.053027926
4.5,0.041891025
5,0.019321484
5.5,0.005054914
6,-0.026496071
6.5,-0.06049859
7,0.006706849
7.5,-0.056590458
8,0.111804578
8.5,-0.054352072
9,-0.023256574
9.5,0.225668553
10,0.175112057
10.5,-0.152570831
11,-0.291345282
11.5,0.19952003
12,0.045188596
12.5,-0.092788889
13,-0.01460138
13.5,-0.230900191
14,-0.297742599
14.5,-0.335025658
15,-0.168256119
15.5,-0.044568823
16,0.063549294
16.5,0.299274804
17,0.461619194
17.5,0.244016933
18,0.064410406
0.1,0.383299612
0.5,-0.060034584
1,-0.037560762
1.5,-0.030005461
2,-0.134788793
2.5,-0.123566669
3,-0.054526802
3.5,0.019869103
4,-0.01950628
4.5,-0.105169723
5,-0.007816793
5.5,-0.013538718
6,-0.216843969
6.5,0.024325959
7,-0.216131063
7.5,-0.064310219
8,0.036273613
8.5,0.051432036
9,0.008410646
9.5,-0.031565445
10,-0.209655578
10.5,-0.012159729
11,-0.224268777
11.5,-0.142884637
12,0.089662061
12.5,-0.098531344
13,-0.119507936
13.5,-0.156389161
14,-0.107742951
14.5,0.034731565
15,-0.04473236
15.5,-0.158887318
16,-0.17776467
16.5,-0.144711751
17,-0.271739098
17.5,-0.145291664
18,-0.178451552
18.5,-0.192740652
19,-0.414449077
19.5,-0.251833219
20,-0.186959282
0.1,0.381647657
0.5,0.079434856
1,-0.140845588
1.5,0.379121807
2,0.214807416
2.5,0.203068066
3,0.236197758
3.5,0.08648954
4,0.067677421
4.5,0.019599048
5,-0.075780043
5.5,0.088073071
6,0.138845683
6.5,-0.02650999
7,0.033166501
7.5,-0.014705882
8,-0.095765893
8.5,-0.137585995
9,-0.102511727
9.5,0.185239597
10,0.320731112
10.5,0.007771431
11,-0.089501281
11.5,-0.152666162
12,-0.1565476
12.5,-0.104749258
13,0.028403178
13.5,0.017664646
14,-0.059390786
14.5,-0.169204965
15,-0.122942408
15.5,-0.128831091
16,-0.058305908
16.5,-0.181779097
17,-0.117674702
17.5,-0.112206802
18,-0.145950725
18.5,0.243400118
19,0.181605746
19.5,-0.07940296
20,-0.188882665
0.1,0.232860468
0.5,0.089142655
1,0.351602354
1.5,0.301844704
2,0.076020996
2.5,0.309277046
3,0.215434688
3.5,0.325043935
4,0.040510526
4.5,0.12749386
5,-0.047642143
5.5,0.057487892
6,-0.053151051
6.5,0.058209238
7,-0.041498625
7.5,-0.059314403
8,0.022549713
8.5,-0.010364135
9,0.016271558
9.5,0.013734472
10,-0.154659605
10.5,-0.182871746
11,0.352569896
11.5,0.14985451
12,-0.125530615
12.5,-0.013218805
13,0.321025016
13.5,-0.053381867
14,-0.064386316
14.5,-0.036378661
15,0.072801768
15.5,-0.016386196
16,0.204342366
16.5,-0.057504367
17,0.245893113
0.1,0.308174762
0.5,-0.126131269
1,-0.044778799
1.5,0.221853041
2,0.073115515
2.5,-0.03575442
3,0.294348596
3.5,-0.037945272
4,-0.210053509
4.5,-0.262353608
5,-0.409763085
5.5,0.013239634
6,0.073325902
6.5,0.267070481
7,0.242559589
7.5,0.003131283
8,-0.176493669
8.5,-0.059618288
9,0.003851351
9.5,-0.055802486
10,-0.004976263
10.5,-0.066039034
11,-0.161521349
11.5,-0.206287048
12,-0.042916333
12.5,-0.165658378
13,0.156999496
13.5,-0.006290778
14,0.099583095
14.5,-0.257180624
15,-0.376750942
15.5,-0.165472326
16,-0.191996245
16.5,-0.267794784
17,-0.313057341
0.1,0.69559594
0.5,0.393639643
1,0.386776427
1.5,-0.08476515
2,0.281069471
2.5,-0.110429286
3,-0.020627995
3.5,0.013592366
4,0.181000596
4.5,0.10800379
5,0.081538174
5.5,0.159790793
6,-0.087395745
6.5,-0.093051107
7,-0.047456225
7.5,0.050493238
8,0.059138762
8.5,0.026833662
9,0.144106992
9.5,0.029754079
10,-0.042835467
10.5,0.066052588
11,-0.045138979
11.5,0.020693034
12,0.094318022
12.5,-0.033244548
13,0.03816685
13.5,-0.051520221
14,0.049472721
14.5,-0.084692929
15,-0.161020662
15.5,0.076443614
16,0.146630932
16.5,0.041662494
17,0.242811819
17.5,0.480468821
18,0.314791779
18.5,0.479388647
19,0.45562078
19.5,0.429453913
20,0.318307011
0.1,0.500066595
0.5,0.173917603
1,0.267242724
1.5,0.344190939
2,0.247480151
2.5,0.087858453
3,0.504071702
3.5,0.36360313
4,0.260822615
4.5,0.572356358
5,0.253573036
5.5,0.20178675
6,-0.079070116
6.5,0.035285792
7,0.05712827
7.5,0.095154038
8,-0.061326686
8.5,-0.074295274
9,0.09760202
9.5,-0.058872438
10,-0.038337086
10.5,-0.040670879
11,0.112207397
11.5,-0.057923422
12,-0.089213418
12.5,-0.230929597
13,-0.202711153
13.5,-0.122060491
14,0.004291147
14.5,-0.068961817
15,-0.055659812
15.5,0.069819571
16,-0.123816884
16.5,-0.265544386
17,-0.345077941
17.5,-0.243463168
18,-0.074282693
18.5,-0.227178515
19,-0.145265175
19.5,-0.22047976
