depth_input,Mc18
7.5,-0.083491838
8,0.102334594
8.5,0.112191682
9,0.079715185
9.5,0.048056256
10,-0.009646918
10.5,-0.038131037
11,0.014784073
11.5,0.039127818
12,0.040618726
12.5,0.135033382
13,0.203230088
13.5,0.166171864
14,0.052337124
14.5,-0.017062011
15,-0.300903258
15.5,-0.225204288
16,-0.039501079
16.5,-0.344336699
17,0.263406447
17.5,0.283351809
18,0.183041511
18.5,0.187008722
19,0.093188513
19.5,0.045222689
20,0.200726048
20.5,0.082008738
21,-0.118323021
21.5,-0.133325049
22,-0.19120278
22.5,-0.128024576
23,0.018296135
1,0.04048327
1.5,0.163988341
2,-0.156174383
2.5,-0.172171871
3,-0.311831039
3.5,-0.295983853
4,-0.118224299
4.5,-0.103701876
5,0.168700801
5.5,0.403770997
6,0.241052192
6.5,0.430272434
7,0.478683876
7.5,0.169880518
8,0.133361797
8.5,0.13187597
9,-0.005495358
9.5,0.109844201
10,-0.038347399
10.5,-0.271091186
11,-0.268562972
11.5,-0.258761263
12,0.479919943
12.5,0.454509988
13,0.316956537
13.5,0.112418572
14,0.093317923
14.5,-0.034876839
15,0.090465278
15.5,0.041080479
16,0.850934839
16.5,0.901277547
17,0.922686442
17.5,0.896781177
18,0.978403877
0.1,1.373903983
0.5,0.934873141
1,0.529752085
1.5,0.495099629
2,0.378639708
2.5,0.256837563
3,0.239286812
3.5,0.21530101
4,0.027222355
4.5,0.0505187
5,0.053604129
5.5,0.057100874
6,0.179866867
6.5,0.241403718
7,0.368135693
7.5,0.374002035
8,0.004020219
8.5,-0.098229337
9,0.116496521
9.5,0.021286602
10,0.252172991
10.5,0.301145243
11,0.179771805
11.5,0.237803948
12,0.139005843
12.5,0.090941763
13,-0.027751468
13.5,0.07139689
14,0.085677845
14.5,0.053875439
15,0.100811566
15.5,0.05496461
16,-0.051196965
16.5,-0.048281378
17,0.00518709
17.5,-0.03586995
18,-0.273296065
18.5,-0.22254511
19,-0.357914619
19.5,-0.309315525
20,-0.090972586
20.5,-0.120913961
21,-0.070579044
21.5,-0.079742345
22,0.048536123
22.5,0.029064156
23,0.006574534
23.5,-0.007517766
24,0.173953302
