Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
0.0,0.0897,0.0,0.0006,,,,,,
0.01,0.2597,0.0,-0.0014,,,,,,
0.02,0.1167,0.0,-0.0012,,,,,,
0.03,0.137,0.0007,-0.001,4625.596396672115,33.819063400486414,41.17103370493998,317.4442393449558,13.686374859226763,42.2421398711212
0.04,0.1573,0.0014,-0.0006,,,,,,
0.05,0.2094,0.0028,-0.0007,6622.443596409002,42.192697094244146,51.36502254951461,383.34749785250585,18.813354646054712,57.743743822648156
0.06,0.3099,0.0055,-0.0008,,,,,,
0.07,0.3524,0.0053,-0.0009,4641.496183579304,51.361168338075366,62.526639715917845,368.7571262918167,23.477029456974464,68.57621141182467
0.08,0.3485,0.0051,-0.0009,,,,,,
0.09,0.3485,0.0044,-0.0009,3206.6081134711867,52.34408692794751,63.72323626011001,324.9993872380287,24.750331118620096,71.32540705012114
0.1,0.2983,-0.0001,-0.0008,,,,,,
0.11,0.2751,-0.0001,-0.0008,,,,,,
0.12,0.2597,-0.0001,-0.001,,,,,,
0.13,0.2403,-0.0001,-0.0011,,,,,,
0.14,0.2365,-0.0001,-0.0011,,,,,,
0.15,0.2172,-0.0001,-0.0011,,,,,,
0.16,0.2172,-0.0002,-0.0011,,,,,,
0.17,0.1824,-0.0002,-0.001,,,,,,
0.18,0.1747,-0.0002,-0.001,,,,,,
0.19,0.167,-0.0002,-0.001,,,,,,
0.2,0.1554,-0.0002,-0.001,,,,,,
0.21,0.1554,-0.0002,-0.0009,,,,,,
0.22,0.1457,-0.0002,-0.0006,,,,,,
0.23,0.1428,-0.0003,-0.0006,,,,,,
0.24,0.1399,-0.0003,-0.001,,,,,,
0.25,0.1361,0.0,-0.001,,,,,,
0.26,0.1341,0.0004,-0.001,,,,,,
0.27,0.1421,0.0011,-0.001,813.9529260116756,45.50251105823906,55.39436128829103,178.576777509783,26.31152919705223,78.12769886280704
0.28,0.1501,0.0013,-0.001,,,,,,
0.29,0.167,0.0014,-0.001,818.054131053108,48.22339731738125,58.70674456029022,183.41871504370965,28.026203119900785,82.18474186316591
0.3,0.2234,0.0013,-0.001,,,,,,
0.31,0.2799,0.0012,-0.001,761.7899690712369,54.828868907953535,66.74818823576952,193.21088214118996,30.363849817464086,82.23858843782581
0.32,0.4412,0.0007,-0.0008,,,,,,
0.33,0.5957,0.0003,-0.0008,474.1018529611784,64.77356297979175,78.85477232322474,172.4170073800414,30.702216995602807,70.16245061663443
0.34,0.391,0.0,-0.0008,,,,,,
