Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
0.01,0.0,0.0001,-0.0007,,,,,,
0.02,0.01,0.0002,0.0014,3851.06045035316,15.007991633988567,18.270598510942605,201.50051838903983,7.55944047164315,31.772708896921433
0.03,0.03,0.0002,0.0027,,,,,,
0.04,0.03,0.0003,0.0065,4253.1770623473785,22.421070172398643,27.295215862050526,244.06885250429238,11.104449296222002,40.23809332927671
0.05,0.07,0.0015,0.0254,,,,,,
0.06,0.17,0.0013,0.007,3584.5517454205346,39.5813855705343,48.186034607606985,301.20001092738534,18.02128743193603,54.64494328788572
0.07,0.23,0.0013,0.0064,,,,,,
0.08,0.35,0.0015,0.0517,2636.6959532971455,48.66161024756,59.24022117094261,301.2806318941017,21.919882018899195,60.19487117234244
0.09,0.71,0.003,0.0129,,,,,,
0.1,0.87,0.0031,0.0106,1335.192553781263,63.697030593286605,77.54421115704456,248.13462290080275,28.241750761120258,70.46755742662522
0.11,1.19,0.0032,0.0145,,,,,,
0.12,1.55,0.0036,0.015,746.7681361449438,73.58776843231755,89.58510939586483,206.69485702968788,32.68971102874025,75.56494843507384
0.13,1.97,0.0045,0.0196,,,,,,
0.14,2.56,0.005,0.0237,513.6247053837944,83.27698221824424,101.38067400481908,186.81820601318208,37.69141850463532,82.30329542988676
0.15,3.35,0.009,0.019,,,,,,
0.16,3.52,0.0149,0.0113,608.2144533843245,95.13264180322561,115.81365089088337,209.35957958385404,44.83733402025537,98.34691507769894
0.17,3.55,0.0166,0.0028,,,,,,
0.18,3.61,0.0207,0.0011,680.4039966929759,99.497210462766,121.12703882423689,223.23634061143707,47.78484208998998,105.76583377988725
0.19,3.73,0.0212,0.0009,,,,,,
0.2,3.85,0.0192,0.0027,580.5084887059338,101.1091168080165,123.08935959236793,212.66622628117665,49.354244567135005,107.6172557846691
0.21,4.1,0.0166,0.0015,,,,,,
0.22,4.03,0.0174,0.006,503.5333355448346,102.14036532029976,124.3447925638432,203.43795499001862,50.59887285091149,108.87880691931981
0.23,4.08,0.0224,-0.0221,,,,,,
0.24,4.0,0.0241,-0.0288,590.9992867275226,106.09162624401496,129.15502325358344,219.58953228545192,53.20109871558298,116.11027643627399
0.25,3.75,0.0285,-0.0273,,,,,,
0.26,3.44,0.0326,-0.0254,782.6767530081314,107.67093493116532,131.07765991620127,245.80883732076572,54.58105052162386,123.09398537514741
0.27,3.19,0.0443,-0.0319,,,,,,
0.28,3.11,0.0497,-0.0303,1106.0572590151003,111.23145790313741,135.41220962121076,283.43211167472185,56.8699481125588,132.39253402667572
0.29,3.2,0.0435,-0.0291,,,,,,
0.3,3.23,0.0489,-0.0266,1012.8118704846706,112.71043219434554,137.21270006268153,276.08148743757835,58.20969588682883,134.47751747545928
0.31,3.18,0.0505,-0.0287,,,,,,
0.32,3.22,0.0621,-0.021,1168.4614284130803,116.19174689540874,141.45082230745413,294.6149170216438,60.423706938808344,141.00117812871144
0.33,3.24,0.0638,-0.0184,,,,,,
0.34,3.27,0.0623,-0.0141,1111.5150204640458,117.39204595593438,142.9120559463549,290.6707443431644,61.60363601991074,143.2567257753799
0.35,3.45,0.062,-0.0117,,,,,,
