File Name,depth_input,vs_input,Depth,Qc,Fs,u,Ic,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,A07-H,A07-P,R09,Mc15,Mc18
SCPT_140254.csv,13.01,170,13.01,11.3527,0.059,0.0503,1.696342471,214.3818116,260.9865532,213.064035,202.0700308,360.9860396,-0.231960155,-0.428670449,-0.225794317,-0.172815887,-0.753040849
SCPT_140254.csv,13.51,170,13.51,11.2662,0.0553,0.0797,1.685580271,213.4494704,259.8515291,210.4591213,202.881361,361.3707349,-0.227601695,-0.424311989,-0.213492999,-0.176822943,-0.754105961
SCPT_140254.csv,14.01,181,14.01,8.2111,0.0523,0.0601,1.86243623,207.2520898,252.306892,198.7262412,194.9113179,361.227157,-0.135438846,-0.332149141,-0.093431174,-0.074047644,-0.691009973
SCPT_140254.csv,14.51,181,14.51,1.2089,0.0351,0.4435,2.921110826,142.951078,174.0273992,123.1357985,144.5060629,341.1624501,0.235994571,0.039284278,0.385209232,0.225175567,-0.633861726
SCPT_140254.csv,15.01,197,15.01,1.4043,0.013,0.3651,2.608052056,138.5884909,168.7164236,112.5633125,137.2597421,302.7526196,0.351694684,0.15498439,0.559687888,0.36132867,-0.429712306
SCPT_140254.csv,15.51,197,15.51,9.993,0.1043,0.0044,1.922471186,233.598432,284.3806998,226.1589945,218.4146214,406.0310535,-0.17039981,-0.367110104,-0.138034539,-0.103191461,-0.723225914
SCPT_140254.csv,16.01,207,16.01,10.4709,0.1222,0.0095,1.938850126,240.7335077,293.0668789,233.0366943,224.7725233,417.9630607,-0.150971751,-0.347682045,-0.118477134,-0.08237009,-0.702674264
SCPT_140254.csv,16.51,207,16.51,10.2629,0.1012,0.0074,1.897754311,235.1102546,286.2211795,224.4980946,222.5381052,410.9666974,-0.127335779,-0.324046074,-0.081148427,-0.072379553,-0.68579339
SCPT_140254.csv,17.01,189,17.01,5.3928,0.0612,-0.0059,2.155633111,205.5989531,250.2943777,185.1391009,196.1712012,386.0300007,-0.084180427,-0.280890721,0.020639576,-0.037240738,-0.714168073
SCPT_140254.csv,17.51,189,17.51,9.6215,0.0836,0.0183,1.885110977,229.4454794,279.3249314,214.2376029,220.5877818,406.6998039,-0.193918424,-0.390628718,-0.125338678,-0.154548704,-0.766328316
SCPT_140254.csv,18.01,273,18.01,9.5229,0.1321,0.0305,2.019697293,244.1731083,297.2542188,228.8014095,230.5835585,434.6753208,0.111594361,-0.085115933,0.176617375,0.168858489,-0.465127568
SCPT_140254.csv,18.51,273,18.51,10.8927,0.1141,0.0233,1.895012619,243.7950537,296.7939785,228.1560158,234.0232649,429.8683953,0.113143867,-0.083566428,0.17944212,0.154051262,-0.454007309
SCPT_140254.csv,19.01,265,19.01,3.6951,0.079,0.3152,2.453880369,200.6733173,244.2979515,171.9994606,195.7113769,409.2928771,0.278051527,0.081341233,0.432238485,0.303088819,-0.434701155
SCPT_140254.csv,19.51,265,19.51,3.6719,0.054,0.0317,2.356821001,194.7503784,237.0874171,163.1129457,190.8280919,392.0904149,0.308011198,0.111300904,0.485286947,0.328356846,-0.391762637
SCPT_140254.csv,20.01,236,20.01,1.4275,0.0405,0.2594,2.85652089,158.0790694,192.4440845,118.365597,163.7729762,377.4750794,0.400736458,0.204026164,0.690053691,0.365350628,-0.469672747
SCPT_140254.csv,20.51,236,20.51,2.1782,0.0434,0.7258,2.617930321,170.870965,208.0168269,131.8242546,176.2552252,384.4701753,0.322923124,0.12621283,0.582362174,0.291898717,-0.488034413
