Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
0.0,0.3493,0.0,-0.001,,,,,,
0.01,0.7184,0.0,0.0,,,,,,
0.02,1.1028,0.0,0.0002,,,,,,
0.03,1.2873,0.0025,0.0,1590.595217195285,58.97955652958493,71.80119925340775,249.01013295241782,21.002956810697878,50.677509563437596
0.04,1.4603,0.005,0.0,,,,,,
0.05,1.6948,0.01,-0.0006,2413.959452812185,70.99444591742694,86.42802111686758,303.9258192803535,28.25690176406013,69.19817537372079
0.06,1.8678,0.0201,-0.0006,,,,,,
0.07,1.9601,0.0402,-0.0006,4116.823745699677,84.57029011139858,102.95513578778959,412.2036142448766,35.56263279665604,90.38197045346354
0.08,2.0101,0.0404,-0.0006,,,,,,
0.09,1.9755,0.0423,-0.0004,3293.1412533343687,87.75775771931634,106.83553113655903,387.87870782625174,38.34078354545478,96.96061648286515
0.1,1.9216,0.0427,-0.0002,,,,,,
0.11,1.9172,0.0428,-0.0002,2861.873802255052,89.55085379389263,109.01843070560842,373.1849555379958,40.40535537431294,102.14368781117285
0.12,1.9153,0.0435,-0.0001,,,,,,
0.13,1.9175,0.0438,0.0,2529.8641389088784,91.608632460052,111.5235525600633,360.50385155580443,42.408246909787344,106.87381187262706
0.14,1.9197,0.0438,0.0,,,,,,
0.15,1.937,0.0438,0.0,2229.6583565582164,93.42792171637622,113.73833948080585,346.95300971012,44.19368436435733,110.82231997216148
0.16,1.9908,0.0439,0.0,,,,,,
0.17,2.0485,0.0438,-0.0001,1918.1901316579028,95.89482677599129,116.74152824903287,331.0897352723975,46.128757172918206,114.43518947976816
0.18,2.1292,0.0442,-0.0001,,,,,,
0.19,2.1715,0.0446,-0.0002,1698.7625941072174,98.44160556505366,119.84195460093491,319.45966498599853,48.050679483975124,118.02933788619525
0.2,2.2984,0.0447,-0.0002,,,,,,
0.21,2.4137,0.0453,-0.0002,1458.2112541793506,101.7499054223822,123.86945007942182,305.18347284565294,50.229323790693236,121.39641443017031
0.22,2.4944,0.0454,-0.0002,,,,,,
0.23,2.5598,0.0453,-0.0001,1303.7484701627739,103.98735136932575,126.59329731917919,295.1809390667129,51.95364005864306,124.27689350225486
0.24,2.5905,0.0452,-0.0001,,,,,,
0.25,2.5867,0.045,0.0,1217.8535739692225,105.19822548832003,128.06740494230266,289.3676966133715,53.22273854347383,126.82665120135572
0.26,2.6021,0.0449,-0.0004,,,,,,
0.27,2.6444,0.0447,-0.0005,1133.039464364097,106.55562753489463,129.7198943903065,283.3121716997967,54.51645195013115,129.22900088296572
0.28,2.6866,0.0445,-0.0006,,,,,,
0.29,2.7328,0.0444,-0.0006,1050.2700512879164,108.05442471470312,131.54451704398642,277.09869889523856,55.84300537143119,131.50344587018958
0.3,2.7251,0.0445,-0.0007,,,,,,
0.31,2.6982,0.0443,-0.0007,1016.5668148360968,108.68921261619482,132.3173023153676,274.67482504447133,56.77309349534327,133.68931467111906
0.32,2.6636,0.0444,-0.0006,,,,,,
0.33,2.6434,0.0445,-0.0006,997.0942936798069,109.18879112899747,132.92548485269256,273.4506809658864,57.61957289410826,135.87970301341613
0.34,2.651,0.0446,-0.0002,,,,,,
0.35,2.6585,0.0449,-0.0002,963.9288968224804,110.18649266466075,134.14007802654353,271.1519667324068,58.66145967623999,138.08398319227172
0.36,2.6789,0.0551,0.0015,,,,,,
0.37,2.802,0.062,0.0062,1136.6618130247466,115.37509844307708,140.45664158287644,292.8177804041037,61.65691959262938,146.09554585110686
0.38,3.1479,0.0705,0.013,,,,,,
0.39,3.6631,0.0777,0.0385,1072.0932136982474,124.28268729004205,151.3006627878773,294.26267886227254,66.2571806317159,152.7658617893118
0.4,3.9475,0.0862,0.0167,,,,,,
0.41,4.2935,0.096,0.0064,1096.3273144304574,131.34571759256005,159.8991344605079,302.7193597976703,69.95602089552028,159.21065765843576
0.42,4.5011,0.1083,0.0065,,,,,,
0.43,4.947,0.1231,0.0067,1176.1023082309619,138.9162200893213,169.11539836960858,316.9851112307435,73.85819794288265,166.6091895005902
0.44,5.1546,0.1514,0.0093,,,,,,
0.45,5.3699,0.1667,0.0105,1388.5748882960474,146.4945119972497,178.3411450401301,343.14188469223427,77.61518360230339,175.41870445985612
0.46,5.6928,0.1816,0.0099,,,,,,
0.47,5.812,0.1941,0.0117,1455.890704083367,151.85963480879872,184.872598897668,353.7849268756631,80.46926493143404,181.0088639033565
0.48,5.8428,0.2045,0.0136,,,,,,
0.49,5.9004,0.2048,0.0132,1470.1589725381552,153.98386707153878,187.45862078274286,357.0047950005947,81.94824340529605,184.2284847943605
0.5,5.9619,0.2042,0.0137,,,,,,
0.51,5.9581,0.2036,0.0142,1418.0194816308388,154.89142155325717,188.56346971700876,353.3839175935479,82.94045407344213,185.9738655500284
0.52,5.885,0.2023,0.0165,,,,,,
0.53,5.8735,0.1934,0.0155,1339.2409691053283,154.3344650048986,187.88543565813742,345.98811767099477,83.30356083969234,186.52228582727736
0.54,5.8697,0.1887,0.0188,,,,,,
0.55,5.8274,0.1824,0.006,1254.597336038759,153.81341528571488,187.2511142608703,337.8174200404836,83.66274067808372,186.83974161037057
0.56,5.6659,0.1784,-0.001,,,,,,
0.57,5.5045,0.1675,-0.0042,1188.7848625271176,151.58455366830262,184.53771750923798,329.7402085195813,83.21615328052224,186.38001041052925
0.58,5.4045,0.1574,-0.0056,,,,,,
0.59,5.2777,0.1423,-0.007,1050.2164398302398,148.41894485468367,180.68393286657144,313.3131868842237,82.38776579618931,184.01280355781628
0.6,5.1047,0.129,-0.0066,,,,,,
0.61,5.0009,0.1183,-0.0072,923.1553291724681,144.71658586412153,176.17671322588708,296.73493812671273,81.25688835528088,181.09613305671246
0.62,4.9201,0.115,-0.0073,,,,,,
0.63,4.6933,0.115,-0.0072,922.5786442142544,143.3652689913249,174.53163181552597,295.58134791541397,81.05229080517562,181.8245716864054
0.64,4.5972,0.1151,-0.0072,,,,,,
0.65,4.5088,0.1152,-0.0066,929.8650033227308,143.00212289790804,174.08954091919242,296.0725276043272,81.30047290872997,183.25494732968085
0.66,4.3819,0.1173,-0.0061,,,,,,
0.67,4.2512,0.1192,-0.0041,971.0145710860485,142.64889274949593,173.659521608082,300.18975923864207,81.52732796825978,185.40591233371651
0.68,4.0014,0.1238,-0.0019,,,,,,
0.69,3.8668,0.1261,0.0025,1052.4208185666373,141.6645929786448,172.46124362617627,307.7434293329569,81.46215010802298,188.0303434323518
0.7,3.7476,0.1283,0.001,,,,,,
0.71,3.6169,0.1315,0.0014,1109.5775283666828,141.0991211114302,171.7728430921759,312.8456895883015,81.60916562991257,190.33565703362473
0.72,3.5439,0.1333,0.0021,,,,,,
0.73,3.4593,0.1362,0.0022,1148.340257981526,140.946481883347,171.58702142320504,316.34178360747967,81.95445804900285,192.49168575774635
0.74,3.4593,0.1363,0.0023,,,,,,
0.75,3.3017,0.1361,0.0041,1157.4995074029425,140.18863124125977,170.66442064153364,316.41617706158445,82.01500098099973,193.72714117121475
0.76,3.2287,0.1359,0.0039,,,,,,
