Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
0.01,0.248,0.0,0.0,,,,,,,
0.02,3.093,0.0003,0.0002,1392.7949829364777,70.80885371666872,86.20208278550976,242.36038654308794,17.853358853953345,34.94418523462056,2.13264037549091
0.03,6.105,0.0025,-0.0002,,,,,,,2.13264037549091
0.04,11.539,0.0002,-0.0002,4319.392548299321,127.28450330005862,154.95504749572356,431.85449383084375,25.30044775648324,39.89099574344929,2.0873661238150185
0.05,19.16,0.0002,-0.0002,,,,,,,2.0873661238150185
0.06,24.176,0.0001,-0.0004,24875.568453765893,205.21601094285927,249.82818723478522,1033.5706268138683,29.74070306711293,40.61337364381125,2.4209431272816215
0.07,27.078,0.0001,-0.0004,,,,,,,2.4209431272816215
0.08,26.671,0.0006,-0.0006,1999.7384778813246,166.05259778446435,202.15098860717399,367.5129403309597,37.91517390395333,55.17646531353186,1.76881831314439
0.09,26.565,0.004,-0.0002,,,,,,,1.76881831314439
0.1,29.976,0.0136,-0.0002,137.11908832787037,106.35267809027242,129.4728255012012,123.2129450231543,53.15657154271591,87.66938070773878,1.000842311021171
0.11,4.314,0.0174,0.0006,,,,,,,1.000842311021171
0.12,9.902,0.0221,0.0006,326.7339498373254,106.5195263270434,129.67594509379197,169.3874037720072,49.63623921229858,96.99111587008485,1.5801511745022094
0.13,16.858,0.0235,-0.0002,,,,,,,1.5801511745022094
0.14,12.387,0.0438,-0.0002,386.586143988725,118.3983189518817,144.1370839414212,189.69476356100716,56.633172646222256,110.41033617681614,1.5769675845234148
0.15,26.105,0.0632,0.0,,,,,,,1.5769675845234148
0.16,27.774,0.1012,0.0,329.10872063492764,137.88276953387947,167.85728464994023,193.24995088708636,70.77454643215977,128.10276449203675,1.290048873058512
0.17,32.035,0.116,0.0018,,,,,,,1.290048873058512
0.18,35.018,0.1236,0.0029,309.753619244277,143.8197898610217,175.08496156993945,195.81673614442607,76.87746694677605,135.68563026466597,1.2026393790177443
0.19,41.546,0.1345,0.0008,,,,,,,1.2026393790177443
0.2,38.551,0.185,0.0004,407.56537466822795,158.18509187760466,192.57315532925787,225.23112871540417,82.99817606001896,146.95668028360706,1.2623150205318188
0.21,37.131,0.185,-0.0002,,,,,,,1.2623150205318188
0.22,37.924,0.2454,-0.0002,540.3326495224205,170.5256796888553,207.59647962121517,256.77239431361886,87.04314061693641,156.15660228081418,1.3626860982036095
0.23,34.099,0.438,-0.0002,,,,,,,1.3626860982036095
0.24,35.438,0.4315,-0.0006,1013.7557564090265,193.9962974654091,236.16940561006328,335.8043884172717,92.54298846847432,171.69860856411282,1.5974158740523985
0.25,33.289,0.4057,-0.0002,,,,,,,1.5974158740523985
0.26,29.707,0.4068,-0.0006,1076.0263637738692,191.712755540829,233.38944152796577,342.75828674432967,91.80169474876391,173.64676235165277,1.6835803866605972
0.27,25.006,0.3867,-0.0006,,,,,,,1.6835803866605972
0.28,22.011,0.4012,-0.0018,1316.3562660725324,188.32145367605096,229.26090012736643,366.31197031557235,89.64928699900432,176.22324406246142,1.8610416989761556
0.29,16.212,0.4101,-0.0004,,,,,,,1.8610416989761556
0.3,16.171,0.3953,0.0002,1606.139435647512,183.15543895680258,222.97183873002055,390.01318596299586,87.30931234914415,178.57331942102996,2.043785590357838
0.31,15.396,0.3856,0.0,,,,,,,2.043785590357838
0.32,15.055,0.3268,-0.0002,1368.2628687314602,177.831126987441,216.4900676368847,365.4508605906106,86.60061104655027,176.98408046083446,2.0231402789486457
0.33,15.01,0.3039,-0.0006,,,,,,,2.0231402789486457
0.34,14.417,0.2798,-0.0016,1188.6718806157937,174.15899961946977,212.01965171065888,345.91445562666627,86.40429027792221,176.07179752569763,1.9982569986677414
0.35,13.098,0.2717,-0.0008,,,,,,,1.9982569986677414
0.36,11.076,0.238,-0.0018,1216.0494186153092,165.91646191676182,201.9852579856231,342.8953675968809,83.39057146985641,174.57728146378636,2.1075317853407958
0.37,10.357,0.225,-0.0006,,,,,,,2.1075317853407958
0.38,8.636,0.2385,-0.0012,1424.1970082570945,161.41222176941534,196.50183519754913,359.3415870830735,81.68799148922199,176.70433691729144,2.2609072977682807
0.39,7.9,0.1588,-0.0002,,,,,,,2.2609072977682807
0.4,7.179,0.1575,-0.0006,1104.9738945467657,150.06759451938748,182.6909846322978,320.0389454325209,77.95392666748232,169.38005869508774,2.2454814294067686
0.41,6.26,0.1526,0.0002,,,,,,,2.2454814294067686
0.42,5.84,0.1486,0.0002,1187.7513495015555,145.31686990864378,176.90749380182723,324.6695528549392,76.3347235137622,169.9322180781453,2.3547407356625305
0.43,5.397,0.1481,0.0002,,,,,,,2.3547407356625305
0.44,5.254,0.0209,0.0012,326.16852848736755,117.03111538844973,142.47266221202577,190.9473903666312,64.71729827463824,133.13858172374185,1.9319993053161917
0.45,5.202,0.1166,0.0014,,,,,,,1.9319993053161917
0.46,4.973,0.1156,0.001,1033.7435611159563,139.2387669502627,169.50806411336328,304.4369454869457,74.92091255970445,168.10358751300163,2.3793601453631665
0.47,5.01,0.1097,0.001,,,,,,,2.3793601453631665
0.48,4.896,0.108,0.001,968.2019534092464,138.58075845019903,168.7070102871988,297.0637488209892,75.21669065121397,168.40838190551352,2.369336270443092
0.49,4.843,0.1048,0.001,,,,,,,2.369336270443092
0.5,4.766,0.0982,0.0006,896.556042905337,137.25086989086302,167.0880155193115,288.18669589180394,75.1849506803672,168.0320012353371,2.358757598657218
0.51,4.493,0.0949,0.0012,,,,,,,2.358757598657218
