Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
0.01,0.25,0.02,0.006,11572.176458734852,40.022643096051,48.72321768214904,480.84952244144966,14.5246833736939,49.686500630955656,3.734308996746709
0.02,0.453,0.026,0.008,,,,,,,3.734308996746709
0.03,1.022,0.032,0.003,12291.224808559706,65.61051425923014,79.87366953297582,599.7726462931632,25.104172417164893,70.47107016076158,2.99965418606045
0.04,1.693,0.035,0.002,,,,,,,2.99965418606045
0.05,1.999,0.039,0.002,3829.5299127817307,81.19382104047492,98.84465170144773,401.2194889677786,32.397156135936434,82.69201601953479,2.6431484393720126
0.06,2.355,0.043,0.003,,,,,,,2.6431484393720126
0.07,2.44,0.05,0.003,2959.745251061911,89.75220827392269,109.2635578986885,377.2439830173729,37.3726353555917,93.13273240059934,2.5851504747444856
0.08,2.457,0.055,-0.001,,,,,,,2.5851504747444856
0.09,2.406,0.059,-0.001,2930.682043910072,93.77389298108451,114.15952189001594,384.3363139443803,40.54940885803363,101.39474782100496,2.6369220205932145
0.1,2.355,0.064,-0.003,,,,,,,2.6369220205932145
0.11,2.262,0.067,-0.006,3046.2863397578676,96.16322245807194,117.06827081852238,395.8034995101463,42.947326372221056,108.4039417951832,2.7086568449068746
0.12,2.185,0.071,-0.009,,,,,,,2.7086568449068746
0.13,2.084,0.073,-0.011,3169.266228023557,97.41834641207106,118.59624780599955,405.454560733703,44.778665161367556,114.28237005191374,2.782164110217572
0.14,2.041,0.077,-0.015,,,,,,,2.782164110217572
0.15,1.939,0.079,-0.016,3282.1453145462137,98.48362681114226,119.89311090052101,413.69384490278685,46.4178954614653,119.65488717586523,2.8481655490419433
0.16,1.837,0.082,-0.022,,,,,,,2.8481655490419433
0.17,1.761,0.085,-0.024,3487.6073045130483,98.78087850581268,120.25498252881545,424.93616298665887,47.688508669263854,124.59666330774868,2.9276554100604972
0.18,1.727,0.086,-0.024,,,,,,,2.9276554100604972
0.19,1.676,0.088,-0.023,3448.1513388599483,99.44207485279624,121.05991721209978,424.489065331184,48.97775155938178,128.68466358803917,2.967776076272107
