d,vs
0.0,110.0
0.1,110.0
1.0,132.0
1.1,132.0
1.5,128.0
2.0,108.0
2.1,108.0
2.5,65.0
3.0,56.0
3.1,56.0
3.5,44.0
4.0,61.0
4.1,61.0
4.5,74.0
5.0,94.0
5.1,94.0
5.5,166.0
6.0,99.0
6.1,99.0
6.5,144.0
7.0,114.0
7.1,114.0
7.5,96.0
8.0,104.0
8.1,104.0
8.5,126.0
9.0,160.0
9.1,160.0
9.5,160.0
10.0,164.0
10.1,164.0
10.5,164.0
11.0,170.0
11.1,170.0
11.5,164.0
12.0,168.0
12.1,168.0
12.5,162.0
13.0,164.0
13.1,164.0
13.5,162.0
14.0,176.0
14.1,176.0
14.5,194.0
15.0,196.0
15.1,196.0
15.5,260.0
16.0,280.0
16.1,280.0
16.5,264.0
17.0,262.0
17.1,262.0
17.5,266.0
18.0,235.0
18.1,235.0
18.5,250.0
19.0,250.0
