File Name,,,depth_input,vs_input,Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic,Subset_Region,Subset_Geology
SCPT_140254,SCPT,140254,16.01,207,16.01,10.4709,0.1222,0.0095,240.1247441,240.7335077,293.0668789,233.0366943,224.7725233,417.9630607,1.938850126,7,2
SCPT_140254,SCPT,140254,16.51,207,16.51,10.2629,0.1012,0.0074,216.2624605,235.1102546,286.2211795,224.4980946,222.5381052,410.9666974,1.897754311,7,2
SCPT_140254,SCPT,140254,17.01,189,17.01,5.3928,0.0612,-0.0059,166.8169414,205.5989531,250.2943777,185.1391009,196.1712012,386.0300007,2.155633111,7,2
SCPT_140254,SCPT,140254,17.51,189,17.51,9.6215,0.0836,0.0183,192.6065361,229.4454794,279.3249314,214.2376029,220.5877818,406.6998039,1.885110977,7,2
SCPT_140254,SCPT,140254,18.01,273,18.01,9.5229,0.1321,0.0305,233.7493607,244.1731083,297.2542188,228.8014095,230.5835585,434.6753208,2.019697293,7,2
SCPT_140254,SCPT,140254,18.51,273,18.51,10.8927,0.1141,0.0233,216.1594526,243.7950537,296.7939785,228.1560158,234.0232649,429.8683953,1.895012619,7,2
SCPT_140254,SCPT,140254,19.01,265,19.01,3.6951,0.079,0.3152,163.0222322,200.6733173,244.2979515,171.9994606,195.7113769,409.2928771,2.453880369,7,2
SCPT_140254,SCPT,140254,19.51,265,19.51,3.6719,0.054,0.0317,138.6076032,194.7503784,237.0874171,163.1129457,190.8280919,392.0904149,2.356821001,7,2
SCPT_140254,SCPT,140254,20.01,236,20.01,1.4275,0.0405,0.2594,94.17043401,158.0790694,192.4440845,118.365597,163.7729762,377.4750794,2.85652089,7,2
SCPT_140254,SCPT,140254,20.51,236,20.51,2.1782,0.0434,0.7258,102.6314633,170.870965,208.0168269,131.8242546,176.2552252,384.4701753,2.617930321,7,2
SCPT_140254,SCPT,140254,21.01,398,21.01,1.0831,0.0104,0.7715,39.33055222,130.0587346,158.3323726,79.75557509,142.5142543,319.5982761,2.715975021,7,2
SCPT_140254,SCPT,140254,21.51,398,21.51,3.6797,0.0237,1.1663,90.08585944,178.002582,216.6987955,139.6389408,183.17785,361.0954999,2.16440281,7,2
SCPT_140254,SCPT,140254,22.01,350,22.01,3.1727,0.0537,1.1298,114.7665023,187.4675981,228.2214237,146.9429212,193.1344903,403.5058709,2.444085753,7,2
SCPT_140254,SCPT,140254,22.51,350,22.51,5.3734,0.0508,0.0357,130.8863783,208.416981,253.7250203,171.6557613,208.6991976,404.461215,2.110977754,7,2
SCPT_140254,SCPT,140254,23,350,23,23.4072,0.1483,-0.0362,232.829364,273.4013374,332.8364107,265.61341,280.2683883,472.1019603,,7,2
SCPT_114322,SCPT,114322,0.1,244,0.1,3.8979,0.01,0,671.005757,88.58611071,107.8439609,197.6325308,38.62757486,82.97206569,1.981699094,4,1
SCPT_114322,SCPT,114322,0.5,244,0.5,5.474,0.031,-0.0019,400.7240858,123.9457547,150.890484,207.5782298,69.69961754,144.7903581,1.986355462,4,1
SCPT_114322,SCPT,114322,1,244,1,3.5664,0.0167,0.0012,275.9151875,120.7214528,146.9652469,182.8137385,75.47870103,158.708212,2.114428443,4,1
SCPT_114322,SCPT,114322,1.5,244,1.5,5.3058,0.0272,0.0024,272.0452527,139.714413,170.0871114,192.9416913,93.15464993,187.9178167,1.977487313,4,1
SCPT_114322,SCPT,114322,2,262,2,8.374,0.0425,0.0026,267.827073,159.3589722,194.002227,204.9644613,111.8311494,214.9020751,1.802743796,4,1
SCPT_114322,SCPT,114322,2.5,262,2.5,15.3453,0.0877,0.0002,304.1034008,188.0928175,228.9825605,234.4998546,137.8778704,250.9601369,1.613473124,4,1
SCPT_114322,SCPT,114322,3,241,3,7.891,0.0392,-0.0037,238.8779792,165.1472795,201.048862,200.6253332,123.2784853,235.5252095,1.820233997,4,1
SCPT_114322,SCPT,114322,3.5,241,3.5,5.3567,0.02,-0.0047,190.6987972,151.1425111,183.9995787,177.584925,115.0841313,223.7364332,1.912828454,4,1
SCPT_114322,SCPT,114322,4,154,4,9.3342,0.0353,-0.0041,204.2654859,171.7281117,209.0603099,196.8103681,135.6272337,250.1901546,1.69884966,4,1
SCPT_114322,SCPT,114322,4.5,154,4.5,8.4894,0.0393,-0.0009,213.6406968,174.9059393,212.9289696,199.5160262,139.4773769,261.1964336,1.777413263,4,1
SCPT_114322,SCPT,114322,5,173,5,11.5517,0.0408,-0.0005,198.3534574,182.1693829,221.7714226,203.3094613,150.6042708,270.1771197,1.60327523,4,1
SCPT_114322,SCPT,114322,5.5,173,5.5,11.9154,0.025,-0.0109,161.4745803,175.1431182,213.2177092,190.4795799,149.1513929,259.7567972,1.495498047,4,1
SCPT_114322,SCPT,114322,6,158,6,12.1031,0.0158,-0.0746,141.2500916,170.7713289,207.8955309,182.9334653,147.4244521,250.1905363,1.427161824,4,1
SCPT_114322,SCPT,114322,6.5,158,6.5,1.9971,0.0185,-0.0392,175.511825,139.906018,170.3203698,156.6677748,117.8258449,257.1473884,2.472972414,4,1
SCPT_114322,SCPT,114322,7,210,7,7.234,0.0158,-0.0248,141.6246032,167.0233107,203.332726,173.040272,142.8874616,259.1518908,1.704961623,4,1
SCPT_114322,SCPT,114322,7.5,210,7.5,11.9936,0.0066,-0.0559,126.7515268,170.9342882,208.0939161,178.736427,145.7054302,236.3062419,1.391608468,4,1
SCPT_114322,SCPT,114322,8,187,8,8.2391,0.0334,-0.0719,174.8857999,184.1817405,224.2212493,191.9818123,160.7809104,295.7372793,1.760867098,4,1
SCPT_114322,SCPT,114322,8.5,187,8.5,9.2325,0.0349,-0.0615,172.6722036,188.245903,229.1689254,195.0439791,166.8233263,302.2827831,1.702962112,4,1
SCPT_114322,SCPT,114322,9,203,9,3.0707,0.0523,-0.0379,226.0095169,171.5411306,208.8326807,184.64816,149.5874176,320.6224191,2.457135658,4,1
SCPT_114322,SCPT,114322,9.5,203,9.5,4.2616,0.0278,-0.0443,162.1903854,171.1359854,208.3394605,172.1557533,151.0564137,300.1293647,2.111233113,4,1
SCPT_114322,SCPT,114322,10,232,10,11.6338,0.0445,-0.033,178.3269022,200.7272704,244.3636335,206.4550034,184.1177307,325.6363638,1.617475277,4,1
SCPT_114322,SCPT,114322,10.5,232,10.5,7.3161,0.0576,-0.0641,203.6412943,200.0052422,243.4846426,203.2823709,178.3527382,339.7592116,1.955533881,4,1
SCPT_114322,SCPT,114322,11,197,11,19.8117,0.0701,-0.0588,201.9602052,220.089146,267.9346126,235.1051134,211.9709352,355.2815607,1.402554922,4,1
SCPT_114322,SCPT,114322,11.5,197,11.5,2.7598,0.0675,-0.0594,220.2053977,177.9583939,216.6450013,181.350347,161.0684249,352.3613732,2.589280285,4,1
SCPT_114322,SCPT,114322,12,223,12,3.6319,0.0585,-0.0539,199.0015111,184.8376621,225.0197626,182.760611,167.5573277,350.3223649,2.384109966,4,1
SCPT_114322,SCPT,114322,12.5,223,12.5,6.1936,0.0747,-0.0537,214.525002,206.3010421,251.1490947,204.0234663,186.7601572,366.8343926,2.123548455,4,1
SCPT_114322,SCPT,114322,13,222,13,5.65,0.0205,-0.0447,126.3876945,179.4612144,218.4745218,167.3300695,167.3649923,312.9540556,1.886610205,4,1
SCPT_114322,SCPT,114322,13.5,222,13.5,5.7761,0.0309,-0.0465,143.1912356,187.7935005,228.6181745,175.7880527,175.5466563,333.3227053,1.953926808,4,1
SCPT_114322,SCPT,114322,14,194,14,6.3657,0.0459,-0.0408,164.381369,198.7914762,242.0070145,187.6511217,185.8342323,354.4167667,1.984459727,4,1
SCPT_114322,SCPT,114322,14.5,194,14.5,8.7358,0.035,-0.0373,146.7037029,200.23489,243.7642139,189.9337201,192.0363141,346.0033834,1.736046753,4,1
SCPT_114322,SCPT,114322,15,229,15,6.0802,0.0503,-0.0238,164.9217677,201.3356196,245.1042325,187.1453432,189.6205965,364.851112,2.033991338,4,1
SCPT_114322,SCPT,114322,15.5,229,15.5,6.3227,0.0489,-0.0144,160.3898253,202.4782615,246.4952749,186.8213193,191.987362,366.6490008,2.003609418,4,1
SCPT_114322,SCPT,114322,16,250,16,6.9797,0.0421,-0.0289,149.6255546,202.305537,246.2850016,185.6409556,194.0399192,362.7464538,1.909266292,4,1
SCPT_114322,SCPT,114322,16.5,250,16.5,10.3666,0.0789,-0.0211,192.9055538,227.7400614,277.2487704,216.3270365,218.2666505,397.849588,1.824375286,4,1
SCPT_114322,SCPT,114322,17,227,17,5.7712,0.1099,0.0309,216.3260131,221.5609369,269.726358,204.684763,207.9254996,416.7027839,2.273536063,4,1
SCPT_114322,SCPT,114322,17.5,227,17.5,4.3594,0.0953,-0.0344,195.5340116,209.7156522,255.3060114,188.8077549,198.9411202,411.2086262,2.404902728,4,1
SCPT_114322,SCPT,114322,18,171,18,3.014,0.0678,-0.04,158.4628392,191.0540843,232.5875809,164.8470654,184.8299184,395.1383841,2.536723556,4,1
SCPT_114322,SCPT,114322,18.5,171,18.5,4.817,0.0949,-0.0455,189.1166991,214.4895955,261.1177684,190.0820448,204.8917615,417.1107256,2.342615197,4,1
SCPT_114322,SCPT,114322,19,162,19,1.0898,0.0249,0.1325,74.63108738,143.8481135,175.1194425,103.639268,149.133019,349.033167,2.900099469,4,1
SCPT_114322,SCPT,114322,19.5,162,19.5,1.0272,0.0245,0.157,69.61092325,142.0231302,172.8977237,99.53283094,148.7395802,350.4421613,2.931808608,4,1
SCPT_114322,SCPT,114322,20,162,20,1.0429,0.0243,0.4253,62.4254315,139.8169281,170.2119125,94.76773352,150.0156011,352.3580157,2.920759702,4,1
SCPT_126232,SCPT,126232,0.5,184.3,0.5,7.2237,0.0075,-0.0005,210.9235844,115.3767847,140.4586945,158.4988726,64.47969375,120.6457292,1.628475891,6,1
SCPT_126232,SCPT,126232,1,184.3,1,6.3762,0.0101,-0.0001,192.0621915,125.6384396,152.9511438,165.5658126,78.71063482,149.3053233,1.717522038,6,1
SCPT_126232,SCPT,126232,1.5,184.3,1.5,2.851,0.0062,0.0006,203.8744057,115.0118412,140.0144154,158.95818,75.34584408,154.3436417,2.090675683,6,1
SCPT_126232,SCPT,126232,2,184.3,2,2.4911,0.0056,0.0003,193.5994281,115.9726156,141.1840538,155.3670684,79.37506525,163.6507811,2.151000992,6,1
SCPT_126232,SCPT,126232,2.5,184.3,2.5,0.5756,0.0007,-0.0006,158.2199568,82.99655468,101.039284,122.7204848,57.5500461,130.7152376,2.726986704,6,1
SCPT_126232,SCPT,126232,3,184.3,3,0.1499,0.0099,-0.0021,281.3081637,68.80793365,83.7661801,121.9033119,62.14564332,191.2515397,3.874617896,6,1
SCPT_126232,SCPT,126232,4,184.3,4,0.2217,0.0111,-0.0023,262.0644757,79.12418672,96.32509687,126.8651943,71.90226439,209.3782601,3.666816082,6,1
SCPT_126232,SCPT,126232,4.5,184.3,4.5,0.3299,0.0019,0.0027,145.6239749,80.72107524,98.26913508,110.4618082,67.95078905,171.9873555,3.110172795,6,1
SCPT_126232,SCPT,126232,5,184.3,5,0.1729,0.0014,0.0091,90.23561352,68.91454618,83.89596926,81.00572934,62.1587955,168.9489489,3.423490129,6,1
SCPT_126232,SCPT,126232,5.5,184.3,5.5,0.3625,0.0024,0.0118,132.8923389,85.2507215,103.783487,108.1230903,74.25685256,186.6542386,3.09121455,6,1
SCPT_126232,SCPT,126232,6,184.3,6,3.5436,0.0127,0.016,174.8351236,147.4929712,179.5566606,163.3464355,121.305255,240.9863236,2.070788398,6,1
SCPT_126232,SCPT,126232,6.5,184.3,6.5,6.1557,0.0362,0.0209,228.521125,175.4356359,213.5738177,194.9626192,146.4996205,282.9434221,1.950333882,6,1
SCPT_126232,SCPT,126232,7,210.8,7,9.7545,0.0374,0.022,202.0493543,185.8479305,226.2496545,198.6119983,160.2318854,290.51127,1.684824555,6,1
SCPT_126232,SCPT,126232,7.5,210.8,7.5,5.3276,0.0114,0.0209,143.7626142,159.0098816,193.5772472,163.1483815,135.6527208,252.1878851,1.82827589,6,1
SCPT_126232,SCPT,126232,8,149.3,8,3.861,0.0142,-0.0074,155.9974662,156.0917169,190.0246988,162.2039322,134.2769733,263.136192,2.040580554,6,1
SCPT_126232,SCPT,126232,8.5,149.3,8.5,1.4463,0.0163,-0.0205,179.0130018,134.941964,164.2771736,150.0216442,119.9181895,270.0679478,2.636799245,6,1
SCPT_126232,SCPT,126232,9,139.2,9,0.7072,0.0074,0.2041,117.8817763,108.9788573,132.6699133,114.3961079,102.9384341,245.9630368,2.898901307,6,1
SCPT_126232,SCPT,126232,9.5,139.2,9.5,0.4945,0.0036,0.2454,75.91732185,95.93653448,116.7923028,90.36772927,93.48846723,226.4539932,2.979307221,6,1
SCPT_126232,SCPT,126232,10,120.2,10,0.4905,0.0027,0.2492,66.08263632,95.00357077,115.6565209,85.57677242,92.48536889,220.9773563,2.940720924,6,1
SCPT_126232,SCPT,126232,10.5,120.2,10.5,0.4924,0.0027,0.2871,61.6098212,95.02855861,115.6869409,82.98508576,93.80056168,223.7283867,2.93858567,6,1
SCPT_126232,SCPT,126232,11,135.5,11,0.4905,0.0019,0.2769,54.0885525,94.28051477,114.7762788,78.93056365,92.23878126,216.2622921,2.894459655,6,1
SCPT_126232,SCPT,126232,11.5,135.5,11.5,0.5872,0.0038,0.2354,71.72076878,103.1487153,125.5723491,91.28995682,101.5123898,239.6498676,2.891282201,6,1
SCPT_126232,SCPT,126232,12,159.2,12,0.773,0.0029,0.224,72.64637436,109.6677761,133.508597,96.86824079,104.4977863,234.3564327,2.701218273,6,1
SCPT_126232,SCPT,126232,12.5,159.2,12.5,0.7724,0.0048,0.2357,80.48534521,112.7456148,137.255531,100.4114093,110.1922664,252.8188097,2.773899069,6,1
SCPT_126232,SCPT,126232,13,134.9,13,0.5679,0.0038,0.3266,58.42801375,102.3926129,124.6518766,82.9533207,104.5276683,247.1387825,2.910029906,6,1
SCPT_126232,SCPT,126232,13.5,134.9,13.5,1.0555,0.016,0.1878,126.3502222,132.0699144,160.7807654,125.4517719,130.1279402,302.1644638,2.819116869,6,1
SCPT_126232,SCPT,126232,14,130.1,14,1.0593,0.0178,0.2148,126.1079225,133.4912998,162.5111476,125.2990475,132.6871937,309.2216471,2.840266953,6,1
SCPT_126232,SCPT,126232,14.5,130.1,14.5,1.4385,0.0143,0.2361,116.8825231,140.6637098,171.2427771,128.5964974,137.5023243,303.9121604,2.613022631,6,1
SCPT_126232,SCPT,126232,15,162.5,15,1.9648,0.0136,0.176,116.1100703,149.9385357,182.5338696,135.4052667,144.5748548,305.2400091,2.421158946,6,1
SCPT_126232,SCPT,126232,15.5,162.5,15.5,0.7691,0.0089,0.428,70.46286144,117.243837,142.7316277,93.89640168,123.0583055,289.2615098,2.885182639,6,1
SCPT_126232,SCPT,126232,16,207.4,16,1.0748,0.0085,0.308,81.74159208,128.6819346,156.6562682,106.9928961,129.7824988,290.5751001,2.682769255,6,1
SCPT_126232,SCPT,126232,16.5,207.4,16.5,2.166,0.0259,-0.0292,142.3740965,163.563222,199.1204441,148.7868917,158.8243392,340.2483558,2.497856444,6,1
SCPT_126232,SCPT,126232,17,174.5,17,1.2412,0.0054,0.428,68.87093288,129.2922577,157.3992703,103.0988818,129.7730523,278.4639315,2.526507367,6,1
SCPT_126232,SCPT,126232,17.5,174.5,17.5,0.9084,0.0114,0.3916,73.81072214,126.5494862,154.060244,98.8668334,133.0752863,308.4162577,2.836817033,6,1
SCPT_126232,SCPT,126232,18,217.6,18,0.9819,0.0041,0.5593,51.8708744,120.1843034,146.3113259,88.03886026,124.5954907,272.1115012,2.616668695,6,1
SCPT_126232,SCPT,126232,18.5,217.6,18.5,1.4347,0.007,0.4436,72.25416041,136.6960617,166.4125968,107.8262989,138.6143839,294.5621764,2.485186153,6,1
SCPT_126232,SCPT,126232,19,221.8,19,0.9316,0.0024,0.5278,42.55256362,116.9865544,142.4184141,80.97315366,120.0709377,257.2078245,2.579145436,6,1
SCPT_126232,SCPT,126232,19.5,221.8,19.5,1.4618,0.0067,0.5547,67.65690259,136.9086899,166.6714486,105.3823001,140.525623,296.8577609,2.467798976,6,1
SCPT_126232,SCPT,126232,20,209.3,20,7.3359,0.2376,0.4948,362.4382065,255.8641338,311.4867715,251.6154376,240.0627109,480.8224491,2.359836824,6,1
SCPT_126232,SCPT,126232,20.5,209.3,20.5,1.6707,0.0365,0.425,124.3512051,161.1996773,196.2430855,134.3466664,167.2064723,375.1293144,2.735173878,6,1
SCPT_126232,SCPT,126232,21,342,21,6.1789,0.0576,0.1834,173.9971076,212.9335783,259.2234866,190.3718573,211.0576319,404.3792873,2.057735766,6,1
SCPT_126232,SCPT,126232,21.5,342,21.5,6.7729,0.1955,0.8557,300.7604394,247.7808458,301.6462471,233.2437581,238.2497467,477.1594148,2.347490169,6,1
SCPT_126232,SCPT,126232,22,405,22,5.8074,0.0869,1.1182,193.5434332,219.5605649,267.2911225,195.0959694,219.2619844,431.4383332,2.203776174,6,1
SCPT_126232,SCPT,126232,22.5,405,22.5,7.7152,0.1972,0.7102,292.4410176,255.1538363,310.6220616,236.7277674,246.025335,483.688988,2.27018514,6,1
SCPT_126232,SCPT,126232,23,219.6,23,8.1756,0.1947,0.5479,286.4587844,258.1296178,314.2447521,237.7782248,249.3436789,485.788374,2.230619476,6,1
SCPT_126232,SCPT,126232,23.5,219.6,23.5,6.4696,0.1941,1.1171,271.1333748,247.5748728,301.3954973,223.8265834,242.46394,487.3979937,2.373394066,6,1
SCPT_126232,SCPT,126232,24,265.7,24,7.2237,0.1163,1.2282,208.4733709,237.1904275,288.7535639,208.6734836,237.4767308,458.810538,2.152187411,6,1
SCPT_126232,SCPT,126232,24.5,265.7,24.5,5.5397,0.2669,1.5758,294.8789435,249.3094711,303.5071823,223.5570309,246.2946315,512.7974862,2.569384124,6,1
SCPT_126232,SCPT,126232,25,265.7,25,7.4382,0.2186,1.143,274.538935,259.1034062,315.4302337,230.7553121,254.1718671,503.3174182,2.324922478,6,1
SCPT_57279,SCPT,57279,0.1,95.5,0.1,18.4992,0.0213,-0.0002,198.1337616,106.4894581,129.6393403,132.3100071,51.46871844,92.60320879,1.235285175,2,1
SCPT_57279,SCPT,57279,0.5,95.5,0.5,6.5466,0.0935,-0.0007,721.5281715,143.0254753,174.1179699,270.6645888,78.3817804,167.3567344,2.150750385,2,1
SCPT_57279,SCPT,57279,1,64,1,1.8863,0.0137,-0.0614,322.5435882,107.4933045,130.8614142,182.8270438,67.74130833,153.9476092,2.446250707,2,1
SCPT_57279,SCPT,57279,1.5,75,1.5,1.1857,0.0185,-0.0572,408.1069433,105.9273181,128.9549959,192.7705732,72.71078285,176.7626819,2.781737257,2,1
SCPT_57279,SCPT,57279,2,80,2,0.7783,0.0847,-0.055,835.0451936,112.6295849,137.1142772,238.1048977,84.10923002,230.9615448,3.426855954,2,1
SCPT_57279,SCPT,57279,2.5,83,2.5,0.2018,0.0299,0.0466,389.7329282,75.7734771,92.24597212,143.9722926,67.58253864,211.3159355,3.96653624,2,1
SCPT_57279,SCPT,57279,3,68,3,0.3698,0.0438,0.0859,449.9408865,92.36813881,112.448169,168.0293724,80.07318761,233.5963338,3.698914891,2,1
SCPT_57279,SCPT,57279,3.5,52,3.5,0.1455,0.0167,0.0819,169.7069688,68.25543826,83.09357701,96.3256316,67.45380883,212.7978805,4.016825495,2,1
SCPT_57279,SCPT,57279,4,72,4,0.1002,0.0107,0.0926,42.12634421,59.45231907,72.37673626,47.01054652,63.93730199,207.1606407,4.134090374,2,1
SCPT_57279,SCPT,57279,4.5,84,4.5,2.3438,0.0242,0.0141,241.2068605,140.1544835,170.6228495,176.5308117,111.3105007,242.9158937,2.435740157,2,1
SCPT_57279,SCPT,57279,5,105,5,4.2577,0.0228,-0.0732,197.7527743,155.3168829,189.0814226,177.6475018,124.2914586,248.6489285,2.070937374,2,1
SCPT_57279,SCPT,57279,5.5,109,5.5,7.0286,0.022,-0.0436,171.50318,166.2011261,202.3318057,180.5896841,136.775668,254.4797876,1.773857975,2,1
SCPT_57279,SCPT,57279,6,97,6,4.0022,0.0213,-0.0256,180.9856551,156.4487238,190.459316,172.4641675,128.8636425,257.9754515,2.09365153,2,1
SCPT_57279,SCPT,57279,6.5,95,6.5,2.8002,0.0431,-0.0698,256.605118,159.4372311,194.0974987,188.170931,132.6980598,287.7518197,2.464188358,2,1
SCPT_57279,SCPT,57279,7,128,7,1.7553,0.0517,-0.0507,290.5421884,150.0905849,182.7189729,185.2770875,128.5764374,299.179292,2.794047799,2,1
SCPT_57279,SCPT,57279,7.5,117.5,7.5,2.0735,0.0484,-0.0504,261.5378867,155.3588483,189.132511,182.7758842,133.5157197,302.2203902,2.67560766,2,1
SCPT_57279,SCPT,57279,8,172,8,4.6576,0.0324,-0.0675,187.9828469,172.1041603,209.5181082,181.6948639,147.7295688,293.3301968,2.091716224,2,1
SCPT_57279,SCPT,57279,8.5,172.5,8.5,9.8912,0.046,-0.0527,193.9886079,195.309562,237.7681624,204.6871173,172.39356,313.4917413,1.721209609,2,1
SCPT_57279,SCPT,57279,9,177,9,25.426,0.1895,0.055,340.6910536,255.6640335,311.2431712,287.5883344,225.6829986,385.009429,1.52539183,2,1
SCPT_57279,SCPT,57279,9.5,213,9.5,39.3345,0.1086,0.0762,233.7332457,226.3600558,275.5687635,268.3994658,232.9411762,364.2361357,1.096821079,2,1
SCPT_57279,SCPT,57279,10,243.5,10,54.1078,0.0359,0.0957,165.2992486,180.0090153,219.1414099,249.5841729,225.6732505,320.2935233,0.737926922,2,1
SCPT_57279,SCPT,57279,10.5,259,10.5,47.6878,0.1087,0.1011,227.5881461,223.1685645,271.6834698,277.0913924,246.2669602,374.1542672,0.980049786,2,1
