d,vs
2.00,149
2.50,181
3.00,351
3.50,225
4.00,99
4.50,196
5.00,27
5.50,82
6.00,79
6.50,72
7.00,206
7.50,216
8.00,231
8.50,217
9.00,196
9.50,220
10.00,215
10.50,154
11.00,184
11.50,161
12.00,176
12.50,149
13.00,128
13.50,207
14.00,135
14.50,281
15.00,387
15.50,241
16.00,529
16.50,281
17.00,272
17.50,284
18.00,291
18.50,237
19.00,245
19.50,310
20.00,233
20.50,251
21.00,264
21.50,249
22.00,353
22.50,293
23.00,215
23.50,237
24.00,281
24.50,259
25.00,302
25.50,300
26.00,259
26.50,269
27.00,490
27.50,424
28.00,233
