d,vs
0.0,303.0
0.1,303.0
1.0,273.0
1.1,273.0
1.5,198.0
2.0,189.0
2.1,189.0
2.5,162.0
3.0,169.0
3.1,169.0
3.5,172.0
4.0,190.0
4.1,190.0
4.5,178.0
5.0,140.0
5.1,140.0
5.5,105.0
6.0,123.0
6.1,123.0
6.5,119.0
7.0,127.0
7.1,127.0
7.5,144.0
8.0,222.0
8.1,222.0
8.5,229.0
9.0,238.0
9.1,238.0
9.5,236.0
10.0,242.0
10.1,242.0
10.5,220.0
11.0,205.0
11.1,205.0
11.5,208.0
12.0,217.0
12.1,217.0
12.5,222.0
13.0,231.0
13.1,231.0
13.5,228.0
14.0,212.0
14.1,212.0
14.5,214.0
15.0,219.0
15.1,219.0
15.5,208.0
16.0,209.0
16.1,209.0
16.5,210.0
17.0,212.0
17.1,212.0
17.5,214.0
18.0,216.0
18.1,216.0
18.5,226.0
19.0,242.0
19.1,242.0
19.5,248.0
20.0,244.0
20.1,244.0
20.5,262.0
21.0,244.0
21.1,244.0
21.5,254.0
22.0,270.0
22.1,270.0
22.5,268.0
23.0,252.0
23.1,252.0
23.5,247.0
24.0,258.0
24.1,258.0
24.5,259.0
25.0,266.0
25.1,266.0
25.5,266.0
26.0,261.0
26.1,261.0
26.5,274.0
27.0,274.0
27.1,274.0
27.5,306.0
28.0,346.0
28.1,346.0
28.26,346.0
