File Name, max_depth of CPT, Vsz_Hegazy 2006, Vs30_Boore 2004, Vsz_Andrus 2007-H, Vs30_Boore 2004, Vsz_Andrus 2007-P, Vs30_Boore 2004, Vsz_Robertson 2009, Vs30_Boore 2004, Vsz_McGann 2015, Vs30_Boore 2004,Vsz_McGann 2018, Vs30_Boore 2004
SCPT_14651_Raw02, 23.00, 185.02, 199.04, 158.29, 170.18, 192.71, 207.35, 173.27, 186.35, 132.84, 142.71, 294.86, 317.83
SCPT_57280_Raw01,N,N,N,N,N,N,N,N,N,N,N,N,N
SCPT_165739_Raw01, 26.00, 109.58, 113.63, 143.69, 149.18, 174.93, 181.77, 131.48, 136.44, 130.25, 135.16, 284.61, 296.39
SCPT_170538_Raw01, 13.00, 273.89, 338.28, 141.32, 170.91, 172.04, 209.37, 193.46, 236.31, 111.53, 133.87, 252.83, 311.47
SCPT_57360_Raw01, 20.00, 233.24, 260.46, 184.55, 205.63, 224.67, 250.80, 211.89, 236.40, 149.43, 166.16, 303.97, 340.30
SCPT_57347_Raw01, 20.00, 270.53, 302.52, 214.97, 239.87, 261.71, 292.56, 244.34, 272.97, 172.47, 192.05, 322.13, 360.82
SCPT_170543_Raw01, 12.00, 379.06, 480.89, 142.98, 175.27, 174.06, 214.85, 218.03, 271.27, 110.34, 134.03, 254.12, 317.88
SCPT_154032_Raw01, 19.00, 224.87, 254.13, 189.83, 214.11, 231.10, 261.25, 205.16, 231.61, 150.97, 169.83, 299.04, 339.09
SCPT_192483_Raw01, 28.00, 119.83, 121.84, 142.63, 145.10, 173.64, 176.75, 140.07, 142.49, 129.11, 131.31, 297.47, 303.31
SCPT_57362_Raw01, 20.00, 244.18, 272.79, 180.66, 201.25, 219.94, 245.46, 218.22, 243.53, 146.02, 162.33, 299.85, 335.64
SCPT_205818_Raw01, 29.00, 172.05, 173.55, 161.06, 162.46, 196.08, 197.83, 175.36, 176.90, 141.88, 143.08, 319.16, 322.26
SCPT_195936_Raw01, 10.00, 247.09, 319.73, 131.68, 167.30, 160.31, 204.84, 177.36, 227.29, 102.24, 128.93, 242.00, 312.96
SCPT_57348_Raw01, 20.00, 264.50, 295.72, 203.93, 227.44, 248.27, 277.40, 235.85, 263.40, 163.80, 182.30, 315.57, 353.40
SCPT_128450_Raw01, 23.00, 126.61, 135.99, 133.47, 143.39, 162.49, 174.71, 142.89, 153.55, 108.57, 116.53, 231.30, 249.06
SCPT_57342_Raw01, 20.00, 241.97, 270.30, 189.35, 211.03, 230.51, 257.39, 218.74, 244.11, 152.89, 170.05, 302.79, 338.96
SCPT_129761_Raw01, 14.00, 204.59, 246.50, 157.75, 188.60, 192.04, 230.95, 191.08, 229.76, 121.27, 143.87, 245.90, 297.90
SCPT_14540_Raw03, 24.00, 168.33, 178.91, 151.48, 160.93, 184.41, 196.08, 160.43, 170.48, 127.79, 135.66, 281.30, 299.63
SCPT_57363_Raw01, 20.00, 200.99, 224.12, 186.84, 208.21, 227.46, 253.94, 213.87, 238.63, 158.40, 176.24, 309.31, 346.33
SCPT_14556_Raw02, 20.00, 200.00, 223.01, 147.31, 163.78, 179.34, 199.76, 170.47, 189.80, 122.20, 135.62, 278.82, 311.89
SCPT_125043_Raw01, 16.00, 3.87, 4.13, 111.89, 129.19, 136.21, 158.01, 72.85, 83.27, 95.79, 110.20, 233.41, 274.24
SCPT_182797_Raw01, 29.00, 77.15, 77.73, 109.27, 110.15, 133.02, 134.14, 105.19, 106.03, 105.94, 106.79, 251.08, 253.42
SCPT_14550_Raw02, 24.00, 277.64, 295.72, 189.74, 201.76, 230.98, 245.83, 215.48, 229.26, 153.93, 163.54, 333.39, 355.38
SCPT_57355_Raw01, 20.00, 203.42, 226.86, 169.72, 188.95, 206.61, 230.46, 196.49, 219.06, 140.19, 155.79, 287.83, 322.06
SCPT_57346_Raw01, 20.00, 240.86, 269.05, 208.04, 232.06, 253.26, 283.04, 244.89, 273.60, 170.94, 190.33, 315.07, 352.84
SCPT_184148_Raw01, 20.00, 174.70, 194.55, 134.96, 149.92, 164.29, 182.86, 154.78, 172.17, 115.68, 128.32, 269.02, 300.82
SCPT_156310_Raw01, 17.00, 311.68, 363.62, 207.29, 239.97, 252.35, 293.23, 251.49, 292.21, 159.40, 183.62, 311.50, 363.41
SCPT_217026_Raw01, 11.00, 299.21, 382.42, 125.26, 155.41, 152.49, 190.47, 186.85, 235.02, 98.01, 120.60, 244.76, 310.70
SCPT_57359_Raw01, 18.00, 202.35, 231.31, 155.50, 177.08, 189.31, 216.19, 184.43, 210.54, 127.34, 144.59, 280.19, 321.79
SCPT_192457_Raw01, 29.00, 190.59, 192.28, 154.04, 155.36, 187.53, 189.19, 189.46, 191.15, 139.21, 140.38, 319.16, 322.25
CPT_170534_Raw01, 11.00, 205.15, 258.86, 129.91, 161.39, 158.16, 197.80, 164.50, 206.01, 100.38, 123.61, 225.12, 284.95
SCPT_192480_Raw01, 28.00, 138.92, 141.31, 147.30, 149.86, 179.32, 182.55, 147.52, 150.08, 132.19, 134.44, 306.70, 312.75
SCPT_57357_Raw01, 20.00, 209.66, 233.89, 176.98, 197.12, 215.46, 240.42, 200.55, 223.63, 143.37, 159.37, 291.19, 325.85
SCPT_154771_Raw01,N,N,N,N,N,N,N,N,N,N,N,N,N
SCPT_196093_Raw01, 28.00, 250.57, 255.35, 177.05, 180.23, 215.54, 219.55, 201.43, 205.13, 154.00, 156.71, 339.05, 345.85
SCPT_124801_Raw01, 19.00, 180.02, 202.92, 158.76, 178.70, 193.28, 218.04, 175.04, 197.24, 127.43, 143.06, 260.31, 294.69
SCPT_14548_Raw02, 24.00, 225.32, 239.78, 181.18, 192.62, 220.57, 234.70, 197.76, 210.33, 146.23, 155.33, 311.67, 332.13
SCPT_116045_Raw01, 10.00, 204.21, 262.78, 102.89, 129.77, 125.25, 158.89, 149.52, 190.65, 81.98, 102.71, 199.60, 256.68
SCPT_57353_Raw01, 17.00, 205.95, 238.39, 164.37, 189.44, 200.10, 231.49, 193.59, 223.82, 131.87, 151.35, 272.98, 317.67
SCPT_195938_Raw01, 10.00, 226.61, 292.50, 93.82, 118.02, 114.22, 144.51, 140.65, 179.03, 76.83, 96.08, 203.69, 262.10
SCPT_14554_Raw02, 10.00, 467.30, 616.04, 196.99, 253.22, 239.81, 310.04, 273.20, 354.56, 137.07, 174.35, 277.87, 360.79
SCPT_114319_AGS01, 20.00, 167.61, 186.58, 167.44, 186.39, 203.84, 227.33, 175.69, 195.67, 138.69, 154.12, 275.07, 307.66
SCPT_61758_Raw01, 15.00, 254.10, 303.42, 188.85, 223.76, 229.90, 273.81, 224.49, 267.19, 146.73, 172.70, 285.48, 341.94
SCPT_57351_Raw01, 19.00, 155.34, 174.80, 130.39, 146.43, 158.74, 178.67, 147.37, 165.73, 111.39, 124.85, 257.95, 291.98
SCPT_129764_Raw01, 14.00, 229.55, 277.51, 174.35, 209.07, 212.26, 256.02, 216.03, 260.71, 136.12, 162.03, 266.02, 323.03
SCPT_136515_Raw01, 19.00, 157.40, 177.14, 176.94, 199.41, 215.40, 243.31, 181.12, 204.17, 144.59, 162.56, 285.23, 323.24
