Depth,Qc,Fs,u
1.559999,4.1245,0.0243,0.0014
1.569999,4.1636,0.0243,0.0013
1.579999,4.1871,0.0251,0.0011
1.589999,4.2067,0.0256,0.0009
1.599999,4.2497,0.0261,0.0005
1.609999,3.3775,0.0271,0.0024
1.619999,3.7686,0.0275,-0.0009
1.629999,4.1597,0.0279,0.0022
1.639999,4.2027,0.0281,0.0018
1.649999,4.2106,0.0282,0.0014
1.659999,4.2145,0.0283,0.0007
1.669999,4.2262,0.0284,0.0003
1.679999,4.2458,0.0284,0.0001
1.689999,4.2536,0.0285,-0.0005
1.699999,4.2731,0.0292,-0.0005
1.709999,4.2927,0.0296,-0.0007
1.719999,4.324,0.0299,-0.0007
1.729999,4.3396,0.0302,-0.0009
1.739999,4.3475,0.0306,-0.0009
1.749999,4.3514,0.0307,-0.0009
1.759999,4.3435,0.0306,-0.0013
1.769999,4.3318,0.0306,-0.0015
1.779999,4.3123,0.0303,-0.0015
1.789999,4.2849,0.0303,-0.0017
1.799999,4.2379,0.0303,-0.0017
1.809999,4.236,0.0303,-0.0009
1.819999,4.2585,0.0303,-0.0011
1.829999,4.281,0.0303,-0.0013
1.839999,4.4804,0.0305,-0.0011
1.849999,4.6251,0.0306,-0.0005
1.859999,4.8168,0.0313,-0.0005
1.869999,5.0123,0.0316,-0.0001
1.879999,5.1961,0.0318,0.0005
1.889999,5.4269,0.0324,0.0009
1.899999,5.4934,0.0337,0.0005
1.909999,5.5168,0.0346,0.0005
1.919999,5.5559,0.0355,0.0009
1.929999,5.7202,0.0357,0.0007
1.939999,5.8258,0.0364,-0.0001
1.949998,5.8727,0.0372,0.0001
1.959998,5.9158,0.0371,0.0001
1.969998,5.9431,0.0369,0.0005
1.979998,5.9549,0.0368,0.0011
1.989998,6.0253,0.0358,0.0024
1.999998,6.1074,0.0356,0.0014
2.009999,6.1504,0.0356,0.0016
2.019999,6.1348,0.0353,0.0007
2.029999,6.0722,0.0353,-0.0005
2.039999,6.0566,0.0346,-0.0001
2.049999,5.947,0.0348,-0.0013
2.059999,5.9236,0.034,-0.0009
2.069999,5.8727,0.0335,-0.0003
2.079998,5.8023,0.0326,-0.0003
2.089998,5.7867,0.0326,-0.0011
2.099998,5.775,0.0321,-0.0019
2.109998,5.7515,0.0319,-0.0009
2.119998,5.6576,0.0319,-0.0017
2.129998,5.6263,0.032,-0.0013
2.139998,5.6029,0.0319,-0.0005
2.149998,5.5931,0.0319,-0.0009
2.159998,5.6175,0.0315,-0.0013
