Depth,Qc,Fs,u
3.4,1.0039,0.0096,0.0399
3.42,1.0064,0.0078,0.0167
3.44,0.9013,0.0063,-0.0135
3.46,0.7439,0.005,-0.015
3.48,0.6005,0.0041,-0.0138
3.5,0.4938,0.0052,-0.0122
3.52,0.4518,0.0071,-0.0104
3.54,0.5079,0.0081,-0.0084
3.56,0.6932,0.0103,-0.0067
3.58,1.0964,0.0115,-0.0049
3.6,1.5883,0.0122,-0.0097
3.62,1.7723,0.0128,-0.0514
3.64,1.4375,0.0102,-0.0677
3.66,1.1076,0.0088,-0.0687
3.68,0.8781,0.0088,-0.0679
3.7,0.6884,0.0078,-0.0675
3.72,0.5483,0.006,-0.0671
3.74,0.4898,0.0039,-0.0665
3.76,0.4731,0.0012,-0.0662
3.78,0.4687,0.0017,-0.0657
3.8,0.4755,0.0022,-0.0653
3.82,0.5064,0.0026,-0.0649
3.84,0.5926,0.0031,-0.0643
3.86,0.769,0.0065,-0.0639
3.88,1.4604,0.0111,-0.0656
3.9,2.2791,0.0146,-0.0672
3.92,3.0979,0.0153,-0.0689
3.94,3.9166,0.0195,-0.0705
3.96,4.4382,0.0276,-0.0733
3.98,4.3229,0.0297,-0.0753
4,4.1685,0.0309,-0.0752
4.02,3.8294,0.0302,-0.0753
4.04,3.5343,0.0341,-0.0747
4.06,3.8975,0.0395,-0.0742
4.08,4.9351,0.0333,-0.0747
4.1,6.0875,0.0201,-0.076
4.12,6.4599,0.0089,-0.0788
4.14,6.1158,0.0104,-0.0818
4.16,5.6762,0.0198,-0.0827
4.18,5.2201,0.0185,-0.0822
4.2,4.9023,0.0164,-0.0814
4.22,4.5844,0.0142,-0.0806
4.24,4.6437,0.0121,-0.0802
4.26,5.387,0.0103,-0.0805
4.28,5.6794,0.009,-0.0712
4.3,5.6492,0.0078,-0.0606
4.32,5.6189,0.0069,-0.05
4.34,5.5886,0.0104,-0.0394
4.36,5.5228,0.0143,-0.0369
4.38,5.3801,0.0171,-0.0362
4.4,5.2204,0.0191,-0.0353
4.42,5.0475,0.0213,-0.0343
4.44,4.876,0.0229,-0.0331
4.46,4.7522,0.023,-0.0316
4.48,4.7438,0.0197,-0.03
4.5,4.8894,0.0177,-0.0282
4.52,5.0618,0.0165,-0.0266
4.54,5.1891,0.0161,-0.0259
4.56,5.174,0.0149,-0.0301
4.58,5.0782,0.0129,-0.0293
4.6,5.0571,0.0113,-0.0282
4.62,5.098,0.0104,-0.027
4.64,5.1779,0.0106,-0.0259
4.66,5.1842,0.0118,-0.0253
4.68,5.1666,0.0115,-0.0247
4.7,5.2146,0.011,-0.0237
4.72,5.3545,0.0122,-0.0227
4.74,5.442,0.0136,-0.0216
4.76,5.4673,0.0146,-0.0212
4.78,5.3997,0.0147,-0.0211
4.8,5.2935,0.0146,-0.0208
4.82,5.1793,0.015,-0.0202
4.84,5.0868,0.0159,-0.0193
4.86,5.0304,0.0169,-0.0181
4.88,5.0141,0.0164,-0.0168
4.9,4.9911,0.0159,-0.0157
4.92,4.9451,0.0159,-0.0144
4.94,4.9223,0.0163,-0.0128
4.96,4.9224,0.0172,-0.0093
4.98,4.9135,0.0183,0.0131
5,4.9068,0.0199,0.0354
5.02,4.9377,0.0234,0.0411
5.04,4.9941,0.0248,0.0304
5.06,4.9611,0.0246,0.0146
5.08,4.6959,0.0217,0.0136
5.1,4.202,0.0217,0.0166
5.12,3.6219,0.0186,0.022
5.14,3.2403,0.021,0.0304
5.16,3.4822,0.016,0.0464
5.18,4.8827,0.012,0.0552
5.2,6.2,0.012,-0.0211
5.22,6.3694,0.013,-0.0457
5.24,6.3604,0.014,-0.0436
5.26,6.3976,0.017,-0.0454
5.28,6.4084,0.021,0.0137
5.3,6.5843,0.022,0.0196
5.32,6.707,0.024,0.0265
5.34,6.7621,0.0257,0.0322
5.36,6.7244,0.0283,0.0398
5.38,6.5964,0.03,0.0438
5.4,6.4179,0.0314,0.0478
5.42,6.1905,0.032,0.0486
5.44,6.0036,0.0316,0.0476
5.46,5.8749,0.0304,0.0474
5.48,5.7871,0.0283,0.0491
5.5,5.6692,0.0273,0.0493
5.52,5.5023,0.029,0.0462
5.54,5.2856,0.0279,0.0476
5.56,5.2669,0.0262,0.0448
5.58,5.5128,0.025,0.0305
5.6,5.7831,0.0235,0.0101
5.62,5.7712,0.0243,-0.0091
5.64,5.4584,0.0283,-0.0139
5.66,5.1265,0.0299,-0.0069
5.68,4.9206,0.0287,0.0028
5.7,4.8743,0.0285,0.0134
5.72,5.0181,0.0289,0.0207
5.74,5.1219,0.0292,0.0095
5.76,5.0713,0.0291,-0.0111
5.78,4.8256,0.0293,-0.017
5.8,4.3959,0.0301,-0.0147
5.82,3.9956,0.0288,-0.009
5.84,3.7054,0.0323,0.0006
5.86,3.5256,0.0411,0.0088
5.88,3.3571,0.0459,0.007
5.9,3.1022,0.0484,-0.0349
5.92,2.8045,0.0454,-0.0528
5.94,2.5238,0.0434,-0.0629
5.96,2.424,0.0441,-0.0673
5.98,2.5064,0.0384,-0.0731
6,2.6275,0.0327,-0.075
6.02,2.5891,0.0341,-0.079
6.04,2.4911,0.0328,-0.0804
6.06,2.528,0.0337,-0.0805
6.08,2.6375,0.0258,-0.0786
6.1,2.7479,0.0241,-0.0767
6.12,2.6156,0.0235,-0.0826
6.14,2.1667,0.0231,-0.0839
6.16,1.7649,0.0228,-0.083
6.18,1.503,0.0225,-0.0816
6.2,1.5018,0.0222,-0.0804
6.22,1.5759,0.0233,-0.0804
6.24,1.5214,0.0243,-0.0622
6.26,1.463,0.0246,-0.0392
6.28,1.4045,0.024,-0.0162
6.3,1.346,0.022,0.0068
6.32,1.3788,0.0216,-0.0107
6.34,1.421,0.022,-0.029
6.36,1.3481,0.0234,-0.0272
6.38,1.2369,0.0276,-0.0001
6.4,1.2482,0.0297,0.0329
6.42,1.475,0.0327,0.0341
6.44,1.8794,0.034,-0.029
6.46,2.2759,0.0319,-0.0634
6.48,2.4347,0.0253,-0.0704
6.5,2.4349,0.0205,-0.0741
6.52,2.7045,0.0216,-0.0787
6.54,2.9867,0.0239,-0.0823
6.56,2.9811,0.0324,-0.0809
6.58,2.8895,0.0301,-0.0796
6.6,2.7589,0.0261,-0.0792
6.62,3.0637,0.0325,-0.0809
6.64,3.2409,0.0376,-0.0836
6.66,3.1123,0.0358,-0.0837
6.68,2.8544,0.0366,-0.0832
6.7,2.8853,0.0435,-0.0832
6.72,3.5603,0.0524,-0.0838
6.74,4.0576,0.0577,-0.0851
6.76,3.897,0.0607,-0.0865
6.78,3.5651,0.0635,-0.0876
6.8,3.1288,0.0662,-0.0877
6.82,2.9087,0.0688,-0.0876
6.84,2.8069,0.0692,-0.0873
6.86,2.7086,0.0685,-0.0873
6.88,2.6041,0.0677,-0.0872
6.9,2.5085,0.0634,-0.0869
6.92,2.4629,0.0596,-0.0868
6.94,2.4836,0.06,-0.0865
6.96,2.576,0.0593,-0.0863
6.98,2.6448,0.0554,-0.0863
7,2.6578,0.0459,-0.0864
7.02,2.5572,0.0385,-0.0862
7.04,2.4844,0.0325,-0.0861
7.06,2.3805,0.03,-0.0859
7.08,2.3024,0.0297,-0.0856
7.1,2.1128,0.0311,-0.0852
7.12,1.888,0.0357,-0.0845
7.14,1.7757,0.0289,-0.0838
7.16,1.9524,0.0194,-0.0825
7.18,2.3598,0.0221,-0.0804
7.2,2.7646,0.0306,-0.0796
7.22,3.0943,0.0377,-0.0814
7.24,3.1159,0.0494,-0.0799
7.26,3.061,0.0555,-0.077
7.28,2.9623,0.0529,-0.0795
7.3,2.7993,0.0442,-0.0818
7.32,2.6152,0.0433,-0.0836
7.34,2.2568,0.0399,-0.0849
7.36,1.7628,0.0347,-0.0847
7.38,1.5806,0.0297,-0.0838
7.4,1.5677,0.0292,-0.0828
7.42,1.7973,0.027,-0.0818
7.44,1.9304,0.0131,-0.0811
7.46,1.8895,0.007,-0.0812
7.48,1.8535,0.0053,-0.081
7.5,1.8793,0.0015,-0.0804
7.52,2.0605,0.002,-0.0795
7.54,5.9676,0.0115,-0.0789
7.56,6.4588,0.0159,-0.0793
7.58,12.8306,0.0359,-0.0817
7.6,17.6624,0.0277,-0.0827
7.62,20.3368,0.0578,-0.0799
7.64,19.7261,0.077,-0.0765
7.66,22.3107,0.0686,-0.0744
7.68,22.217,0.0472,-0.0713
7.7,24.023,0.0265,-0.0666
7.72,23.5709,0.0342,-0.0542
7.74,25.5614,0.0156,-0.03
7.76,25.1867,0.0254,0.0099
7.78,25.4802,0.017,0.0607
7.8,26.5809,0.0225,0.0228
7.82,27.76,0.0022,0.0007
7.84,29.0762,0.0014,0.0258
7.86,31.8373,0.0098,0.0508
7.88,29.6083,0.0304,0.0744
7.9,27.2798,0.0196,0.033
7.92,28.645,0.0115,0.0367
7.94,29.5157,0.0538,0.0608
7.96,31.3638,0.0598,0.0157
7.98,30.1734,0.0788,0.0557
8,28.347,0.0593,0.0811
8.02,22.7009,0.0626,0.067
8.04,24.4197,0.0598,0.066
8.06,25.4963,0.0725,0.08
8.08,25.0593,0.0493,0.0557
8.1,25.7535,0.0257,0.0825
8.12,26.0394,0.0187,0.0606
8.14,26.0961,0.0398,0.0808
8.16,23.5844,0.0608,0.0793
8.18,22.9194,0.0852,0.0724
8.2,23.4655,0.1472,0.0682
8.22,24.7474,0.0832,0.0737
8.24,24.8667,0.0797,0.0793
8.26,24.9859,0.0909,0.0849
8.28,23.3596,0.0873,0.0818
8.3,24.6899,0.0976,0.0717
8.32,25.9146,0.0661,0.0676
8.34,26.8263,0.0799,0.0843
8.36,27.0154,0.0663,0.0292
8.38,27.6804,0.0654,0.0864
8.4,27.0974,0.079,0.0737
8.42,25.1227,0.0886,0.07
8.44,21.0829,0.1055,0.0731
8.46,20.8892,0.0909,0.0539
