Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
0.0,0.0,0.0,-0.0001,,,,,,,
0.01,0.0,0.0,-0.0001,,,,,,,
0.02,0.0155,0.0,-0.0001,,,,,,,
0.03,0.031,0.0017,-0.0001,5696.763927655543,23.572255533905473,28.69665891084145,275.572254835898,11.894354448379616,46.888449216413704,4.434815163726142
0.04,0.0621,0.0035,0.0,,,,,,,4.434815163726142
0.05,0.1241,0.007,0.0001,8898.158550596514,38.707865108096435,47.12261839246523,394.75514148756906,18.82685414542881,64.79713781854116,3.909609213325175
0.06,0.2482,0.014,0.0003,,,,,,,3.909609213325175
0.07,0.5275,0.0279,0.0007,8074.474087684426,62.343366888246585,75.89627273351759,476.5779604738309,28.55882017248114,85.3576700997859,3.365562950261413
0.08,0.8378,0.0303,0.0022,,,,,,,3.365562950261413
0.09,1.3575,0.0311,0.0003,4002.8993407783505,79.5495161334919,96.84288920599015,408.3015531024647,35.40877397613055,92.90182289184804,2.8212142783729672
0.1,1.7415,0.0361,0.0001,,,,,,,2.8212142783729672
0.11,2.4746,0.0377,-0.0001,2003.8612369543698,92.79410250866287,112.966733488807,325.95858660032854,41.478786554315235,100.66266346440686,2.5059491716132367
0.12,2.9245,0.0402,-0.0005,,,,,,,2.5059491716132367
0.13,3.3395,0.0404,-0.0009,1369.5236883805014,100.2657629975051,122.06266799696273,289.72191959179787,45.62825465747008,106.19210842412038,2.342046750428793
0.14,3.6886,0.0404,-0.001,,,,,,,2.342046750428793
0.15,3.8476,0.0404,-0.0011,1085.9178842887877,104.34383493631948,127.02727731378025,270.2147073381124,48.45830222805129,110.2226445596228,2.256782059859039
0.16,3.8709,0.0405,-0.0011,,,,,,,2.256782059859039
0.17,3.8205,0.0405,-0.001,1016.9904661639138,105.88705740669697,128.90598292989196,266.5095861209536,50.13334694584883,113.79945313243931,2.261625286375379
0.18,3.58,0.0405,-0.001,,,,,,,2.261625286375379
0.19,3.4908,0.0405,-0.0009,1034.8387784852073,105.86495056658285,128.87907025497043,269.71859471788315,51.04007293289257,116.96911775296769,2.3159524274557093
0.2,3.4094,0.0403,-0.0009,,,,,,,2.3159524274557093
0.21,3.39,0.04,-0.0008,992.081481470025,106.56461766066369,129.73083889124274,267.12379958396093,52.205291221219376,119.74917046360557,2.330606836813991
0.22,3.3492,0.04,-0.0007,,,,,,,2.330606836813991
0.23,3.3424,0.04,-0.0008,952.5271644524336,107.53034999217626,130.9065130339537,264.73601080908094,53.433491547431096,122.52444081330131,2.339123061072071
0.24,3.3535,0.0402,-0.0009,,,,,,,2.339123061072071
0.25,3.3645,0.0412,-0.0009,922.8258334481263,109.06618910251035,132.77623021175174,263.5752053411765,54.87293260379924,125.62452354678157,2.3422981921149386
0.26,3.39,0.0423,-0.0011,,,,,,,2.3422981921149386
0.27,3.3929,0.0435,0.0022,912.6246277304778,110.8220434960546,134.91379208215344,264.50684819576264,56.381131888906694,129.01036887170645,2.3504789624311253
0.28,3.3958,0.0441,-0.0013,,,,,,,2.3504789624311253
0.29,3.4365,0.0447,-0.0013,885.1085452798598,112.33850080823798,136.75991402742014,263.2574638698505,57.74850491342689,131.8419712674988,2.3494620809178692
0.3,3.4675,0.0458,-0.0014,,,,,,,2.3494620809178692
0.31,3.39,0.0471,-0.0014,895.0023457110976,113.5911622667019,138.2848931942458,265.7962755225728,58.96928550514409,134.98653815835652,2.3706764558558877
0.32,3.3046,0.0502,-0.0014,,,,,,,2.3706764558558877
0.33,3.2852,0.0508,-0.0014,935.0147464878152,114.71880686255193,139.65767791962844,271.40625388081867,60.10855499016507,138.46136930352375,2.4087450230328074
0.34,3.2232,0.0508,-0.0013,,,,,,,2.4087450230328074
