Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
0.01,0.0363,0.003,0.0003,7049.732769833925,21.969099199531573,26.744990329864525,303.87217120927517,9.39821640959926,38.27620108983416,4.456065144751576
0.02,0.2437,0.003,0.0002,,,,,,,4.456065144751576
0.03,0.5963,0.003,0.0004,4480.530088431162,50.58835141099624,61.58581910903891,367.89311400617476,19.0864662416893,51.59832878944857,2.8478009932180113
0.04,0.8763,0.0039,0.0,,,,,,,2.8478009932180113
0.05,1.1252,0.0044,0.0001,1703.9029088174168,62.66019763072169,76.28197972435684,268.00432476133057,24.883710298264724,62.00505747547406,2.551500690942816
0.06,1.3792,0.0055,0.0,,,,,,,2.551500690942816
0.07,2.437,0.0073,-0.0001,807.1527570108268,77.32986228900336,94.14070191704756,213.53749842688532,31.850633278198906,72.52107986359208,2.196487566399819
0.08,2.437,0.0082,-0.0001,,,,,,,2.196487566399819
0.09,2.7637,0.0103,-0.0001,749.0292867039891,83.17739247819638,101.25943432128255,214.86034028064125,35.7879992585456,80.89449760320873,2.1774017044763463
0.1,2.7637,0.0116,-0.0001,,,,,,,2.1774017044763463
0.11,2.7637,0.012,-0.0001,736.1156748684174,86.16479663278277,104.89627416164859,218.00794337481167,38.32407860816502,86.81458617172242,2.2023809631690643
0.12,3.0125,0.0123,-0.0001,,,,,,,2.2023809631690643
0.13,3.1577,0.0122,-0.0002,607.6485382483984,89.91952192208241,109.46724407905685,206.7835392966758,40.97994260049303,90.84678152530394,2.129462459565599
0.14,3.2407,0.0128,0.0,,,,,,,2.129462459565599
0.15,3.3548,0.0128,0.002,554.5341533955694,92.67976506713681,112.82754008173178,202.9735058557449,43.188250913268696,94.8283236094858,2.1030701260693694
0.16,3.36,0.0192,-0.0001,,,,,,,2.1030701260693694
0.17,3.3548,0.0202,0.0004,682.7354090832464,97.52364481170719,118.72443716207832,224.3963244162586,46.443269145075824,103.8601495578006,2.186275784614563
0.18,3.3237,0.0198,-0.0006,,,,,,,2.186275784614563
0.19,3.2562,0.024,-0.0003,740.6505787643439,99.87304676029896,121.58457866471178,234.22088903923512,48.3837194763402,109.22094751305069,2.239115130362605
0.2,3.277,0.0255,0.0004,,,,,,,2.239115130362605
0.21,3.2251,0.0261,0.0021,749.8609486869606,101.69986969100671,123.80853701513861,237.56969938174657,50.027196709661546,113.24204994379224,2.262723227481014
0.22,3.1318,0.0262,0.0048,,,,,,,2.262723227481014
0.23,3.1318,0.0264,0.0048,738.3872727500645,102.47583495741473,124.75319038293969,237.5297254850719,51.14057729439629,116.02572321613529,2.2826234020428435
0.24,2.7896,0.0274,0.0061,,,,,,,2.2826234020428435
0.25,2.7481,0.0289,0.0062,833.9562553632458,102.16572227837084,124.37566190410364,248.95650721989136,51.75119122799741,119.7854690769511,2.380558402002902
0.26,2.6807,0.0304,0.0058,,,,,,,2.380558402002902
0.27,2.5044,0.0304,0.0064,889.8006232362377,101.98173325708345,124.1516752694929,255.40572948444722,52.38763451576186,122.86233390266372,2.4476779773281114
0.28,2.3955,0.0286,0.0082,,,,,,,2.4476779773281114
0.29,2.2659,0.0271,0.009,852.8736617784147,100.12447426309512,121.89066432028973,250.2938428310792,52.174174219032444,123.15760596772066,2.4811904649765313
0.3,2.2452,0.0255,0.0094,,,,,,,2.4811904649765313
0.31,2.2814,0.0255,0.0088,784.0434886305579,100.56716504969735,122.42959223441416,243.26052543395352,52.93467071191841,124.27254088471885,2.4634074647439874
0.32,2.297,0.0263,0.009,,,,,,,2.4634074647439874
0.33,2.3022,0.0246,0.0104,734.179463483218,101.20388033501533,123.20472388610563,238.19580881913632,53.77258457703682,125.67393243018569,2.450008678832428
0.34,2.2348,0.0245,0.0102,,,,,,,2.450008678832428
0.35,2.1985,0.0222,0.0097,687.9983996115029,100.2892283066855,122.0912344603128,232.0817546655287,53.83717311920179,125.82489978983388,2.4549086121831336
0.36,2.1363,0.0212,0.0097,,,,,,,2.4549086121831336
0.37,2.0792,0.0212,0.0094,673.8399269281698,99.62872367940892,121.28714187058478,229.97161684015495,54.03073073085437,126.79171782903114,2.478026294645103
0.38,2.0637,0.0204,0.0088,,,,,,,2.478026294645103
0.39,2.0637,0.0201,0.0088,636.5736520594777,99.73091665491374,121.41155071032978,225.4645825713209,54.52656781115186,127.59773728495485,2.4710605640058994
0.4,1.9963,0.0189,0.009,,,,,,,2.4710605640058994
0.41,1.96,0.0189,0.0088,617.5243346370493,98.9596192638271,120.47257997335473,222.49250740315915,54.6012945024467,128.14356458027396,2.488509607313683
0.42,1.9133,0.0172,0.0087,,,,,,,2.488509607313683
0.43,1.8926,0.0168,0.0086,574.4325390604224,98.04228897878608,119.35583006113089,216.11171231343707,54.515399168651555,127.69318416039626,2.484713274072205
0.44,1.8926,0.0161,0.0085,,,,,,,2.484713274072205
0.45,1.8874,0.0164,0.0082,553.5047851597545,98.37210699429473,119.75734764522838,213.55301891322023,55.07662887324027,128.76374960715478,2.481424470986357
0.46,1.8666,0.0157,0.0081,,,,,,,2.481424470986357
0.47,1.8718,0.0157,0.0079,530.1162443919951,98.43881313163942,119.83855511677844,210.36341318660018,55.47867221529889,129.4440785012539,2.4774939929008397
0.48,1.8563,0.0148,0.0078,,,,,,,2.4774939929008397
0.49,1.8563,0.0196,0.0078,590.7511439594556,100.46884620184608,122.30989972398653,220.33293740857047,57.09984415282325,134.6358291736718,2.5283414580457366
0.5,1.8563,0.0191,0.0068,,,,,,,2.5283414580457366
0.51,1.877,0.0188,0.0066,559.7489950954047,100.85361001599412,122.77830784555807,216.44091596211504,57.63101768700548,135.28173546532116,2.5129389188173126
0.52,1.8978,0.0188,0.0067,,,,,,,2.5129389188173126
0.53,1.9185,0.0208,0.0067,573.0258559557437,102.53602848569304,124.8264694608437,219.58842101068961,58.92672045522837,138.43429754342372,2.5215899601231304
0.54,1.9444,0.0223,0.0069,,,,,,,2.5215899601231304
0.55,1.9444,0.0257,0.0069,631.5203563593656,105.012557496517,127.84137434358593,229.31095512059406,60.708321878284025,143.64808325095095,2.5605415151355793
0.56,2.1103,0.0257,0.0069,,,,,,,2.5605415151355793
0.57,2.0481,0.0267,0.0077,613.1713346468437,106.80671268939442,130.0255632740454,228.3369286985362,61.97064755321262,145.72919182834485,2.5381917436789045
0.58,2.1155,0.0288,0.0077,,,,,,,2.5381917436789045
0.59,2.1415,0.0284,0.0085,607.539697077009,108.67822766434016,132.30392933050106,229.0616092802656,63.29414065291662,148.23952419059285,2.525688539852691
0.6,2.1415,0.0284,0.0085,,,,,,,2.525688539852691
0.61,2.1466,0.0283,0.0137,593.328026724271,109.12188698748653,132.8440363325923,227.49124361668225,63.88662609555643,149.42917496417448,2.523450590901406
0.62,2.1,0.0283,0.0144,,,,,,,2.523450590901406
0.63,1.9755,0.0283,0.0136,611.0588096851194,107.92331164755606,131.3849011361552,228.8642617360003,63.695721712377946,150.56123244519242,2.573199845584202
0.64,1.9755,0.0191,0.0136,,,,,,,2.573199845584202
0.65,1.8926,0.0191,0.0145,488.03838677487266,104.1808871253455,126.82890606563801,208.6705578380917,61.80590613453675,144.14892493684997,2.511394951731473
0.66,1.8926,0.0189,0.0145,,,,,,,2.511394951731473
0.67,1.9133,0.0189,0.0143,474.15533371229316,104.69506105549925,127.45485693712953,206.93836152454173,62.37200574259295,145.07143593286148,2.5027460417986434
0.68,1.9133,0.0191,0.0143,,,,,,,2.5027460417986434
0.69,2.0896,0.0177,0.0139,429.39375410769384,106.20552983680729,129.29368849698278,201.0578344215274,63.34155871464819,145.00853580782012,2.437196346408748
0.7,2.0896,0.0177,0.0139,,,,,,,2.437196346408748
0.71,2.0896,0.0203,0.0139,455.5363743287002,107.72233277118674,131.1402311997056,206.30667815315033,64.57715532446448,148.68633957800265,2.4657904560960926
0.72,2.3592,0.0205,0.0078,,,,,,,2.4657904560960926
