Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
0.0,0.2975,0.0,0.0008,,,,,,,
0.01,0.5768,0.0,0.0017,,,,,,,
0.02,0.8754,0.0,0.0033,,,,,,,
0.03,1.112,0.0004,0.0101,1591.5366437927514,56.04192444930135,68.2249515034973,243.72236201364657,17.663127361531423,39.89150369210547,2.4342276132255063
0.04,1.4766,0.0009,0.0056,,,,,,,2.4342276132255063
0.05,1.6899,0.0018,0.0039,1179.7902444657905,65.74887627879883,80.04211025245075,219.7993470953353,24.49802576128272,55.369520637099114,2.2557481505096866
0.06,1.7947,0.0036,0.0022,,,,,,,2.2557481505096866
0.07,2.0041,0.0072,0.005,1181.1638745871421,74.71233609661647,90.95414829153309,238.65840717561755,30.930722682245655,72.28646507106569,2.3025722635014643
0.08,2.2136,0.0085,-0.0006,,,,,,,2.3025722635014643
0.09,2.4734,0.0102,-0.0007,942.68294994415,81.6431306217792,99.39163727868774,228.89974592664223,35.19212100211921,80.72564260903864,2.2384016920635053
0.1,2.7294,0.0123,-0.0008,,,,,,,2.2384016920635053
0.11,3.1289,0.0155,-0.0008,835.9595391156523,89.51712197179695,108.97736587870935,227.75147827145918,39.8528076271701,89.83407988914783,2.1762796776569693
0.12,3.4935,0.0187,-0.0008,,,,,,,2.1762796776569693
0.13,3.7301,0.0225,-0.0008,810.6166585448696,96.70779812455547,117.73123249945884,233.03745811887407,44.16243104568332,98.49221000311763,2.1457841119530228
0.14,3.8814,0.0269,-0.0008,,,,,,,2.1457841119530228
0.15,4.0094,0.0312,-0.0008,875.7278703620847,102.43778603141756,124.70686995129094,246.61978699253063,47.71220150158721,106.6138750185845,2.172528641148775
0.16,4.0714,0.0356,-0.001,,,,,,,2.172528641148775
0.17,4.118,0.0397,-0.001,950.1594583873048,106.87651721212845,130.11054269302593,259.7053647178698,50.593773074354225,113.56768611219968,2.2117991788215385
0.18,4.1335,0.0467,-0.0012,,,,,,,2.2117991788215385
0.19,3.9939,0.0578,-0.0012,1229.4067733151599,111.96908476311292,136.31019014639833,292.3275278251701,53.59848689241037,122.62679416100201,2.3232609311146324
0.2,3.8698,0.0666,-0.0012,,,,,,,2.3232609311146324
0.21,3.7185,0.0761,-0.0012,1545.8793548292658,115.24376001375565,140.29675132109384,323.25682653208366,55.80622870872709,130.2812641489621,2.439798190068527
0.22,3.5633,0.0796,-0.0011,,,,,,,2.439798190068527
0.23,3.5124,0.0811,-0.001,1613.4437676818425,116.18035806130094,141.43695763984462,330.53746973680865,57.06815915836674,134.36528521419677,2.4920893082188162
0.24,3.525,0.0808,-0.0001,,,,,,,2.4920893082188162
0.25,3.5375,0.0805,0.0021,1505.6726053249317,117.434549485897,142.96379937413548,324.0116594283425,58.43035058137396,137.10471671590096,2.4856890301842154
0.26,3.575,0.0794,0.0064,,,,,,,2.4856890301842154
0.27,3.9279,0.0771,-0.001,1265.9148705461769,120.13334753334658,146.2492926492915,306.58160633810456,60.383956229491545,139.12611054309713,2.4099008777537456
0.28,4.4632,0.074,-0.0015,,,,,,,2.4099008777537456
0.29,5.0683,0.0707,-0.0014,919.6157214816246,124.94035519479186,152.10130197626836,276.6824540104939,63.44047863495013,140.34177136111373,2.231082054146624
0.3,5.7664,0.0672,-0.0013,,,,,,,2.231082054146624
0.31,6.3676,0.0631,-0.001,680.1974370588161,128.33500564199946,156.23391991199935,251.06332170173704,66.15936408420878,140.87291502757432,2.062625279445651
0.32,6.8175,0.0586,-0.001,,,,,,,2.062625279445651
0.33,7.1666,0.0532,-0.0009,534.2847715373376,128.65980071891562,156.62932261433207,231.29497296866975,67.51192004980278,140.1011215070097,1.9484913627605334
0.34,7.38,0.047,-0.0008,,,,,,,1.9484913627605334
0.35,7.5816,0.0444,-0.0008,443.16334301098675,127.76106513668543,155.53520973161704,216.68563221051434,68.15333161596338,138.95653855002465,1.8719663232829056
0.36,7.7213,0.0407,-0.0008,,,,,,,1.8719663232829056
0.37,7.7717,0.0365,-0.0008,377.41037715269323,126.22546060682222,153.66577813004446,204.58775931802467,68.34118705947225,137.40504623256507,1.8138455129560627
0.38,7.7329,0.0341,-0.0007,,,,,,,1.8138455129560627
0.39,7.6941,0.032,-0.0006,345.72634239729956,125.17983916865141,152.39284768357564,198.33967939622147,68.49643348770053,136.87564101848702,1.7923347514549062
0.4,7.5816,0.0304,-0.0007,,,,,,,1.7923347514549062
0.41,7.4343,0.0289,-0.0008,328.80486867897446,124.24574514678832,151.25568974391624,194.7559340493978,68.53064636398291,136.75964580014377,1.7920878781358311
0.42,7.2326,0.0276,-0.0008,,,,,,,1.7920878781358311
0.43,7.1007,0.027,-0.0008,321.5456986585307,123.58098043237054,150.44641096114677,193.15186066853636,68.59818320650444,137.1526466427892,1.805626230433704
0.44,7.0937,0.027,-0.0008,,,,,,,1.805626230433704
0.45,7.1061,0.0263,-0.0008,312.5989247041754,123.97360313145447,150.9243864209011,191.8807292929021,69.3269570575881,138.26709564965145,1.800159052455212
0.46,7.1184,0.0252,-0.0008,,,,,,,1.800159052455212
0.47,7.1938,0.0253,-0.0008,300.1831544003709,124.33470119136462,151.3639840590526,189.83278482668587,70.06837321421352,139.10657989284118,1.7857513242014342
0.48,7.38,0.0251,-0.0008,,,,,,,1.7857513242014342
0.49,7.601,0.0248,-0.0008,284.27623613352375,125.41069723204637,152.67389228249127,187.4795481919138,71.33081863155674,140.2737881950616,1.750277931193117
0.5,7.7252,0.0248,-0.0008,,,,,,,1.750277931193117
0.51,7.8803,0.0248,-0.0008,275.40933893305106,126.45867604973293,153.94969258228357,186.51797216488055,72.50433567458649,141.73860197614636,1.7294973098871136
0.52,8.0936,0.025,-0.0008,,,,,,,1.7294973098871136
0.53,8.3225,0.0256,-0.0008,268.4987845179296,128.07319329740795,155.9151918403227,186.34492370722083,74.05714742417061,143.77475097707122,1.7038068192723717
0.54,8.4893,0.0267,-0.0008,,,,,,,1.7038068192723717
0.55,8.7995,0.0281,-0.0008,269.9735924558856,130.4648106354948,158.8267259910372,188.51797924725594,76.01218673879417,146.95769333224706,1.6887314891151872
0.56,8.9508,0.0292,-0.0008,,,,,,,1.6887314891151872
