Depth,Qc,Fc,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Ic
0.0,0.081,0.0,-0.0002,,,,,,,
0.01,0.293,0.0,-0.0004,,,,,,,
0.02,0.454,0.0,-0.0004,,,,,,,
0.03,0.612,0.0022,-0.0004,3473.323983520199,50.21972437912374,61.13705576588977,332.3658432395236,18.671139300533824,49.568792762576614,2.793114539737832
0.04,0.666,0.0044,-0.0003,,,,,,,2.793114539737832
0.05,0.854,0.0087,-0.0003,5392.843294097639,61.56370892052631,74.94712390324942,411.2639755127201,25.30704955863897,67.61288347137051,2.8199877482133986
0.06,1.1,0.0175,-0.0002,,,,,,,2.8199877482133986
0.07,1.396,0.0349,-0.0002,5576.604567960387,78.25559876520853,95.26768545329736,457.7738043612117,33.47133918649624,88.513398742535,2.8326467640274937
0.08,1.611,0.0417,-0.0008,,,,,,,2.8326467640274937
0.09,1.969,0.0454,-0.0014,3550.0875532368395,88.24404268739241,107.4275302281299,400.016477046039,38.54821384422148,97.85382117899472,2.690575149042246
0.1,2.234,0.049,-0.0008,,,,,,,2.690575149042246
0.11,2.553,0.0532,-0.0021,2551.5539402984223,96.26347699568132,117.19031982082943,363.16379165039865,42.873700746049884,105.29622294212955,2.573684509862904
0.12,2.622,0.0592,-0.0023,,,,,,,2.573684509862904
0.13,2.657,0.0604,-0.005,2388.7562398915643,100.1678442410876,121.9434625543675,361.02615214896616,45.649132071332396,111.70245626241417,2.5826971522463475
0.14,2.665,0.0615,-0.0054,,,,,,,2.5826971522463475
0.15,2.669,0.0609,-0.0063,2144.1942089869935,102.12652204767147,124.32793988412179,350.3353878520511,47.565122868825796,115.94875010821707,2.5821392876346065
0.16,2.653,0.0617,-0.0063,,,,,,,2.5821392876346065
0.17,2.584,0.0618,-0.0062,2040.0027511620688,103.26066579064795,125.70863661470185,346.48441200739626,49.0800264301569,119.87891369416502,2.6057607158263387
0.18,2.496,0.0618,-0.006,,,,,,,2.6057607158263387
0.19,2.376,0.0617,-0.005,2028.370476327311,103.07496408800262,125.48256497669884,346.888119457547,50.00654842605647,123.19774295406391,2.6564768214692536
0.2,2.261,0.061,-0.0059,,,,,,,2.6564768214692536
0.21,2.184,0.054,-0.0051,1821.4078188231124,101.50317056858785,123.56907721393304,332.2858928865095,50.23840564939243,124.10889109689127,2.672509799662573
0.22,2.115,0.0493,-0.0043,,,,,,,2.672509799662573
