d,vs
0.0,261.0
0.1,261.0
1.1,261.0
2.0,178.0
2.1,178.0
2.5,160.0
3.0,146.0
3.1,146.0
3.5,130.0
4.0,131.0
4.1,131.0
4.5,144.0
5.0,134.0
5.1,134.0
5.5,144.0
6.0,108.0
6.1,108.0
6.5,90.0
7.0,98.0
7.1,98.0
7.5,86.0
8.0,108.0
8.1,108.0
8.5,138.0
9.0,158.0
9.1,158.0
9.5,170.0
10.0,176.0
10.1,176.0
10.5,183.0
11.0,180.0
11.1,180.0
11.5,172.0
12.0,194.0
12.1,194.0
12.5,194.0
13.0,182.0
13.1,182.0
13.5,182.0
14.0,174.0
14.1,174.0
14.5,185.0
15.0,171.0
15.1,171.0
15.5,237.0
16.0,146.0
16.1,146.0
16.5,245.0
17.0,245.0
