depth_input,A07-H
13.51,-0.065150834
14.01,-0.082615464
14.51,-0.23040137
15.01,0.077105938
15.51,-0.077821243
16.01,-0.120875987
16.51,0.034252864
17.01,0.086328901
17.51,0.264650127
18.01,-0.219942069
18.51,-0.031767633
19.01,-0.028793915
19.51,0.102426906
20.01,0.151094987
20.51,0.195753685
21.01,0.032694234
21.51,0.079010203
22.01,0.178707971
22.51,0.098047078
23.01,0.117591269
23.51,0.217420398
24.01,0.336770128
24.51,0.355352968
25.01,0.317035836
25.51,0.3313071
26.01,0.363725223
26.51,0.213841144
27.01,0.525538334
27.51,0.626532398
28.01,0.470653015
28.51,0.283826637
29,-0.341527395
0.51,0.067861241
1.01,-0.349060169
1.51,-0.007596336
2.01,0.449447874
2.51,-0.606874313
3.01,-0.104125996
3.51,-0.286396048
5.01,0.144720014
5.51,-0.214040275
6.51,-0.121930345
7.01,0.075986961
7.51,0.046178587
8.01,0.179009754
8.51,-0.253992139
9.01,-0.1201662
9.51,-0.288175595
10.01,-0.337274723
10.51,-0.311960699
11.01,-0.22707961
11.51,-0.243282611
12.01,-0.171171969
12.51,-0.068741966
13.01,-0.200426346
13.51,-0.271888136
14.01,0.021211851
14.51,0.057671204
15.01,-0.000523911
15.51,0.271590258
16.01,-0.015356849
16.51,0.207576605
17,-0.051339137
0.51,0.681637671
1.01,0.237982346
1.51,0.173410854
2.01,0.078337769
2.51,0.019611027
3.01,-0.010588168
3.51,0.239389431
4.01,-0.030978331
4.51,0.045914645
5.01,0.120047572
5.51,0.108695867
6.01,0.000158047
6.51,0.113396182
7.01,0.00780437
7.51,-0.079384559
8.01,-0.027236703
8.51,-0.086071729
9.01,-0.052473421
9.51,-0.009924695
10.01,-0.058445578
10.51,0.012009465
11.01,0.0211737
11.51,0.010077012
12.01,0.051232751
12.51,-0.295014981
13.01,0.280056629
13.51,-0.249475643
14.01,-0.016567855
14.51,-0.224888437
15.01,-0.277121663
15.51,-0.272126442
16.01,0.426591568
16.51,0.536790937
17.01,-0.099589184
17.51,-0.25805292
18.01,-0.294125777
18.51,-0.194241743
19.01,0.162635839
19.51,0.007863007
20.01,-0.434977612
20.51,-0.209383324
21.01,-0.212750102
21.51,-0.196271175
22.01,-0.283061912
22.51,-0.107270998
23.01,-0.12789272
23.51,-0.175325708
24.01,-0.139699556
24.51,-0.208120809
25.01,-0.203129048
25.51,-0.188019137
26.01,-0.220435039
26.51,-0.255467319
27.01,0.314036775
27.51,0.034991618
28,-0.363602507
0.51,0.435586021
1.01,0.736236344
1.51,-0.06475475
2.01,0.14576546
2.51,0.329219047
3.01,0.488937726
3.51,0.419490159
5.01,0.890789596
5.51,0.618868848
6.51,0.743516833
7.01,0.469891247
7.51,0.457835665
8.01,0.432134138
8.51,0.159570179
9.01,0.03979845
9.51,-0.124850539
10.01,-0.098167321
10.51,0.116884857
11.01,0.127889334
11.51,-0.091476598
12.01,-0.207729565
12.51,0.378955905
13.01,0.058623914
13.51,-0.050852067
14.01,0.021211851
14.51,0.253786083
15.01,-0.151437295
15.51,0.576971908
16.01,0.464531539
16.51,0.239469969
17,0.399441168
0.51,1.518556053
1.01,1.478306802
1.51,0.571821199
2.01,0.130120439
2.51,1.291510421
3.01,1.127783735
3.51,0.423394103
4.01,0.205053038
4.51,0.504029499
5.01,0.38494445
5.51,0.310224712
6.01,0.15659184
6.51,0.430900402
7.01,0.291108842
7.51,0.552501724
8.01,0.178789817
8.51,0.27489384
9.01,0.146044319
9.51,0.264180675
10.01,0.010904518
10.51,0.300290699
11.01,0.751040486
11.51,-0.114910868
12.01,0.23560835
12.51,0.704696175
13.01,0.834632573
13.51,0.949015498
14.01,1.010704912
14.51,0.295238951
15.01,0.616553602
15.51,0.225986165
16.01,0.254970349
16.51,0.364135304
17.01,0.197680158
17.51,0.289105025
18.01,0.407251484
18.51,0.500871201
19.01,0.582699588
19.51,0.439070578
20.01,0.376711625
20.51,0.736460454
21.01,0.169118701
21.51,0.531552888
22,0.626689596
0.51,0.526291932
1.01,0.658084291
1.51,0.541099651
2.01,0.17327498
2.51,0.073643585
3.01,0.098168634
3.51,-0.236834475
4.01,0.018902649
4.51,-0.127404722
5.01,-0.239221046
5.51,-0.039461477
6.01,0.017204845
6.51,0.442041573
7.01,-0.031193677
7.51,-0.22650947
8.01,0.148844634
8.51,-0.226214465
9.01,-0.189714691
9.51,-0.01238441
10.01,-0.24724291
10.51,-0.229676365
11.01,-0.036369278
11.51,-0.130932004
12.01,-0.011972405
12.51,0.249708413
13.01,-0.031076878
13.51,0.116000552
14.01,0.324252779
14.51,-0.000291512
15.01,-0.165356275
15.51,-0.002479278
16.01,0.122002645
16.51,-0.002013505
17.01,-0.483489258
17.51,-0.077758338
18,-0.070669625
0.1,0.487538726
0.5,0.664276367
1,0.611697889
1.5,-0.16945978
2,-0.26035368
2.5,0.183945468
3,0.112808927
3.5,0.039469934
4,0.094014197
4.5,0.033530196
5,-0.035405065
5.5,-0.092066098
6,0.232722127
6.5,-0.035306182
7,0.138720284
7.5,0.245055132
8,0.268439207
8.5,0.08074046
9,0.294236394
9.5,0.055123804
10,-0.019720751
10.5,-0.156048523
11,0.08998962
11.5,-0.04894283
12,-0.118774815
12.5,0.149153047
13,0.2665353
13.5,0.324048621
14,0.18826534
14.5,0.136396982
15,0.296000461
15.5,0.309002387
16,0.334233429
16.5,0.280399395
17,0.2582134
17.5,0.497438081
18,-0.711799954
18.5,-0.014589539
19,0.338477459
19.5,0.326297674
20,0.239701265
20.5,-0.079194907
21,0.289820863
21.5,0.33244117
22,0.188928907
22.5,0.145322026
23,-0.003511316
23.5,-0.04576067
24,-0.10374585
24.5,-0.091455428
25,0.070560062
25.5,0.07283319
26,0.155735721
26.5,0.049047121
27,0.151736985
27.5,0.110711608
28,0.04770463
28.5,0.027649396
29,-0.134783695
0.1,0.964497763
0.5,1.030695544
1,-0.042423026
1.5,0.170046202
2,-0.056297736
2.5,0.419091392
3,0.348609291
3.5,0.266195262
4,0.358556613
4.5,0.294670145
5,0.273301645
5.5,0.16732516
6,-0.063016064
6.5,-0.023765823
7,-0.056717896
7.5,0.000792318
8,-0.383452164
8.5,0.039908492
9,0.309500843
9.5,0.305981556
10,0.261540132
10.5,0.263508822
11,0.449204065
11.5,0.299192116
12,0.341009813
12.5,0.263856433
13,0.146165178
13.5,0.264583691
14,0.209071986
14.5,0.197454373
15,0.353583266
15.5,0.298038481
16,0.643636937
16.5,0.382283135
17,0.118756455
17.5,0.084316312
18,0.174967092
18.5,0.144620527
19,0.282942588
19.5,0.334628615
20,0.317992988
20.5,0.273629786
21,0.223005123
21.5,0.174178037
22,0.322560094
22.5,0.463676626
23,0.195707152
23.5,0.227905972
24,0.341613562
24.5,0.324099296
25,0.254189241
25.5,0.271933165
26,0.232724644
0.51,1.64302199
1.01,1.197821284
1.51,0.620528225
2.01,0.194651691
2.51,0.011066002
3.01,2.142932524
3.51,0.945149047
4.01,0.241920536
4.51,-0.036197837
5.01,0.018512276
5.51,-0.202866737
6.01,0.03295926
6.51,0.231437668
7.01,0.049793122
7.51,-0.089649647
8.01,0.108109376
8.51,0.115941803
9.01,-0.112350434
9.51,0.133220889
10.01,0.198005273
10.51,0.143254618
11.01,0.156932044
11.51,0.233392737
12.01,0.152299938
12.51,0.105489343
13.01,0.322070958
13.51,0.29573911
14.01,0.100887912
14.51,0.340714455
15.01,0.298618448
15.51,0.84087352
16,0.544259031
1.51,0.928497726
2.01,-0.07093457
2.51,0.115418338
3.01,-0.184469727
3.51,0.877635348
4.01,0.91054278
4.51,0.13319822
5.01,0.112741865
5.51,0.506085274
6.01,0.809672571
6.51,0.581833269
7.01,0.401568125
7.51,0.027754501
8.01,0.855523346
8.51,0.463085984
9.01,0.353212576
9.51,0.195591366
10.01,-0.155597384
10.51,0.027902776
11.01,0.336896102
11.51,0.510380859
12.01,0.419254339
12.51,0.119553356
13.01,0.340280183
13.51,0.451049338
14.01,0.713216497
14.51,0.273857016
15.01,0.352652156
15.51,0.175968798
16.01,-0.546376804
16.51,0.15063318
17.01,0.710243733
17.51,0.694882116
18.01,-0.124312689
18.51,-0.157012116
19.01,0.160986727
19.51,-0.021761874
20.01,0.20368122
20.51,0.12416295
21.01,0.181550462
21.51,0.29481784
22.01,0.370936179
22.51,0.304431583
23.01,0.312466749
23.51,-0.126007338
24.01,-0.043891118
24.51,0.291453853
25.01,0.346939141
25.51,0.26239062
26.01,0.149556896
26.51,0.108005454
27.01,0.198173546
27.51,-0.26178621
28.01,-0.04977632
28.51,0.35725971
29,0.363976701
0.51,-0.615966062
1.01,0.605937919
1.51,0.264290391
2.01,0.315473496
2.51,0.318348493
3.01,0.273357121
3.51,0.128885009
4.01,0.125551934
4.51,0.238858432
5.01,0.241271408
5.51,0.243669648
6.01,0.681336493
6.51,0.272938902
7.01,0.312946931
7.51,0.275891975
8.01,0.216168722
8.51,0.323795531
9.01,-0.191090921
9.51,-0.056420822
10.01,0.478503779
10.51,0.524025703
11.01,0.325676342
11.51,0.165973511
12.01,0.244463634
12.51,0.261142648
13.01,0.203624096
13.51,-0.040951939
14.01,0.108035305
14.51,0.497480277
15.01,0.331283167
15.51,0.282209565
16.01,0.232881884
16.51,-0.116908501
17.01,0.218307541
17.51,0.213355268
18.01,0.286195577
18.51,0.247862928
19.01,0.144001951
19.51,0.212595596
20.01,0.328761663
20.51,0.26716172
21.01,0.256029959
21.51,0.123405798
22.01,0.283213875
22.51,-0.034960635
23.01,0.224375753
23.51,0.181069315
24.01,0.403485006
24.51,0.349929754
25.01,0.425842161
25.51,0.307595682
26.01,0.374498637
26.51,0.449231019
27.01,0.23714595
27.51,0.398033453
28,0.339601718
8.01,0.138132938
8.51,-0.317688256
9.01,-0.168679141
9.51,0.153260035
10.01,0.198331065
10.51,0.398899143
11.01,0.341691924
11.51,0.215653153
12.01,-0.03706447
12.51,-0.073283158
13.01,0.012585026
13.51,-0.038540389
14.01,0.076801307
14.51,0.275046486
15.01,0.698808733
15.51,0.29447756
16.01,0.538488959
16.51,0.651345895
17.01,0.648808929
17.51,0.454098347
18.01,0.679226847
18.51,0.213618357
19.01,0.161246855
19.51,-0.080309244
20.01,-0.075477818
20.51,-0.348871018
21.01,0.039087301
21.51,0.213818577
22.01,0.186922991
22.51,0.251421991
23,0.252708494
0.1,1.230712453
0.5,0.86041067
1,0.880880379
1.5,1.626743925
2,-0.052752863
2.5,-0.363609256
3,-0.07512962
3.5,0.360791775
4,-0.146082487
4.5,-0.418072187
5,-0.358163249
5.5,0.42161699
6,0.371270076
6.5,0.259063309
7,-0.081610632
7.5,0.193478396
8,0.941385666
8.5,1.20191004
9,0.693621838
9.5,0.783862138
10,0.596300429
10.5,0.434693446
11,0.614447638
11.5,0.159471226
12,-0.129079635
12.5,-0.210567068
13,0.29344006
13.5,0.361104718
14,0.074361802
14.5,0.115285318
15,0.113551524
15.5,0.417831668
16,0.533137551
16.5,0.201198225
17,0.242970431
17.5,0.440808147
18,0.437416954
18.5,0.477001005
19,0.288128658
19.5,0.282569131
0.1,1.711800915
0.5,1.341499132
1,0.439047627
1.5,1.050396013
2,0.734213073
2.5,0.175387245
3,-0.008880235
3.5,0.755267762
4,-0.024192669
4.5,-0.674005561
5,0.215637174
5.5,0.059826945
6,0.362459447
6.5,-0.034483883
7,-0.803745349
7.5,0.173544181
8,-0.246174109
8.5,0.436709542
9,0.361239587
9.5,0.68460718
10,0.634327824
10.5,0.243638209
11,0.651081771
11.5,0.546417286
12,0.237097756
12.5,0.198293629
13,0.308707532
13.5,0.20063567
14,0.389204697
14.5,0.314523349
15,0.495111112
15.5,0.448603326
16,0.570620644
16.5,0.521283722
17,0.825420192
17.5,0.831414141
18,0.869084434
18.5,0.641408185
19,0.541731417
19.5,0.536171889
1.51,0.880422501
2.01,0.491812638
2.51,0.619561089
3.01,0.473075448
3.51,0.021234248
4.01,0.244548671
4.51,0.399475486
5.01,0.245050366
5.51,0.371255501
6.01,0.004855345
6.51,-0.13533331
7.01,-0.254664597
7.51,-0.335567346
8.01,-0.127692292
8.51,0.233027315
9.01,0.330661071
9.51,0.362912779
10.01,0.317606976
10.51,0.366782723
11.01,0.358468563
11.51,0.315505615
12.01,0.388772357
12.51,0.457773764
13.01,0.334285958
13.51,0.223927665
14.01,0.211690842
14.51,0.220869824
15,0.121909946
0.51,0.098196828
1.01,0.190484214
1.51,1.057659331
2.01,0.035527553
2.51,-0.252645314
3.01,-0.199460911
3.51,0.244870899
4.01,0.762253315
4.51,0.782574458
5.01,0.588307864
5.51,0.126611655
6.01,0.397944885
6.51,0.077196308
7.01,-0.123379528
7.51,-0.169591514
8.01,0.077618377
8.51,-0.048231599
9.01,0.065946455
9.51,0.005248459
10.01,0.102068182
10.51,-0.072763541
11.01,-0.099466295
11.51,-0.114845782
12.01,-0.296011383
12.51,0.268582109
13.01,0.239096735
13.51,0.187867642
14.01,0.217855339
14.51,0.357813178
15.01,0.446944047
15.51,0.518484938
16.01,0.239936569
16.51,0.263294723
17.01,0.221038822
17.51,0.229584697
18,0.173387688
1.5,0.596373778
2,0.535987155
2.5,0.314396792
3,0.292632431
3.5,0.10756231
4,0.480148865
4.5,-0.092991586
5,-0.312896523
5.5,-0.202470407
6,0.173384873
6.5,0.25668523
7,0.20956626
7.5,0.321375358
8,0.258310605
8.5,0.364107522
9,0.190032607
9.5,0.259156817
10,0.138185497
10.5,0.384018918
11,0.405284513
11.5,0.458617122
12,0.524152517
12.5,0.693218645
13,0.439469504
13.5,0.419819602
14,0.2708672
14.5,0.196185091
15,0.455973116
15.5,0.319738064
16,0.390253797
16.5,0.310199101
17,0.330776268
17.5,0.212354427
18,0.399329214
18.5,0.344453825
19,0.299200228
19.5,0.322352388
20,0.402746244
20.5,0.1994524
21,0.225180974
21.5,0.262398454
22,0.415226813
22.5,-0.131081499
23,-0.251669968
23.5,-0.24272122
24,-0.236823378
