Depth,Vs,Vs_SD
0.5,75,10
1,82,10
1.5,91,10
2,97,10
2.5,103,10
3,105,10
3.5,92,10
4,103,10
4.5,110,10
5,114,10
5.5,138,10
6,148,10
6.5,132,10
7,159,10
7.5,150,10
8,172,10
8.5,144,10
9,160,10
9.5,151,10
10,202.5,10
10.5,212,10
11,215.5,10
11.5,137,10
12,159.5,10
12.5,172.5,10
13,214,10
13.5,209,10
14,239,10
14.5,232,10
15,247.5,10
15.5,237.5,10
16,306.5,10
16.5,301,10
17,264,10
17.5,271,10
18,245,10
18.5,235,10
19,266.5,10
19.5,290,10
20,275,10
