Depth,Qc,Fs,u
1.72,1.699,0.0700,0.0010
1.73,1.605,0.0780,0.0010
1.74,1.554,0.0940,0.0000
1.75,1.571,0.0990,0.0000
1.76,1.878,0.1000,0.0000
1.77,2.236,0.0980,0.0000
1.78,3.071,0.0960,0.0000
1.79,3.923,0.0940,0.0000
1.80,4.136,0.0910,0.0010
1.81,4.170,0.0870,0.0000
1.82,4.119,0.0870,0.0000
1.83,3.966,0.0900,0.0000
1.84,3.744,0.0920,-0.0020
1.85,3.207,0.0950,-0.0020
1.86,2.853,0.0940,-0.0030
1.87,2.500,0.0890,-0.0040
1.88,2.270,0.0870,-0.0050
1.89,1.903,0.0850,-0.0050
1.90,1.775,0.0830,-0.0050
1.91,1.784,0.0720,-0.0060
1.92,1.750,0.0630,-0.0060
1.93,1.707,0.0650,-0.0060
1.94,1.596,0.0690,-0.0050
1.95,1.503,0.0790,-0.0050
1.96,1.366,0.0970,-0.0050
1.97,1.920,0.1220,-0.0050
1.98,2.474,0.1370,-0.0050
1.99,3.199,0.1640,-0.0050
2.00,4.988,0.1720,-0.0050
2.01,6.173,0.1850,-0.0050
2.02,6.659,0.1900,-0.0050
2.03,7.119,0.1930,-0.0050
2.04,7.392,0.1970,-0.0060
2.05,7.784,0.2000,-0.0060
2.06,8.057,0.2130,-0.0070
2.07,8.227,0.2460,-0.0070
2.08,8.560,0.2770,-0.0060
2.09,8.713,0.2920,-0.0070
2.10,8.883,0.3120,-0.0070
2.11,9.062,0.3240,-0.0080
2.12,10.043,0.3470,-0.0080
2.13,11.313,0.3970,-0.0080
2.14,13.912,0.4315,-0.0080
2.15,14.423,0.4660,-0.0080
2.16,15.284,0.4740,-0.0080
2.17,15.634,0.4820,-0.0080
2.18,15.727,0.4900,-0.0080
2.19,15.131,0.4790,-0.0090
2.20,14.475,0.4740,-0.0100
2.21,13.119,0.4680,-0.0100
2.22,11.628,0.4670,-0.0100
2.23,10.938,0.4600,-0.0100
2.24,10.247,0.4490,-0.0100
2.25,9.966,0.4500,-0.0090
2.26,9.684,0.4640,-0.0080
2.27,9.403,0.4760,-0.0070
2.28,9.761,0.4750,-0.0070
2.29,9.889,0.4650,-0.0070
2.30,9.787,0.4500,-0.0080
2.31,9.327,0.4160,-0.0080
2.32,8.926,0.4090,-0.0080
2.33,8.210,0.3940,-0.0090
2.34,7.690,0.3820,-0.0100
2.35,6.702,0.3760,-0.0100
2.36,6.003,0.3740,-0.0110
2.37,5.619,0.3590,-0.0110
2.38,5.057,0.3330,-0.0110
2.39,4.886,0.3170,-0.0120
2.40,4.094,0.2870,-0.0120
2.41,3.770,0.2720,-0.0120
2.42,3.429,0.2270,-0.0120
2.43,3.429,0.2040,-0.0110
2.44,3.693,0.1800,-0.0090
2.45,3.949,0.1750,-0.0090
2.46,4.579,0.1700,-0.0080
2.47,4.801,0.1610,-0.0080
2.48,4.639,0.1360,-0.0090
2.49,4.068,0.1270,-0.0090
2.50,3.702,0.1220,-0.0090
2.51,3.190,0.1170,-0.0080
2.52,2.892,0.1060,-0.0080
2.53,2.295,0.1050,-0.0070
2.54,2.099,0.1060,-0.0060
2.55,1.988,0.1060,-0.0040
2.56,1.929,0.1010,-0.0040
2.57,1.792,0.0990,-0.0040
2.58,1.724,0.1040,-0.0030
2.59,1.962,0.1180,0.0015
2.60,2.201,0.1230,0.0060
2.61,2.474,0.1280,0.0070
2.62,2.611,0.1290,0.0080
2.63,3.028,0.1370,0.0080
2.64,3.429,0.1400,0.0080
2.65,3.497,0.1490,0.0080
2.66,3.523,0.1600,0.0070
2.67,3.599,0.1660,0.0050
2.68,3.736,0.1740,0.0040
2.69,3.838,0.1850,0.0030
2.70,4.000,0.1960,0.0030
2.71,3.991,0.1940,0.0030
2.72,3.872,0.1880,0.0020
2.73,3.795,0.1870,0.0010
2.74,3.523,0.1850,0.0000
2.75,3.241,0.1820,-0.0010
2.76,3.139,0.1770,-0.0020
2.77,3.054,0.1810,-0.0020
2.78,2.858,0.1790,-0.0020
2.79,2.926,0.1720,-0.0020
2.80,2.943,0.1650,-0.0010
2.81,2.969,0.1550,-0.0010
2.82,2.960,0.1510,-0.0010
2.83,2.875,0.1460,-0.0010
2.84,2.798,0.1420,0.0000
2.85,2.687,0.1420,0.0000
2.86,2.636,0.1420,0.0000
2.87,2.491,0.1460,0.0000
2.88,2.474,0.1500,0.0010
2.89,2.602,0.1610,0.0010
2.90,2.824,0.1730,0.0020
2.91,2.960,0.1790,0.0020
2.92,3.233,0.1890,0.0020
2.93,3.369,0.1990,0.0020
2.94,3.625,0.2030,0.0020
2.95,3.753,0.2160,0.0020
2.96,3.923,0.2420,0.0020
2.97,3.983,0.2510,0.0020
2.98,4.025,0.2540,0.0020
2.99,4.034,0.2610,0.0020
3.00,4.077,0.2630,0.0010
3.01,4.264,0.2670,0.0010
3.02,4.068,0.2650,-0.0010
3.03,3.727,0.2590,-0.0020
3.04,3.557,0.2530,-0.0020
3.05,3.369,0.2490,-0.0030
3.06,3.258,0.2450,-0.0030
3.07,3.216,0.2340,-0.0030
3.08,3.250,0.2160,-0.0030
3.09,3.361,0.2030,-0.0030
3.10,3.812,0.1840,-0.0030
3.11,4.238,0.1780,-0.0030
3.12,4.844,0.1790,-0.0030
3.13,5.508,0.1800,-0.0030
3.14,5.747,0.1830,-0.0030
3.15,5.756,0.1720,-0.0030
3.16,5.636,0.1670,-0.0030
3.17,5.500,0.1680,-0.0040
3.18,5.312,0.1720,-0.0040
3.19,4.622,0.1790,-0.0040
3.20,4.426,0.1810,-0.0030
3.21,4.111,0.1840,-0.0030
3.22,3.795,0.1820,-0.0030
3.23,3.846,0.1810,-0.0010
3.24,4.034,0.1870,0.0000
3.25,4.085,0.2020,0.0000
3.26,4.034,0.2090,-0.0010
3.27,3.991,0.2170,-0.0020
3.28,3.872,0.2230,-0.0030
3.29,3.804,0.2260,-0.0030
3.30,3.684,0.2230,-0.0030
3.31,3.574,0.2170,-0.0030
3.32,3.437,0.2040,-0.0040
3.33,3.437,0.1950,-0.0040
3.34,3.676,0.1880,-0.0050
3.35,3.829,0.1790,-0.0040
3.36,4.511,0.1700,-0.0040
3.37,5.542,0.1690,-0.0030
3.38,5.986,0.1560,-0.0040
3.39,6.906,0.1540,-0.0040
3.40,7.094,0.1460,-0.0050
3.41,7.000,0.1440,-0.0050
3.42,6.446,0.1520,-0.0050
3.43,5.841,0.1550,-0.0050
3.44,5.713,0.1600,-0.0050
3.45,5.185,0.1530,-0.0040
3.46,4.869,0.1390,-0.0040
3.47,4.417,0.1340,-0.0040
3.48,3.770,0.1300,-0.0040
3.49,3.599,0.1310,-0.0040
3.50,3.054,0.1320,-0.0040
3.51,2.781,0.1360,-0.0040
3.52,2.466,0.1420,-0.0030
3.53,2.338,0.1530,-0.0030
3.54,2.278,0.1630,-0.0030
3.55,2.261,0.1660,-0.0020
3.56,2.287,0.1720,-0.0020
3.57,2.304,0.1720,-0.0010
3.58,2.628,0.1650,0.0015
3.59,2.952,0.1560,0.0040
3.60,3.028,0.1370,0.0030
3.61,3.258,0.1180,0.0020
3.62,3.702,0.1160,0.0020
3.63,4.409,0.1140,0.0020
3.64,4.724,0.1130,0.0020
3.65,4.827,0.1200,0.0010
3.66,4.665,0.1240,0.0000
3.67,4.017,0.1160,-0.0020
3.68,3.676,0.1080,-0.0030
3.69,3.054,0.1020,-0.0030
3.70,2.559,0.0980,-0.0030
3.71,2.329,0.0880,-0.0030
3.72,1.920,0.0770,-0.0030
3.73,1.716,0.0690,-0.0020
3.74,1.366,0.0600,-0.0010
3.75,1.264,0.0580,0.0000
3.76,1.111,0.0570,0.0010
3.77,1.034,0.0550,0.0020
3.78,1.017,0.0540,0.0020
3.79,1.008,0.0540,0.0020
3.80,1.034,0.0530,0.0030
3.81,1.025,0.0530,0.0030
3.82,1.008,0.0520,0.0030
3.83,1.017,0.0480,0.0030
3.84,1.059,0.0480,0.0030
3.85,1.119,0.0480,0.0040
3.86,1.162,0.0500,0.0040
3.87,1.247,0.0540,0.0040
3.88,1.324,0.0550,0.0040
3.89,1.315,0.0570,0.0040
3.90,1.272,0.0550,0.0040
3.91,1.162,0.0530,0.0040
3.92,1.051,0.0520,0.0040
3.93,1.000,0.0500,0.0040
3.94,0.846,0.0490,0.0050
3.95,0.770,0.0470,0.0050
3.96,0.633,0.0450,0.0050
3.97,0.591,0.0430,0.0050
3.98,0.531,0.0400,0.0060
3.99,0.522,0.0360,0.0060
4.00,0.514,0.0330,0.0060
4.01,0.514,0.0320,0.0060
4.02,0.488,0.0290,0.0070
4.03,0.488,0.0270,0.0070
4.04,0.480,0.0220,0.0070
4.05,0.471,0.0200,0.0070
4.06,0.471,0.0160,0.0070
4.07,0.480,0.0160,0.0070
4.08,0.497,0.0140,0.0080
4.09,0.505,0.0140,0.0080
4.10,0.497,0.0130,0.0080
4.11,0.505,0.0120,0.0080
4.12,0.514,0.0100,0.0080
4.13,0.540,0.0100,0.0080
4.14,0.540,0.0110,0.0080
4.15,0.531,0.0110,0.0080
4.16,0.548,0.0110,0.0080
4.17,0.574,0.0110,0.0080
4.18,0.599,0.0130,0.0080
4.19,0.659,0.0130,0.0090
4.20,0.684,0.0120,0.0090
4.21,0.744,0.0130,0.0090
4.22,0.787,0.0130,0.0090
4.23,0.812,0.0140,0.0090
4.24,0.821,0.0140,0.0090
4.25,0.855,0.0140,0.0100
4.26,0.880,0.0150,0.0100
4.27,0.872,0.0150,0.0100
4.28,0.880,0.0160,0.0110
4.29,0.923,0.0180,0.0110
4.30,0.940,0.0180,0.0110
4.31,1.008,0.0190,0.0110
4.32,1.034,0.0190,0.0120
4.33,1.136,0.0210,0.0120
4.34,1.187,0.0220,0.0120
4.35,1.238,0.0230,0.0120
4.36,1.230,0.0240,0.0120
4.37,1.281,0.0240,0.0130
4.38,1.324,0.0260,0.0130
4.39,1.400,0.0280,0.0130
4.40,1.434,0.0280,0.0130
4.41,1.434,0.0300,0.0130
4.42,1.383,0.0310,0.0130
4.43,1.358,0.0310,0.0130
4.44,1.375,0.0310,0.0140
4.45,1.366,0.0320,0.0140
4.46,1.349,0.0330,0.0140
4.47,1.349,0.0330,0.0140
4.48,1.315,0.0385,0.0140
4.49,1.324,0.0440,0.0140
4.50,1.324,0.0480,0.0150
4.51,1.341,0.0480,0.0150
4.52,1.341,0.0470,0.0150
4.53,1.349,0.0480,0.0150
4.54,1.366,0.0490,0.0160
4.55,1.460,0.0490,0.0160
4.56,1.486,0.0470,0.0160
4.57,1.563,0.0470,0.0185
4.58,1.639,0.0470,0.0210
4.59,1.571,0.0470,0.0210
4.60,1.605,0.0480,0.0210
4.61,1.579,0.0500,0.0210
4.62,1.554,0.0520,0.0210
4.63,1.537,0.0520,0.0220
4.64,1.486,0.0540,0.0220
4.65,1.511,0.0570,0.0220
4.66,1.477,0.0570,0.0220
4.67,1.451,0.0570,0.0220
4.68,1.460,0.0590,0.0220
4.69,1.460,0.0590,0.0230
4.70,1.443,0.0570,0.0230
4.71,1.409,0.0580,0.0230
4.72,1.443,0.0580,0.0230
4.73,1.443,0.0590,0.0230
4.74,1.434,0.0580,0.0230
4.75,1.400,0.0570,0.0230
4.76,1.366,0.0560,0.0230
4.77,1.358,0.0570,0.0230
4.78,1.417,0.0560,0.0230
4.79,1.469,0.0540,0.0230
4.80,1.460,0.0540,0.0230
4.81,1.443,0.0520,0.0220
4.82,1.409,0.0530,0.0220
4.83,1.375,0.0500,0.0230
4.84,1.366,0.0520,0.0230
4.85,1.417,0.0510,0.0230
4.86,1.400,0.0520,0.0230
4.87,1.366,0.0540,0.0230
4.88,1.400,0.0560,0.0230
4.89,1.409,0.0570,0.0230
4.90,1.400,0.0570,0.0230
4.91,1.409,0.0590,0.0230
4.92,1.460,0.0600,0.0230
4.93,1.460,0.0610,0.0230
4.94,1.426,0.0630,0.0230
4.95,1.332,0.0620,0.0230
4.96,1.255,0.0610,0.0230
4.97,1.213,0.0610,0.0230
4.98,1.213,0.0610,0.0220
4.99,1.213,0.0610,0.0220
5.00,1.102,0.0590,0.0210
5.01,1.008,0.0600,0.0210
5.02,1.000,0.0570,0.0210
5.03,0.940,0.0550,0.0210
5.04,0.889,0.0540,0.0210
5.05,0.795,0.0490,0.0210
5.06,0.770,0.0450,0.0210
5.07,0.718,0.0420,0.0210
5.08,0.650,0.0410,0.0200
5.09,0.616,0.0370,0.0200
5.10,0.565,0.0340,0.0200
5.11,0.548,0.0330,0.0200
5.12,0.505,0.0300,0.0190
5.13,0.488,0.0310,0.0200
5.14,0.480,0.0300,0.0200
5.15,0.471,0.0280,0.0200
5.16,0.463,0.0260,0.0200
5.17,0.454,0.0230,0.0200
5.18,0.454,0.0220,0.0200
5.19,0.454,0.0200,0.0200
5.20,0.463,0.0200,0.0200
5.21,0.488,0.0190,0.0210
5.22,0.540,0.0190,0.0210
5.23,0.599,0.0200,0.0210
5.24,0.608,0.0220,0.0210
5.25,0.591,0.0230,0.0210
5.26,0.582,0.0220,0.0210
5.27,0.565,0.0200,0.0210
5.28,0.531,0.0170,0.0210
5.29,0.488,0.0170,0.0210
5.30,0.471,0.0180,0.0210
5.31,0.446,0.0170,0.0220
5.32,0.437,0.0160,0.0210
5.33,0.395,0.0170,0.0220
5.34,0.386,0.0160,0.0220
5.35,0.378,0.0150,0.0220
5.36,0.378,0.0160,0.0220
5.37,0.369,0.0150,0.0220
5.38,0.361,0.0120,0.0220
5.39,0.369,0.0120,0.0220
5.40,0.386,0.0110,0.0230
5.41,0.395,0.0110,0.0230
5.42,0.403,0.0110,0.0230
5.43,0.412,0.0110,0.0230
5.44,0.429,0.0110,0.0230
5.45,0.446,0.0110,0.0230
5.46,0.454,0.0110,0.0230
5.47,0.454,0.0110,0.0230
5.48,0.454,0.0110,0.0230
5.49,0.454,0.0100,0.0230
5.50,0.446,0.0100,0.0230
5.51,0.437,0.0110,0.0230
5.52,0.437,0.0110,0.0230
5.53,0.429,0.0110,0.0230
5.54,0.429,0.0100,0.0230
5.55,0.412,0.0100,0.0270
5.56,0.437,0.0110,0.0280
5.57,0.429,0.0100,0.0280
5.58,0.412,0.0100,0.0280
5.59,0.412,0.0100,0.0280
5.60,0.412,0.0090,0.0280
5.61,0.403,0.0100,0.0280
5.62,0.403,0.0110,0.0280
5.63,0.395,0.0110,0.0280
5.64,0.395,0.0090,0.0280
5.65,0.395,0.0090,0.0280
5.66,0.395,0.0090,0.0280
5.67,0.395,0.0100,0.0280
5.68,0.395,0.0100,0.0280
5.69,0.403,0.0090,0.0280
5.70,0.412,0.0090,0.0290
5.71,0.412,0.0100,0.0290
5.72,0.420,0.0110,0.0290
5.73,0.429,0.0120,0.0290
