File Name, Hegazy Depth, Hegazy Vs, Andrus Depth, Andrus Vs, Rob Depth, Rob Vs, Mc15 Depth, Mc15 Vs, Mc18 Depth, Mc18 Vs
CPT_6457, 4.08, 239.75, 4.08, 191.98, 4.08, 220.44, 4.08, 152.63, 4.08, 272.01
CPT_6457, 4.10, 246.36, 4.10, 193.89, 4.10, 223.16, 4.10, 153.90, 4.10, 274.56
CPT_6457, 4.12, 251.04, 4.12, 195.30, 4.12, 225.16, 4.12, 154.91, 4.12, 276.49
CPT_6457, 4.14, 253.91, 4.14, 196.25, 4.14, 226.48, 4.14, 155.68, 4.14, 277.87
CPT_6457, 4.16, 257.31, 4.16, 197.13, 4.16, 227.76, 4.16, 156.27, 4.16, 279.20
CPT_6457, 4.18, 260.83, 4.18, 197.98, 4.18, 229.01, 4.18, 156.80, 4.18, 280.51
CPT_6457, 4.20, 269.49, 4.20, 200.04, 4.20, 232.06, 4.20, 157.92, 4.20, 283.19
CPT_6457, 4.22, 272.54, 4.22, 200.88, 4.22, 233.26, 4.22, 158.54, 4.22, 284.44
CPT_6457, 4.24, 264.96, 4.24, 199.32, 4.24, 230.89, 4.24, 158.10, 4.24, 282.96
CPT_6457, 4.26, 259.23, 4.26, 198.14, 4.26, 229.09, 4.26, 157.80, 4.26, 281.87
CPT_6457, 4.28, 260.76, 4.28, 198.00, 4.28, 229.02, 4.28, 157.46, 4.28, 282.16
CPT_6457, 4.30, 258.20, 4.30, 198.24, 4.30, 229.16, 4.30, 158.38, 4.30, 282.56
CPT_6457, 4.32, 254.25, 4.32, 198.01, 4.32, 228.67, 4.32, 159.01, 4.32, 282.46
CPT_6457, 4.34, 248.67, 4.34, 197.32, 4.34, 227.57, 4.34, 159.44, 4.34, 281.85
CPT_6457, 4.36, 242.08, 4.36, 196.63, 4.36, 226.54, 4.36, 160.24, 4.36, 281.24
CPT_6457, 4.38, 240.95, 4.38, 196.69, 4.38, 226.64, 4.38, 160.77, 4.38, 281.60
CPT_6457, 4.40, 241.73, 4.40, 197.20, 4.40, 227.35, 4.40, 161.43, 4.40, 282.46
CPT_6457, 4.42, 242.76, 4.42, 197.69, 4.42, 228.03, 4.42, 162.00, 4.42, 283.31
CPT_6457, 4.44, 250.68, 4.44, 199.89, 4.44, 231.11, 4.44, 163.26, 4.44, 286.10
CPT_6457, 4.46, 255.21, 4.46, 201.19, 4.46, 232.92, 4.46, 164.10, 4.46, 287.85
CPT_6457, 4.48, 257.79, 4.48, 202.06, 4.48, 234.15, 4.48, 164.83, 4.48, 289.11
CPT_6457, 4.50, 256.78, 4.50, 202.59, 4.50, 234.92, 4.50, 166.03, 4.50, 289.96
CPT_6457, 4.52, 257.97, 4.52, 203.48, 4.52, 236.21, 4.52, 167.20, 4.52, 291.23
CPT_6457, 4.54, 253.98, 4.54, 203.12, 4.54, 235.85, 4.54, 168.00, 4.54, 291.18
CPT_6457, 4.56, 253.95, 4.56, 203.56, 4.56, 236.55, 4.56, 168.87, 4.56, 291.99
CPT_6457, 4.58, 254.22, 4.58, 203.99, 4.58, 237.24, 4.58, 169.64, 4.58, 292.79
CPT_6457, 4.60, 255.19, 4.60, 204.42, 4.60, 237.87, 4.60, 170.16, 4.60, 293.56
CPT_6457, 4.62, 261.07, 4.62, 206.07, 4.62, 240.10, 4.62, 171.06, 4.62, 295.59
CPT_6457, 4.64, 263.37, 4.64, 206.89, 4.64, 241.26, 4.64, 171.78, 4.64, 296.77
CPT_6457, 4.66, 270.77, 4.66, 209.23, 4.66, 244.56, 4.66, 173.42, 4.66, 299.54
CPT_6457, 4.68, 279.70, 4.68, 212.21, 4.68, 248.85, 4.68, 175.69, 4.68, 302.96
